id,title,name,desc
510001,幽隠の試練,幽隠神霊,味方隠匿学部の戦姫が与えるダメージが30%アップ。
510002,神威の試練,勇健神威,味方神威学部の戦姫が与えるダメージが30%アップ。
510003,澄水の試練,澄水弦歌,味方風見学部の戦姫が与えるダメージが30%アップ。
510004,智華の試練,智華慧香,味方風見学部の戦姫が与えるダメージが30%アップ。
510005,深獄の試練,深獄暗影,味方修羅学部の戦姫が与えるダメージが30%アップ。
510006,辰輝の試練,星光辰輝,味方辰星学部の戦姫が与えるダメージが30%アップ。
510007,眩光の試練,眩光熾陽,味方のウォーリアのHPが20%アップ、攻撃力が自身のHP上限の0.5%アップ。
510008,魔力の試練,魔力波浪,ソーサラーを1体出撃させる度に、味方ソーサラーが与えるダメージが6%アップ。
510009,密林の試練,密林啓示,味方のレンジャーの会心率が30%アップ。
510010,迷霧の試練,迷霧夜幕,味方のアサシンの攻撃力が60%アップ。
510011,聖音の試練,聖音廻響,味方のプリーストが生き残っている時、味方全ての戦姫が与えるダメージが30%アップ。
520001,幽隠の試練,勝利追撃,敵への攻撃で会心が発生した時、2ターンの間、敵が受けるダメージが10%アップ（スタック不可）。
520002,神威の試練,反撃防御,味方前列の戦姫が受けるダメージと与えるダメージが30%アップ。
520003,澄水の試練,火力全開,味方戦姫が攻撃する時、ターゲットが多ければ多いほど与えるダメージが高くなる。ターゲットが1体増える度に、与えるダメージが3%アップ。
520004,智華の試練,危機到来,全ての戦姫（敵味方含む）は拘束状態での、受けるダメージが10%アップ。
520005,深獄の試練,亡霊意志,戦姫が倒れると、全ての戦姫（敵味方含む）の攻撃力が5%アップ。
520006,辰輝の試練,星辰守護,全ての戦姫（敵味方含む）のダメージカットが20%アップ。
520007,眩光の試練,長所育成,出撃している学部の戦姫が少ないほど、味方戦姫が与えるダメージが高くなる。最高で30%アップ。
520008,魔力の試練,金泥精描,全ての戦姫（敵味方含む）は、学部の相性関係によるダメージアップが60%までアップ。
520009,密林の試練,雲散霧消,全ての戦姫（敵味方含む）は、不利な学部から受けるダメージが30%減少する。
520010,迷霧の試練,白日匕首,味方戦姫の会心の100%を超えた部分は、1％ごとに5％の会心ダメージへと変換される。
520011,聖音の試練,鉄壁防御,味方戦姫の後列戦姫が受けるダメージと与えるダメージが30%減少する。
500000,初心者試練,初心者試練,特殊効果なし
500001,初心者試練,初心者試練,特殊効果なし
