id,name,buff1,buff2,buff3,buff4
20001,桜の風鈴,基本ステータスのHPアップ効果+3%,基本ステータスのHPアップ効果+6%,,使い魔の回復効果が20%アップ
30001,猫の風鈴,基本ステータスの攻撃力アップ効果+2%,基本ステータスの攻撃力アップ効果+4%,,使い魔が与えるダメージが20%アップ
40001,幽霊の風鈴,基本ステータスは、隠匿学部に対してのバフ効果が追加で50%アップ,突破力+10%,,突破力+20%
40002,正義の風鈴,基本ステータスは、神威学部に対してのバフ効果が追加で50%アップ,ブロック+10%,,ブロック+20%
40003,自由の風鈴,基本ステータスは、風見学部に対してのバフ効果が追加で50%アップ,基本ステータスの攻撃力アップ効果+3%,,基本ステータスの攻撃力アップ効果+6%
40004,聖賢の風鈴,基本ステータスは、雲華学部に対してのバフ効果が追加で50%アップ,基本ステータスのHPアップ効果+4%,,基本ステータスのHPアップ効果+8%
50001,深淵の風鈴,基本ステータスは、修羅学部に対してのバフ効果が追加で50%アップ,スキダメ+20%,スキダメ+40%,基本ステータスの攻撃力アップ効果+6%\n修羅学部の戦姫を1体出撃させる度に、出撃している全ての戦姫の与えるダメージが+1%
50002,薄明の風鈴,基本ステータスは、辰星学部に対してのバフ効果が追加で50%アップ,防御貫通+6%,防御貫通+12%,基本ステータスのHPアップ効果+8%\n辰星学部の戦姫を1体出撃させる度に、出撃している全ての戦姫のダメージカットが+1%
50003,銀河の風鈴,基本ステータスは、天星学部に対してのバフ効果が追加で50%アップ,与ダメージ+3%,与ダメージ+6%,基本ステータスの攻撃力が+8%\n天星学部の戦姫を1体出撃させる度に、天星学部の追加のオーラステータスが+3%
60001,水月の風鈴,ダメージカット+10%,基本ステータスのHPアップ効果+6%,基本ステータスのHPアップ効果+12%,基本ステータスのHPアップ効果+12%\n戦闘中、味方戦姫が受ける全ての被ダメージが10%減少する。
