name,translation
STAGE_NAME,Stage {1}-{2}
BIG_MAP,Map
YES,YES
NO,NO
GET,Collect
GET2,Claim
TEAM,Team
AWARD,Loot
EQUIP,Gear
ITEM,Items
DEBRIS,Shards
ARTIFACT,Antiques
NOW_NONE,None {1}
NOT_SELL,Not for Sale
BATTLE_FORMATION_WIN,Battle
FRONT_ROW,Front
BACK_ROW,Back
ARTIFACT_ATTR_LIMIT,Attributes：{1}
GET_WAYS,Method:
FORT_NAME_1,Sarah's Illusion
FORT_NAME_2,Moon Island
FORT_NAME_3,Land of Fear
FORT_NAME_4,Krom's Mine
FORT_NAME_5,The Forgotten Iceberg
FORT_NAME_6,Fort Hyde
FORT_NAME_7,Burning Ground
FORT_NAME_8,Outer Heaven
FORT_NAME_9,Sarah Illusion
FORT_NAME_10,Moon Island
FORT_NAME_11,Land of Fear
FORT_NAME_12,Krom's Mine
FORT_NAME_13,The Forgotten Iceberg
FORT_NAME_14,Fort Hyde
FORT_NAME_15,Burning Ground
FORT_NAME_16,Outer Heaven
FORT_NAME_17,Bane's Woods
FORT_NAME_18,Undead Fortress
FORT_NAME_19,Sarah's Illusion
FORT_NAME_20,Moon Island
FORT_NAME_21,Land of Fear
FORT_NAME_22,Krom's Mine
FORT_NAME_23,The Forgotten Iceberg
FORT_NAME_24,Fort Hyde
FORT_NAME_25,Burning Ground
FORT_NAME_26,Outer Heaven
FORT_NAME_27,Bane's Woods
FORT_NAME_28,Undead Fortress
FORT_NAME_29,Ancient Relic
FORT_NAME_30,Ghost Fortress
FORT_NAME_31,Sarah's Illusion
FORT_NAME_32,Moon Island
FORT_NAME_33,Land of Fear
FORT_NAME_34,Krom's Mine
FORT_NAME_35,The Forgotten Iceberg
FORT_NAME_36,Fort Hyde
FORT_NAME_37,Burning Ground
FORT_NAME_38,Outer Heaven
FORT_NAME_39,Bane's Woods
FORT_NAME_40,Undead Fortress
FORT_NAME_41,Ancient Relic
FORT_NAME_42,Ghost Fortress
PARTNER_DETAIL_TIPS,Listen up. Focusing only on attributes & numbers won't end well~
GRADE,Grade
LEV_UP,Lv. Up
AWAKE,Awake
JOB_1,Warrior
JOB_2,Mage
JOB_3,Ranger
JOB_4,Assassin
JOB_5,Priest
STAGE_RES,Output
STAGE_ITEM,Loot
STAGE_RES_NUM,+{1}/5s
STAGE_HANG,Auto-Battle
ATK,Attack
HP,HP
ARM,Armor
ATKP,Attack
HPP,HP
ARMP,Armor
SPD,Speed
ENERGY,Energy
HIT,Precision
MISS,Block
CRIT,Crit
TRUEATK,Holy Dmg
BRK,Armor Brk
CRITTIME,Crit DMG
FREE,CC Immune
SKLP,Skill DMG
DECDMG,DMG Red.
CAMPAIGN_HANG_ITEM_WINDOW,Loot
TIPS,Hint
TOP_LEV_UP,MAX LVL
COMPOSE_EQUIP,Forge
COMPOSE_EQUIP_NO_MANA,Not enough Coins to Forge current Gear!
COMPOSE_EQUIP_NUM_0,Please provide some Gear to Forge
POWER,Power
DAY,{1}D
HOUR,{1}H
MINUTE,{1}m
SECOND,{1}s
CONFIRM,OK
EQUIP_STRENGTHEN,Enhance Gear
PARTNER,Girls
SUMMON,Summon
SELF,Ally
ENEMY,Enemy
DAMAGE,Damage
HEAL,Heal
FAIL_ADVICE,Use the following methods to become stronger
PUB_MISSION_FULL_HERO,You already have enough Girls to battle!
BATTLE_TIPS_TITLE,Faction Rivalry
CAMPAIGN_WINDOW_HELP,"1. Each battle zone contains several Stages. Pass all the zones on Normal to unlock Hard Mode. |2. Rewards are granted for beating each Stage. |3. Requirements must be met to unlock each stage. |4. Auto-Battle will collect loot for up to 12 hours. You must return to collect past rewards in order to collect more. |5. Auto-Battle grants EXP Juice, Player EXP, and Coins. Higher stages grant greater rewards. |6. Auto-Battle will also periodically drop other kinds of loot."
CAMPAIGN_HANG_FORMATION_WINDOW,Team
SHENXUE_SELECT_WINDOW,Please select Girls to use
NO_PARTNER,No Girls Selected
PUB_SPEED_MISSION_1,Not enough Gems for Speed-Up!
PUB_SPEED_MISSION_2,Do you want to use {1} Gems to speed up this quest?
COMPOSE_EQUIP_NO_MATERIAL,Insufficient Gear Material
CAMPAIGN_REQUIRE,Require
CAMPAIGN_REQUIRE_1,Requires Player Lv.{1}
CAMPAIGN_REQUIRE_2,Loot team's attack has reached {1}
CAMPAIGN_REQUIRE_3,You must clear the previous stage to proceed.
CAMPAIGN_RANK_WINDOW,Rank
PUT_IN,Use {1}
REPLACE,Replace
TRANSFORM,Exchange
SAVE,Save
REMOVE,Remove
LOCK_NOW_ATTR,Spend Gems to lock Attributes
UNKNOWN_TREASURE,Unknown Crystal
REMOVE_ALL,Unequip
EQUIP_ALL,Gear Up
USE,Use
REFRESH,Refresh
PUB_MISSION_TIME,Quest({1}/{2})will be reset
PUB_MISSION_NO_START,Not yet started
PUB_MISSION_COMPLETE,Finished
START,Start
PUB_SPEED_UP,Finish
PUB_SPEED_FREE,Free
PUB_MISSION_COMPLETE2,Finish
PUB_TICKET_NO_ENOUGH1,You don't have any Internship Scrolls!
PUB_TICKET_NO_ENOUGH2,Not enough Advanced Internship Scrolls!
TAVERN_WINDOW_TIPS,"1. Rewards will be given for completing Internships in the given amount of time. Each Girl can only perform 1 task at a time.|2. There is a daily limit for Internships that are automatically refreshed. You can increase this limit by upgrading your VIP level.|3. Internships that have not yet been started can be refreshed. You can spend Gems to refresh Internships that you don't want.|4. You can use Internship Scrolls to get additional Internships (The Internships acquired this way can also be refreshed).|5. You can spend Gems to speed up the process.|6. Odds for refreshing Internships: 1-star quest: 25.6%%, 2-star quest: 27%%, 3-star quest: 23.2%%, 4-star quest: 15%%, 5-star quest: 8%%, 6-star quest: 1%%, 7-star quest: 0.2%%.|Odds for using Internship Scroll: 1-star quest: 20%%, 2-star quest: 27%%, 3-star quest: 35%%, 4-star quest: 18%%.|Odds for using Advance Internship Scroll: 4-star quest: 56%%, 5-star quest: 35%%, 6-star quest: 7%%, 7-star quest: 2%%.|8. Players can own 999 Internship Scrolls and 999 Advance Internship Scrolls at most."
ITEM_SUMMON,Summon
ITEM_SELL,Sell
ITEM_DETAIL,Details
ITEM_WAYS,Drop
HELP_WINDOW,Help
PERSON_AVATAR_LIST,Avatars
CLOSE_WINDOW_GUIDE,Tap anywhere or the close icon to continue
PERSON_EDIT_NAME,Change Name
PERSON_EDIT_TIPS1,Please enter your new Name
PERSON_EDIT_TIPS2,4-12 Characters
SURE,OK
PERSON_NO_CRYSTAL,Not Enough Gems!
PERSON_INFO,Personal Info
ALTAR_WINDOW_HELP,"1. Girls can be Transferred to receive a mixture of EXP Juice, Lunch boxes, and Class list. |2. Juice can be used to level up your girls. |3. Lunch boxes are used to upgrade Girls past milestone levels. |4. Class lists can be used to buy higher Star Girls in the Girl Store.|5. You can choose the amount of 3-star girls you want to transfer to transfer them in 1 time by using Bulk Transfer.|6. Bulk Transfer will automatically keep 20 Ghost, Human, Monster, Fairy and 4 Demon and Angel Faction 3-Star Girls."
RIGHT_BLUE_BUTTON_1,Market
RIGHT_BLUE_BUTTON_2,Slots
RIGHT_BLUE_BUTTON_3,Tests
RIGHT_BLUE_BUTTON_4,Patrol
RIGHT_BLUE_BUTTON_5,Tasks
RIGHT_BLUE_BUTTON_6,Intern
RIGHT_BLUE_BUTTON_7,Graduate
RIGHT_BLUE_BUTTON_8,Transfer
RIGHT_BLUE_BUTTON_9,Enroll
RIGHT_BLUE_BUTTON_10,Hiking
LV,Lv.{1}
PERSON_NAME_SHORT,The name is too short!
PERSON_NAME_LONG,The name is too long!
PERSON_NAME_SUCCEED,Name changed successfully!
PERSON_NAME_FAIL,This name already exists. Please choose another.
GET_ITEMS,Item(s) Acquired
PUB_MISSION_REFRESH_1,It costs {1} Gems to refresh. Do you wish to continue?
PUB_MISSION_REFRESH_2,No available Quests to refresh
PUB_MISSION_REFRESH_3,Not enough Gems!
PUB_START_MISSION_1,You haven't met the requirements for this Quest!
PUB_START_MISSION_2,{1} class Girl required
PUB_START_MISSION_3,{1} faction Girl required
PUB_START_MISSION_4,{1}-Star Girl required
PUB_START_MISSION_5,You don't meet the Power requirements
PUB_START_MISSION_6,This Girl has already been deployed!
PUB_LOCK_MISSION,Started Quest cannot be unlocked
SKILL_UNLOCK_DESC,Unlocks at Grade {1}
ATTR_UP,Grade increase:
TOP_LEV_UP_TO,Lv. Cap increase:
TREASURE_NOT_OPEN,Unlocks at Lv. 40
GET_FROM_STAGE,Dropped at {1}
HAS_NOT_EQUIP,No Gear
EQUIP_ON,Equip
NOT_ENOUGH_MANA,Not Enough Coins!
NOT_ENOUGH_MAGIC_DUST,Need more Crystal Chisels
NOT_ENOUGH_CRYSTAL,Not Enough Gems!
NOT_ENOUGH_GRADE_STONE,Not Enough Lunch Boxes!
NOT_ENOUGH_EXP,Not Enough EXP
NOT_TOP_LEV,This Girl's Level is too low
UNEQUIP_ALL,Unequip
GAMBLE_DOOR_TIPS,Requires Player Lv.{1} or VIP Lv.{2}
GAMBLE_DOOR_TITLE,Slot Machine
GAMBLE_BUY_ONE,X 1
GAMBLE_BUY_TEN,X 10
GAMBLE_SYSTEM_REFRESH_TIME,Next Refresh
GAMBLE_COIN_NOT_ENOUGH,Not Enough Slot tickets
GAMBLE_VIP_NOT_ENOUGH,"It requires VIP {1} or player's level to reach {2}, do you want to gain VIP Exp by purchasing gems?"
CRYSTAL_NOT_ENOUGH,Not enough Gems. Do you wish to recharge?
GAMBLE_BUY_TITLE,Purchase Slot Ticket
GAMBLE_ITEM_RATE,Odds: {1}%%
GAMBLE_RECORD_ITEM,{1} Acquire [c][{2}]{3} x{4}[-][/c]
GAMBLE_RECORD_TITLE,Record
BUY,Buy
GAMBLE_WINDOW_HELP,"1. The Slot Machine automatically refreshes every 24 hours. The refresh time resets if the Slot Machine is manually refreshed. |2. Use Slot Tickets to use the Slot Machine. Prizes include Girl Shards, Gear, and Antiques. |3. The reward Slot Machine provides will become better as your player level goes higher.|4. You'll receive 10 Coupons each time you pull the lever, which can be exchanged for Girl Shards, Gear, etc. in the Lucky Store. |5. Slot Tickets can be purchased with Gems on the Slot Machine page or at the Market. They can also be received from event packs or event rewards.|6. Tap on the rewards to check the rate to get them."
GAMBLE_WOMAN_TALK_1,Normal Slot machine talks 1
GAMBLE_WOMAN_TALK_2,Normal Slot machine talks 2
GAMBLE_WOMAN_TALK_3,Normal Slot machine talks 3
GAMBLE_WOMAN_TALK_4,Normal Slot machine talks 4
GAMBLE_WOMAN_TALK_5,Normal Slot machine talks 5
GAMBLE_UP_WOMAN_TALK_1,Super Slot Machine talks 1
GAMBLE_UP_WOMAN_TALK_2,Super Slot Machine talks 2
GAMBLE_UP_WOMAN_TALK_3,Super Slot Machine talks 3
GAMBLE_UP_WOMAN_TALK_4,Super Slot Machine talks 4
GAMBLE_UP_WOMAN_TALK_5,Super Slot Machine talks 5
OPEN_SLOT_TIPS,Spend {1} Gems to add {2} Girl capacity?
NOT_ENOUGH,Not enough {1}
LOCK_PARTNER_TIPS,The Girl is locked|The Girl is in Junior Varsity Lineup|The Girl is in Varsity Lineup|The Girl is in Elite League Lineup|The Girl is set as Wallpaper Girl|The Girl is in Dorm|The Girl is in the Main Center of School Excursion|The Girl is assigned to a School Excursion Facility||The Girl is in Ultimate League Lineup|The Girl is in a preset Lineup|The Girl is in a team of Galaxy Voyage
ALTAR_DECOMPOSE_TIP,This Girl's Star Rank is higher than 3. Are you sure you want to transfer her?
ALTAR_HERO_NUM_TEXT,Remaining:
ALTAR_SMART_TEXT,Auto Select
ALTAR_FILTER_TEXT,Filter
ALTAR_DECOMPOSE_TEXT,Transfer
ALTAR_PREVIEW_TEXT,Preview
ALTAR_DECOMPOSE_TIP2,Requires at least 1 Girl
MAIL_AWAED_TEXT,Reward
MAIL_SYSTEM_TEXT,System Mail
MAIL_PLAYER_TEXT,Player Mail
PARTNER_INFO_JOB,Job
PARTNER_INFO_GRADE,Grade
PROPHET_MANU1,Enroll
PROPHET_MANU2,Exchange
PROPHET_TIP1,Select a Girl to Exchange
PROPHET_BTN_CANCEL,Cancel
PROPHET_BTN_SAVE,Save
PROPHET_BTN_REPLACE,Exchange
PROPHET_REPLACE_HELP,"1. Use Portfolios to exchange Girls of the same Faction and star rank. |2. You can reject the new Girl to keep the original one, but the used Portfolio won't be returned. |3. Locked Girls and Girls in the League can't be Exchanged. You can only Exchange 4 and 5-Star Girls. Girls from the Angel and Demon Factions can't be Exchanged. |4. When Exchanging a 5-star Girl, there is a chance you will get a 4-star Girl with a 5-star rating. |5. If you accept the Exchange, everything (Level, Gear, Crystals, and Antiques) will be transferred to the new Girl. |6. In the Exchange screen, you can see the new Girl's attributes at Level 1. If your new Girl has a higher level, her attributes will be different.|7. After the exchange, the girl will not inherit the Intimacy.|8. The new updated girls will not show as the exchange results in the first week of their release."
PROPHET_SUMMON_RULE_HELP,"1. Seals can be obtained through Events, Internship Quests, and purchased through the Market. |2. Each Enroll costs 1 Seal. |3. Players may receive either 4-Star or 5-Star Girls from the chosen Faction, 4-Star Girl Shards, or 5-Star Girl Shards. |4. Each Enroll also has a chance to earn Portfolios. Portfolios can be used for Exchanges.|The new updated girls cannot be acquired via Enroll in the first week of their release."
PROPHET_SUMMON_RATE_HELP,"Fairy Faction odds for Enroll: 4-Star shards 7%%,  Fairy 4-Star shards 60%%, 5-Star shards 24%%, Fairy 5-Star shards 9%%.|Human Faction odds for Enroll: 4-Star shards 7%%, Human 4-Star shards 60%%, 5-Star shards 24%%, Human 5-Star shards 9%%.|Monster Faction odds for Enroll: 4-Star shards  7%%, Monster 4-Star shards 60%%, 5-Star shards 24%%, Monster 5-Star shards 9%%.|Ghost Faction odds for Enroll: 4-Star shards 7%%, Ghost 4-Star shards 60%%, 5-Star shards 24%%, Ghost 5-Star shards 9%%.|Demon and Angel Faction odds for Enroll: Demon or Angel 4-Star shards 40%%, Demon or Angel 4-Star 28%%, 5-Star shards 28%%, Demon or Angel 5-Star 4%%."
PROPHET_WOMAN_TALK_1,Enroll Girls Talk 1
PROPHET_WOMAN_TALK_2,Enroll Girls Talk 2
PROPHET_WOMAN_TALK_3,Enroll Girls Talk 3
PROPHET_WOMAN_TALK_4,Enroll Girls Talk 4
PROPHET_WOMAN_TALK_5,Enroll Girls Talk 5
ATTR,Attribute
DUNGEON_TITLE,{1} {2}
DUNGEON_HARD_1,Easy
DUNGEON_HARD_2,Normal
DUNGEON_HARD_3,Hard
DUNGEON_HARD_4,Extreme
DUNGEON_MONSTER_PREVIEW,Enemy
DUNGEON_FIGHT,Fight
DUNGEON_HERO_HAS_UP,The Girls have been deployed!
DUNGEON_FULL_HERO,Maximum Deployed Girls!
DUNGEON_START_ERROR,You haven't deployed any Girls!
DUNGEON_SHOP,Shop
DUNGEON_SHOP_LEV_1,Primary
DUNGEON_SHOP_LEV_2,Medium
DUNGEON_SHOP_LEV_3,Senior
DUNGEON_SHOP_DETAIL,{1} Merchant
DUNGEON_SHOP_TIPS_1,Total:
DUNGEON_SHOP_TIPS_2,No items to buy
DUNGEON_HERO_TITLE,Fight
DUNGEON_SWEEP_CAMPAIGN,You have completed the Raid!
DAILY_QUIZ_TITLE,Daily Quiz
DAILY_QUIZ_DETAIL_TITLE_1,Coin Quiz
DAILY_QUIZ_DETAIL_TITLE_2,Exp Quiz
DAILY_QUIZ_DETAIL_TITLE_3,Girls Quiz
DUNGEON_TIME_COUNT_END,Ending in:
DUNGEON_TIME_COUNT_START,Time to start:
NO_OPEN,Locked
RANK_WINDOW,Rank
TOWER_VIDEO_WINDOW,Recently completed
DAILY_MISSION,Daily Tasks
REFRESH_TIME,Refresh In
GO,Go
PURCHASE_SUCCESS,Purchase Successful
GROUP_1,Ghost
GROUP_2,Human
GROUP_3,Monster
GROUP_4,Fairy
GROUP_5,Demon
GROUP_6,Angel
GROUP_5_6,Angel/Demon
PROPHET_TREE_NOT_ENOUGH,Not enough Seals
PROPHET_BRANCH_NOT_ENOUGH,Not Enough Portfolios
DAILY_QUIZ_TIME_COUNT,Starting in:
DAILY_QUIZ_LEFT_COUNT,Times Remaining:
FIGHT,Battle
AFTER_FREE,Refreshes In
MAINWIN_RIGHT_1,Shop
MAINWIN_RIGHT_2,Trials
MAINWIN_RIGHT_3,Dorm
MAINWIN_RIGHT_4,Guild
MAINWIN_RIGHT_5,School
MAINWIN_RIGHT_6,League
MAINWIN_TOP_1,Tutorial
MAINWIN_TOP_2,Trophies
MAINWIN_TOP_3,Mail
MAINWIN_TOP_4,Settings
MIDAS_WINDOW,Alchemy
ACHIEVEMENT,Trophies
SUMMON_RATE,Odds
NOT_MAX_GRADE,Girl hasn't reached grade cap
CONFIRM_BUY,Do you wish to make this purchase?
CONFIRM_REFRESH,You need {2} {1} to refresh. Continue?
CHOOSE_MATERIAL_PARTNER,Please select Girls
NOT_ENOUGH_PARTNERS,Not enough Girls
DAILY_QUIZ_AWARD,Quiz Rewards:
DAILY_QUIZ_AWARD_1,Coins
DAILY_QUIZ_AWARD_2,EXP Juice & Lunch box
DAILY_QUIZ_AWARD_3,Girl shard
DAILY_QUIZ_HELP_1,1. Coin Quizzes unlock at Lv. 20. Passing Quizzes earns you Coins.|2. Two free Quizzes per day. Only passing Quizzes will be counted.|3. Increase your level to unlock more difficult Quizzes with better rewards.|4. Higher VIP levels increase the number of Quizzes you can buy.|5. There is a random chance for double or triple rewards.
DAILY_QUIZ_HELP_2,1. EXP Quizzes unlock at Lv.25. Passing Quizzes earns you Player EXP and Lunch Boxes.|2. Two free Quizzes per day. Only passing Quizzes will be counted.|3. Increase your level to unlock more difficult Quizzes with better rewards.|4. Higher VIP levels increase the number of Quizzes you can buy.|5. There is a random chance for double or triple rewards.
DAILY_QUIZ_HELP_3,1. Girl Quizzes unlock at Lv.30. Passing Quizzes earn Girl Shards.|2. Two free Quizzes per day. Only passing Quizzes will be counted.|3. Increase your level to unlock more difficult Quizzes with better rewards.|4. Higher VIP levels increase the number of Quizzes you can buy.|5. There is a random chance for double rewards.
DAILY_QUIZ_BUY_TIPS_1,VIP{1} can only buy {2} times
DAILY_QUIZ_BUY_TIPS_2,{1} Gems required. Continue?
DAILY_QUIZ_BUY_TIPS_3,Purchased Successfully
DAILY_QUIZ_FIGHT_TIPS,You're out of challenges!
NEXT_BATTLE,Next
BACKPACK_WINDOW,Bag
SKIP_BATTLE,Skip Battle?
ALTAR_TITLE,Transfer
ACTIVITY_WINDOW,Gift Packs
TOWER_TEXT01,Enemy
TOWER_TEXT02,Reward
TOWER_TEXT03,Stage {1}
TOWER_TEXT04,Fight
SHOP_TEXT01,Refresh
SHOP_TEXT02,Free Refresh
NO_EQUIP,There is no gear
NO_ITEM,There is no item...
NO_DEBRIS,There are no shards
NO_ARTIFACT,There are no antiques
SMITHY_WINDOW,Gear Forge
SMITHY_WINDOW_HELP,1. Combine lower quality Gear to forge more useful Gear.|2. Forging requires Coins.|3. Make sure your Gear is in your Bag and not equipped by Girls.
EQUIP_NAME_1,Weapons
EQUIP_NAME_2,Clothes
EQUIP_NAME_3,Headwear
EQUIP_NAME_4,Bottoms
COMPOSE,Forge
CHECKIN_TEXT01,You can claim a reward once per day after log-in. Rewards will be refreshed after claiming 30 times. Your rewards can be claimed later if you forget to claim them.
CHECKIN_TEXT02,Rewards will be refreshed after claiming 30 times.
CHECKIN_TEXT03,
CHECKIN_TEXT04,Sign In
FIGHT_EVENT,Fight
STAGE_FIGHTED,Cleared
DUNGEON_USE_DRUG,Are you sure you want to use {1}?
AWAKE_UP,Awaken
SKILL_UP,Skill Increase
TOWER_WINDOW,Tests
PROPHET_WINDOW,Enroll
ALTAR_WINDOW,Girl Transfer
MAX_AWAKE,Your Girl is fully Awake!
SAVE_FORMATION,Save Team
BATTLE_START,Fight
LOGIN,Login
MIDAS_TEXT01,Refresh
MIDAS_TEXT02,Purchase any type of Coins
MIDAS_TEXT03,Free
MIDAS_TEXT04,Claim
RANK_TEXT01,Clear
RANK_TEXT02,Level
FREE2,Free
