id,name,dialog
1,Iron Fist,KongMing senpai!!! Good morning~
2,KongMing,Good morning~
3,Dracula,"When I'm alone in this dorm, it will be mine to rule!"
4,Saint,Where's Michael? I thought you two are inseparable.
5,Lucifer,"She's got her own business, but that's not your problem."
6,Valeera,"Phoenix is right next to me, what should I say to start the topic?"
7,Phoenix,"Valeera is right next to me, what should I say to start the topic?"
8,Saint,What about a finger guess game right here?
9,Gambler,"That's a good idea! I won't lose this time! Paper, scissor, stone…"
10,Saint,Paper!
11,Gambler,Stone!
12,Librarian,I've got no book to read here… Senpai must be bragging about how he likes to read.
13,Iron Fist 1,Who are you?
14,Iron Fist 2,That's what I'm about to ask. I would never wear this!
15,Iron Fist,"Nooo… The dorm is too humble, there's not even a proper place to sleep…"
16,Iron Fist,A crystal ball? I've never seen snow before… May I get inside and have a look?
17,Lucifer,"Saint, don't you dare try to provoke me!"
18,KongMing,Iron Fist must be in a good mood today~ But…
19,Raphael,"But her prosthetic arm doesn't look good, right?"
20,Raphael,"I've noticed that too, but don't be worried, I believe she can handle this herself."
21,KongMing,I hope so…
22,Bud Elf,Senpai should decorate his dorm with more plants! I need to tell him that later~
23,Sonya,It smells great! They must have developed a new recipe!
24,Mio,Happy Meow Year?
25,Mio,Meow... This dress is too tight for me!
26,Michael,My poster? Gabriel must have sneaked another photo!!!
27,Lucifer,"Michael's poster? Haha, someone's doing a great job here!"
28,Valeera,Never knew Senpai also has a collection of storybooks.
29,Valeera,This story is really weird… The main character is so related to Iron Fist…
30,Iron Fist,A storybook? Well… The story is really interesting!
31,Ithil,Never thought the room can be so tidy.
32,Ithil,Maybe I can help to clean up this room after the next operation is over.
33,CapsuGirl,What's Senpai doing right now? Hope he's not messing up my capsule machine…
34,KongMing,"Every time I wear this dress, it reminds me of the sweet memories with Senpai..."
35,KongMing,Although I predicted this would happen... But I was still surprised that Senpai did it without hesitation.
36,Iron Fist,I'll fight hard for Senpai as always!
37,Sakura,I only hope Senpai can also see the cherry blossom here…
38,Hexa,"Everyone is fighting for justice, I don't see a point to leave me here…"
39,Saint,"So, they're out for another battle? Why they didn't take me with them!"
40,Hottie,Time to plan for my next vocation~
41,Fencer,"Warmth will affect the cast of ice magics… But since I'm not in battle, it's okay to stay here a little bit longer…"
42,Michael,"Let's take a break, and return to work once we recover. Senpai still needs our assistance!"
43,Lucifer,"Light cannot exist without darkness, but people barely recognize this fact. But I believe Senpai knows this very well…"
44,Ennmaya,I hope this room can be a little bit darker. Sadly I cannot remodel Senpai's room privately.
45,Dracula,I smell human in this room. It's been a long time since I last drunk some real human blood…
46,KongMing,It's not bad to be surprised by this.
47,Lucifer,Why do I need to take courses like others? I can become talented through self-study!
48,Valeera,"Phoenix, are you lost? You're running in circles here."
49,Phoenix,How can I be lost in a Dorm room? I'm just looking for the fridge!
50,Michael,"Time to rise and shine, Lucifer~"
51,Lucifer,Ten... more... minutes...
52,Gwen & Brigit,"Gwen: Where hath Jacob gone? Didst the lady finally hadst enow of thy antics?\nBrigit: Gwen will never get tired of me! Look, we're joined at the hip!"
53,Esau,Jacob! Come over here and show them that we're better twins than they are!
54,Psychic,Bruno is very smart! It does 2-digit calculations.
55,Sivney,"Well, Bonnie can do more than that. She makes robots!"
56,Luna,"Hmm…Sweet Taro Cakes, Chestnut Cakes, and cute bunnies…"
57,Angelica,She's talking in her sleep…how adorable!
58,Blair,"You…I remember you, you're very close to Senpai…A THREAT!"
59,Iron Fist,"Um, I feel eyes on me. I should be worried, right…?"
60,Uriel,"Teresa, as a nun, you should refrain from acting like this."
61,Teresa,More wine! More Spicy Fishies!
62,Gambler,"Can I leave now? You haven't won any of the bets, and I'm tired."
63,Rogue,"No, I'm positive about this bet! By the way, do you mind lending me some money? I'll pay you back~"
64,Von Helsing,DRACULA?
65,Dracula,"Woah, you look murderous."
66,Von Helsing,DRACULA!!!
67,Lord Dracula,"Ah, it's you. It's been quite a while since I've tasted the blood of Vampire Hunters…"
68,Joan,"Hmm, what should I have for lunch?"
69,Guan Yin,Stewed Pork with Sauce!
70,Sonya,"Two Stewed Pork with Sauce, coming right up!"
71,Lord Dracula,"Ugh, what did you put in my glass?"
72,Apate,"Oh, nothing too harmful, just some crushed garlic."
73,Aquaris,You look simply stunning in your new gear!
74,N-Gen Iron Fist,Thank you! Though I find myself uncontrollably attracted to sources of light now…
75,Estel,"Vivian, can you ask a question to the stars for me? Will I be caught if I set off fireworks tonight?"
76,Vivian,"The Stars have spoken…""Play to your heart's extent, young Estel, for you will be in detention for the next three days…"""
77,Psychic,"I'm sorry, but you can't have those. These are dog biscuits."
78,Mio,Who says Mio isn't one? Meow!
79,CapsuGirl,"Unfortunately, this Capsule doesn't contain the prize."
80,Monica,… I can turn back time to pick another one…
81,Gabriel,A scoop! And another headline-worthy article! Yes!!
82,KongMing,"… I understand your excitement, but we really can't have another complaint about the News Agency."
83,Wu Kong,Can you ask the Peach Trees in the Academy Gardens to bear fruit faster?
84,Holly,Uh…I don't think I can.
85,Bud Elf,Hmm… these trees seem to be healthy and full of life.
86,Holly,"All thanks to you, Bud Elf."
87,Vera,"Don't worry about the floor, I'll take care of it."
88,Ithil,"No, no, I like cleaning. Let's do this together."
89,Vivian,The stars just gave me a warning… but what for?
90,Amelia,"Hey, Vivian! Are you interested in this shiny new Orb?"
91,Robbie,... Are you an AI too? Erina is glad to meet another one like her…
92,Turin,"Oooh, I never realized that you're one too! Nice to meet you, Erina, I am Turin!"
93,Robbie,"""Hello, Turin. This young one here is Robbie; I am Erina."""
94,Frexie,It… hurts…
95,Raphael,"That's because you ate a poisonous mushroom. Spit it out, quick!"
96,Kassy,Our pets seem to get along with each other.
97,Mio,"They're not pets, they're fam-eowly!"
98,Hermes,"Oh Crystal Child of Miracles, I wish to be the richest person in the world."
99,Krystal,You have to work for that!
100,Pandaria,"It's not impressive at all, just a huge lump of fat!"
101,Robbie,"Huge? Erina is huge, and she protects me…"
102,Blair,"If I kiss Senpai in front of you, we will be together for eternity!"
103,Holly,"Uh, I'm pretty sure you got the wrong plant."
104,Mika,The craftsmanship of this doll is incredible! I should add movable joints to my clay dolls too...
105,Muppet,"Please stop studying my joints, it's creepy…"
106,Hottie,"How did class go? It's nice being teacher for a change, isn't it?"
107,Uriel,This whip could come in handy…
108,Trinity,I have time for a small nap… ZZZ
