id,buff_id,plus_minus,name,sec
1,atk|atkP|siphonAtk|vanity,1,Attack Buff,Increases a Girl's Attack.
2,hp|hpP|addHpLimit,1,HP Buff,Increases a Girl's HP.
3,arm|armP|siphonArm,1,Armor Buff,Increases a Girl's Armor.
4,spd|spdSteal,1,Speed Boost,Increases a Girl's Speed.
5,sklP,1,Skill Damage Boost,Increases a Girl's Skill Damage.
6,hit,1,Precision Boost,Increases a Girl's Precision.
7,miss|missLimit2,1,Block Boost,Increases a Girl's Block.
8,crit,1,Crit Chance Buff,Increases a Girl's Crit.
9,critTime|critTimeBlood,1,Crit Damage Buff,Increases a Girl's Crit Damage.
10,brk,1,Armor Break Buff,Increases a Girl's Armor Break.
11,free,1,Control Immunity Boost,Increases a Girl's Control Immunity.
12,trueAtk,1,Holy Damage Buff,Increases a Girl's Holy Damage.
13,decDmg|decDmgBlood|decDmgNadd|allHarmDec,1,Damage Reduction Buff,Increases a Girl's Damage Reduction.
14,healB,1,Heal Received Boost,Increases a Girl's Heal Received.
15,healI,1,Heal Amount Boost,Increases a Girl's Heal Amount.
16,atk|atkP|siphonAtk|vanity,2,Attack Debuff,Reduces a Girl's Attack.
17,hp|hpP,2,HP Debuff,Reduces a Girl's HP.
18,arm|armP|siphonArm,2,Armor Debuff,Reduces a Girl's Armor.
19,spd|spdSteal,2,Speed Debuff,Reduces a Girl's Speed.
20,sklP,2,Skill Damage Debuff,Reduces a Girl's Skill Damage.
21,hit,2,Precision Debuff,Reduces a Girl's Precision.
22,miss|missLimit2,2,Block Debuff,Reduces a Girl's Block.
23,crit,2,Crit Chance Debuff,Reduces a Girl's Crit.
24,critTime|critTimeBlood,2,Crit Damage Debuff,Reduces a Girl's Crit Damage.
25,brk,2,Armor Break Debuff,Reduces a Girl's Armor Break.
26,free,2,Control Immunity Debuff,Reduces a Girl's Control Immunity.
27,trueAtk,2,Holy Damage Debuff,Reduces a Girl's Holy Damage.
28,decDmg|decDmgBlood|decDmgNadd,2,Damage Reduction Debuff,Reduces a Girl's Damage Reduction.
29,healB,2,Heal Received Debuff,Reduces a Girl's Heal Received.
30,healI,2,Heal Amount Debuff,Reduces a Girl's Heal Amount.
31,weak,,Weaken Mark,"A Mark Effect. Girls with ""Weaken"" status will take extra damage. This status cannot be stacked."
32,stun,,Stun,"A Control Effect. During this effect, girls affected will not be able to deal Basic Attack, release their Active Skills, Hunt or Counterattack."
33,ice,,Freeze,"A Control Effect. During this effect, girls affected will not be able to deal Basic Attack, release their Active Skills, Hunt or Counterattack."
34,stone,,Petrify,"A Control Effect. During this effect, girls affected will not be able to deal Basic Attack, release their Active Skills, Hunt or Counterattack."
35,forbid,,Silence,"A Control Effect. During this effect, girls affected will not be able to release their Active Skills."
36,hot|healP,,HP Regeneration,"Girls with ""HP Regeneration"" effects will regenerate her HP at the beginning of a round."
37,dotPoison,,Poison,"A Damage Over Time effect. Damage is dealt once when poison is inflicted and during the period of effect, damage will be dealt at the beginning of each round."
38,dotBlood,,Bleed,"A Damage Over Time effect. Damage is dealt once when bleed is inflicted and during the period of effect, damage will be dealt at the beginning of each round."
39,dotFire,,Burn,"A Damage Over Time effect. Damage is dealt once when burn is inflicted and during the period of effect, damage will be dealt at the beginning of each round."
40,rImpress,,Round Mark,A Mark Effect. The Round Mark will be removed 1 round after it is applied and deal damage at the same time. This effect can stack.
41,cImpress,,Critical Strike Mark,A Mark Effect. The Critical Strike Mark will be removed and deal damage if the owner takes crit damage. This effect can stack.
42,fImpress,,Yinyang Mark,A Mark Effect. Girls tagged with the Yinyang Mark takes more damage from Priestess. This effect can stack.
43,oImpress,,Hornet Mark,A Mark Effect. Girls tagged with the Hornet Mark takes more damage. Can be stacked up to 300% extra damage.
44,dotTwins,,Bringers of Fate,"Girls targeted with this effect will take damage when this effect is applied, and at the start of the next round."
45,aggression,,Pursue,"A Skill effect. When a Girl who has stacks of Pursue triggers her Active Skill, all stacks of Pursue will be consumed. Each stack of Pursue deals damage against the enemy with the lowest HP and Bleeds them."
47,frighten,,Terrorize,"A Control Effect. During this effect, girls affected will not be able to perform Basic Attacks."
48,decDmgShieldLimit5,,Shield of Darkness,A Skill Effect. Provides Control Immunity and Damage Reduction to the owner. This effect can be stacked up to 5 stacks.
49,balanceImpressLimit30,,Equilibrium Mark,A Mark Effect. Girls take damage based on their Maximum HP when using their Active Skills. Damage taken will not surpass 3000% of Nephilim's Attack. This effect cannot stack.
50,tearLimit2,,Disintegration,A Mark Effect. Reduces the owner's Block and increases damage taken from Damage Over Time Effects.
51,getImmenu,,Disrespect,"A Skill Effect. When Rogue is afflicted by a Control Effect, allows her to remove 1 stack of Disrespect to negate it."
52,getReflect,,Dauntless,A Mark Effect. Rogue removes 1 stack of Dauntless to reduce and reflect a part of damage taken from Active Skills and Basic Attacks aimed at her.
53,moonShadow,,Moonlight Shadow,"A Skill Effect. When allies are hit with Active Skills or Basic Attacks, has a chance to cleanse 2 debuffs from the attacked ally. This effect can only be triggered for a limited number of times per round. At the end of each round, heals the ally with the lowest HP. Effect discontinues if the caster of this effect is defeated."
54,starMoon,,Galaxy,"A Skill Effect. When Vivian takes damage or Debuff, the enemy Vivian tags Galaxy on will also take some of the damage and have a chance to take the same Debuff."
