id,image,words
1,emoticon_1_zh_cn_png,人家好可愛
2,emoticon_2_zh_cn_png,我還是個孩子
3,emoticon_3_zh_cn_png,要抱抱
4,emoticon_4_zh_cn_png,一邊去
5,emoticon_5_zh_cn_png,叫我？
6,emoticon_6_zh_cn_png,怪我咯
7,emoticon_7_zh_cn_png,庸俗
8,emoticon_8_zh_cn_png,你是逼我出手
9,emoticon_9_zh_cn_png,寶寶心裡苦
10,emoticon_10_zh_cn_png,來給你加個BUFF
11,emoticon_11_zh_cn_png,（流鼻血）
12,emoticon_12_zh_cn_png,老臉一紅
13,emoticon_13_zh_cn_png,你胸大你先說
14,emoticon_14_zh_cn_png,喂？110嗎
15,emoticon_15_zh_cn_png,自從不要臉整個人都輕鬆了
16,emoticon_16_zh_cn_png,一臉懵逼
17,emoticon_17_zh_cn_png,暗中觀察
18,emoticon_18_zh_cn_png,突然冒出
19,emoticon_19_zh_cn_png,來交易嗎
20,emoticon_20_zh_cn_png,醜拒
21,emoticon_21_zh_cn_png,來啊互相傷害啊
22,emoticon_22_zh_cn_png,鹹魚一刺
23,emoticon_23_zh_cn_png,嚶嚶嚶
24,emoticon_24_zh_cn_png,謝謝
