name,translation
STAGE_NAME,關卡{1}-{2}
BIG_MAP,大地圖
YES,是
NO,否
GET,獲取
GET2,領取
TEAM,隊伍
AWARD,戰利品
EQUIP,裝備
ITEM,物品
DEBRIS,碎片
ARTIFACT,神器
NOW_NONE,當前沒有{1}
NOT_SELL,不可出售
BATTLE_FORMATION_WIN,英雄出戰
FRONT_ROW,前排
BACK_ROW,後排
ARTIFACT_ATTR_LIMIT,屬性激活限定：{1}
GET_WAYS,獲得途徑：
FORT_NAME_1,薩拉森林
FORT_NAME_2,月沙島
FORT_NAME_3,恐懼之地
FORT_NAME_4,克羅姆礦山
FORT_NAME_5,遺忘冰原
FORT_NAME_6,海德堡
FORT_NAME_7,炙熱之地
FORT_NAME_8,至高天
FORT_NAME_9,薩拉森林
FORT_NAME_10,月沙島
FORT_NAME_11,恐懼之地
FORT_NAME_12,克羅姆礦山
FORT_NAME_13,遺忘冰原
FORT_NAME_14,海德堡
FORT_NAME_15,炙熱之地
FORT_NAME_16,至高天
FORT_NAME_17,神木林
FORT_NAME_18,亡靈要塞
FORT_NAME_19,薩拉森林
FORT_NAME_20,月沙島
FORT_NAME_21,恐懼之地
FORT_NAME_22,克羅姆礦山
FORT_NAME_23,遺忘冰原
FORT_NAME_24,海德堡
FORT_NAME_25,炙熱之地
FORT_NAME_26,至高天
FORT_NAME_27,神木林
FORT_NAME_28,亡靈要塞
FORT_NAME_29,上古遺跡
FORT_NAME_30,幽暗深淵
FORT_NAME_31,薩拉森林
FORT_NAME_32,月沙島
FORT_NAME_33,恐懼之地
FORT_NAME_34,克羅姆礦山
FORT_NAME_35,遺忘冰原
FORT_NAME_36,海德堡
FORT_NAME_37,炙熱之地
FORT_NAME_38,至高天
FORT_NAME_39,神木林
FORT_NAME_40,亡靈要塞
FORT_NAME_41,上古遺跡
FORT_NAME_42,幽暗深淵
PARTNER_DETAIL_TIPS,聽好了，太拘泥于面板上的數字可是會吃大虧的
GRADE,品階
LEV_UP,升級
AWAKE,覺醒
JOB_1,戰士
JOB_2,法師
JOB_3,遊俠
JOB_4,刺客
JOB_5,牧師
STAGE_RES,關卡產出
STAGE_ITEM,關卡掉落
STAGE_RES_NUM,+{1}/5s
STAGE_HANG,掛機
ATK,攻擊力
HP,血量
ARM,護甲
SPD,速度
ENERGY,能量
HIT,命中
MISS,閃避
CRIT,暴擊
TRUEATK,神聖傷害
BRK,破甲
CRITTIME,暴擊傷害值
FREE,免控率
SKLP,技能傷害率
DECDMG,減傷率
CAMPAIGN_HANG_ITEM_WINDOW,掉落獎勵
TIPS,提示
TOP_LEV_UP,等級上升
COMPOSE_EQUIP,裝備合成
COMPOSE_EQUIP_NO_MANA,金幣不足，無法合成！
COMPOSE_EQUIP_NUM_0,合成裝備數量不能為0!
POWER,戰鬥力
PUB_MISSION_NAME_1,寻找阿呆
PUB_MISSION_NAME_2,阿勒里亚的麻烦
PUB_MISSION_NAME_3,黑暗牧师的麻烦
PUB_MISSION_NAME_4,协助圣童
PUB_MISSION_NAME_5,地牢守卫的请求
PUB_MISSION_NAME_6,寻找阿斯布幽魂
PUB_MISSION_NAME_7,制服小恶魔
PUB_MISSION_NAME_8,黑石的礼物
PUB_MISSION_NAME_9,制服魅魔
PUB_MISSION_NAME_10,酋长的请求
PUB_MISSION_NAME_11,卓娅的请求
PUB_MISSION_NAME_12,失踪的克里斯蒂安
PUB_MISSION_NAME_13,失踪的塞拉
PUB_MISSION_NAME_14,费根的请求
PUB_MISSION_NAME_15,骸骨将军的愿望
PUB_MISSION_NAME_16,星光的愿望
PUB_MISSION_NAME_17,屠龙者的麻烦
PUB_MISSION_NAME_18,协助恶魔猎手
PUB_MISSION_NAME_19,肥姆的请求
PUB_MISSION_NAME_20,失踪的格鲁
PUB_MISSION_NAME_21,寻找克里姆的武器
PUB_MISSION_NAME_22,古斯塔的威胁
PUB_MISSION_NAME_23,布利的愿望
PUB_MISSION_NAME_24,黑暗的方德拉的请求
PUB_MISSION_NAME_25,失踪的门徒
PUB_MISSION_NAME_26,寻找洛根的盾
PUB_MISSION_NAME_27,OD-01的愿望
PUB_MISSION_NAME_28,虚荣的女王
PUB_MISSION_NAME_29,寻找冰闪的剑
PUB_MISSION_NAME_30,主宰者的愿望
PUB_MISSION_NAME_31,幻影的麻烦
PUB_MISSION_NAME_32,鲁特兹的挑战
PUB_MISSION_NAME_33,无面者的请求
PUB_MISSION_NAME_34,寻找奥玛斯
PUB_MISSION_NAME_35,美树的请求
PUB_MISSION_NAME_36,玛格丽特的愿望
PUB_MISSION_NAME_37,马拉萨的委托
PUB_MISSION_NAME_38,艾丹的愿望
PUB_MISSION_NAME_39,丹特里安的挑战
PUB_MISSION_NAME_40,寻找沃尔特
PUB_MISSION_NAME_41,罗萨的愿望
PUB_MISSION_NAME_42,不眠者的传说
PUB_MISSION_NAME_43,阿辛多的传说
PUB_MISSION_NAME_44,阿斯莫德的传说
PUB_MISSION_NAME_45,基尔克的传说
DAY,{1}天
HOUR,{1}小時
MINUTE,{1}分鐘
SECOND,{1}秒
CONFIRM,確認
EQUIP_STRENGTHEN,裝備強化
PARTNER,戰姬
SUMMON,召喚
SELF,己方
ENEMY,敵方
