id,award,boxes,num,show_icon
1,1#250000,1,3,
2,9#250000,1,3,
3,10#150,1,2,
4,14#150,1,2,
5,2#20,1,2,
6,26#100,1,2,
7,27#10,1,2,
8,216#5,1,2,
9,940003#30,1,2,1
10,198#200,1,2,
11,199#40,1,2,
12,349#1,1,2,
13,1#500000,1,3,
14,9#500000,1,3,
15,10#300,1,2,
16,14#300,1,2,
17,27#20,1,2,
18,26#200,1,2,
19,216#10,1,2,
20,349#2,1,1,
21,198#400,1,2,
22,199#80,1,2,
23,2#50,1,1,
24,940001#30,1,2,1
25,36#1,1,2,
26,29#1,1,2,
27,20#1,1,1,
28,1#1000000,2,5,
29,9#1000000,2,5,
30,10#6000,2,4,
31,14#6000,2,4,
32,26#6000,2,3,
33,27#750,2,3,
34,216#375,2,3,
35,29#5,2,2,
36,940002#50,2,2,1
37,2#100,2,2,
38,198#10000,2,3,
39,199#2000,2,3,
40,1#1200000,3,6,
41,9#1200000,3,6,
42,10#7200,3,6,
43,14#7200,3,6,
44,26#7200,3,4,
45,27#900,3,4,
46,216#450,3,4,
47,29#5,3,4,
48,940002#50,3,4,1
49,2#100,3,4,
50,198#12000,3,4,
51,199#2400,3,4,
52,940004#50,3,1,1
