id,item,point_limit,cost,text_id,buy_limit,begin_season
1,360#1000,0,398#200,1001,1,1
2,359#100,0,398#200,1001,1,1
3,358#1,0,398#1500,1001,1,1
4,360#1000,200,398#200,1001,2,1
5,359#100,200,398#200,1001,3,1
6,358#1,200,398#1500,1001,2,1
7,360#1000,500,398#200,1001,4,1
8,359#100,500,398#200,1001,5,1
9,358#1,500,398#1500,1001,3,1
10,360#1000,800,398#200,1001,6,3
11,359#100,800,398#200,1001,8,3
12,358#1,800,398#1500,1001,4,3
13,360#1000,1200,398#200,1001,8,6
14,359#100,1200,398#200,1001,10,6
15,358#1,1200,398#1500,1001,5,6
