id,giftbag_id,tower_id,awards,level
1,141,20,2#600|940004#50,1
2,141,40,2#600|940004#50,1
3,141,60,2#600|940004#50,1
4,141,80,2#600|940004#50,1
5,141,100,2#600|940004#50,1
6,141,120,2#600|940004#50,1
7,141,140,2#600|940004#50,1
8,141,160,2#600|940004#50,1
9,141,180,2#600|940004#50,1
10,141,200,2#600|940004#50|93#3,1
11,142,220,2#1200|93#1|4201042#5,2
12,142,240,2#1200|93#1|4201042#5,2
13,142,260,2#1200|93#1|4201042#5,2
14,142,280,2#1200|93#1|4201042#5,2
15,142,300,2#1200|93#1|4201042#5,2
16,142,320,2#1200|93#1|4201042#5,2
17,142,340,2#1200|93#1|4201042#5,2
18,142,360,2#1200|93#1|4201042#5,2
19,142,380,2#1200|93#1|4201042#5,2
20,142,400,2#1200|93#1|4201042#5,2
21,143,420,2#2000|940006#50|36#10,3
22,143,440,2#2000|940005#50|36#10,3
23,143,460,2#2000|940006#50|36#10,3
24,143,480,2#2000|940005#50|36#10,3
25,143,500,2#2000|940006#50|36#15,3
26,143,520,2#2000|940005#50|36#15,3
27,143,540,2#2000|940006#50|36#15,3
28,143,560,2#2000|940005#50|36#15,3
29,143,580,2#2000|940006#50|36#20,3
30,143,600,2#2000|940005#50|36#20,3
31,284,620,2#3500|940059#10|4102007#1,4
32,284,640,2#3500|940059#10|4206001#10,4
33,284,660,2#3500|940059#10|4206001#10,4
34,284,680,2#3500|940059#10|4102008#1,4
35,284,700,2#3500|940059#10|4206001#10,4
36,284,720,2#3500|940059#10|4206001#10,4
37,284,740,2#3500|940059#10|4102007#1,4
38,284,760,2#3500|940059#10|4206001#10,4
39,284,780,2#3500|940059#10|4206001#10,4
40,284,800,2#3500|940059#10|4102008#1,4
41,428,820,2#5000|170#75|358#10,5
42,428,840,2#5000|4705002#20|4201042#20,5
43,428,860,2#5000|4101008#1|4201042#20,5
44,428,880,2#5000|170#75|358#10,5
45,428,900,2#5000|4705002#30|4201042#20,5
46,428,920,2#5000|4101008#1|4201042#20,5
47,428,940,2#5000|170#100|358#10,5
48,428,960,2#5000|4705002#50|4201042#20,5
49,428,980,2#5000|4101008#1|4201042#20,5
50,428,1000,2#5000|986001#20|358#20,5
51,505,1025,2#8000|6779#1|424#30,6
52,505,1050,2#8000|358#50|424#35,6
53,505,1075,2#8000|986001#25|424#40,6
54,505,1100,2#8000|358#50|424#45,6
55,505,1125,2#8000|986001#25|424#50,6
56,505,1150,2#8000|358#50|4201042#60,6
57,505,1175,2#8000|360#500000|4201042#70,6
58,505,1200,2#8000|359#100000|4201042#80,6
59,505,1225,2#8000|360#500000|4201042#90,6
60,505,1250,2#8000|359#100000|4201042#100,6
61,506,1275,2#10000|424#100|418#300,7
62,506,1300,2#10000|360#750000|359#150000,7
63,506,1325,2#10000|360#750000|359#150000,7
64,506,1350,2#10000|4101010#1|4201042#150,7
65,506,1375,2#10000|4901001#1|420#20,7
66,506,1400,2#10000|424#100|418#300,7
67,506,1425,2#10000|360#1000000|359#200000,7
68,506,1450,2#10000|360#1000000|359#200000,7
69,506,1475,2#10000|4101010#2|4201042#250,7
70,506,1500,2#10000|4901001#2|420#30,7
71,507,1525,2#12000|360#1200000|359#300000,8
72,507,1550,2#12000|986001#50|4201042#250,8
73,507,1575,2#12000|986001#50|4201042#250,8
74,507,1600,2#12000|4901001#1|4201042#250,8
75,507,1625,2#12000|4402015#1|4201042#250,8
76,507,1650,2#12000|358#100|940059#100,8
77,507,1675,2#12000|986001#50|4201042#250,8
78,507,1700,2#12000|986001#50|4201042#250,8
79,507,1725,2#12000|4901001#2|4201042#250,8
80,507,1750,2#12000|4402015#2|4201042#250,8
81,508,1775,2#15000|6779#1|4402015#1,9
82,508,1800,2#15000|4901001#2|420#60,9
83,508,1825,2#15000|4402015#1|4201042#500,9
84,508,1850,2#15000|5100020#1|418#500,9
85,508,1875,2#15000|360#1500000|359#500000,9
86,508,1900,2#15000|6779#1|986001#100,9
87,508,1925,2#15000|4402015#1|4201042#500,9
88,508,1950,2#15000|4901001#3|420#90,9
89,508,1975,2#15000|5100020#1|418#500,9
90,508,2000,2#15000|6779#1|4201042#1000,9
