id,award,special,double_award
1,2#150,0,1
2,930067#30,1,0
3,2#150,0,1
4,1051#1,1,0
5,2#150,0,1
6,2#200,0,1
7,930112#10,1,0
8,2#150,0,1
9,2051#1,1,0
10,2#150,0,1
11,2#150,0,1
12,930112#10,1,0
13,2#200,0,1
14,3051#1,1,0
15,2#150,0,1
16,2#150,0,1
17,930112#10,1,0
18,2#150,0,1
19,4051#1,1,0
20,2#200,0,1
21,2#150,0,1
22,930112#10,1,0
23,2#150,0,1
24,2#150,0,1
25,930112#10,1,0
26,2#200,0,1
27,2#150,0,1
28,2#150,0,1
29,2#200,0,1
30,36#5,1,0
31,2#30,0,1
32,940001#30,1,0
33,2#30,0,1
34,930081#10,1,0
35,2#30,0,1
36,2#30,0,1
37,36#1,1,0
38,2#30,0,1
39,2#100,0,1
40,930081#10,1,0
41,2#30,0,1
42,940001#30,1,0
43,2#30,0,1
44,2#30,0,1
45,930081#10,1,0
46,2#30,0,1
47,2#150,0,1
48,36#1,1,0
49,2#30,0,1
50,2#30,0,1
51,930081#10,1,0
52,2#30,0,1
53,2#30,0,1
54,940001#30,1,0
55,2#30,0,1
56,2#30,0,1
57,930081#10,1,0
58,2#30,0,1
59,2#200,0,1
60,36#2,1,0
61,2#30,0,1
62,940001#30,1,0
63,2#30,0,1
64,930095#10,1,0
65,2#30,0,1
66,2#30,0,1
67,36#1,1,0
68,2#30,0,1
69,2#100,0,1
70,930095#10,1,0
71,2#30,0,1
72,940001#30,1,0
73,2#30,0,1
74,2#30,0,1
75,930095#10,1,0
76,2#30,0,1
77,2#150,0,1
78,36#1,1,0
79,2#30,0,1
80,2#30,0,1
81,930095#10,1,0
82,2#30,0,1
83,2#30,0,1
84,940001#30,1,0
85,2#30,0,1
86,2#30,0,1
87,930095#10,1,0
88,2#30,0,1
89,2#200,0,1
90,36#2,1,0
91,2#30,0,1
92,940001#30,1,0
93,2#30,0,1
94,930173#10,1,0
95,2#30,0,1
96,2#30,0,1
97,36#1,1,0
98,2#30,0,1
99,2#100,0,1
100,930173#10,1,0
101,2#30,0,1
102,940001#30,1,0
103,2#30,0,1
104,2#30,0,1
105,930173#10,1,0
106,2#30,0,1
107,2#150,0,1
108,36#1,1,0
109,2#30,0,1
110,2#30,0,1
111,930173#10,1,0
112,2#30,0,1
113,2#30,0,1
114,940001#30,1,0
115,2#30,0,1
116,2#30,0,1
117,930173#10,1,0
118,2#30,0,1
119,2#200,0,1
120,36#2,1,0
121,2#30,0,1
122,940001#30,1,0
123,2#30,0,1
124,930103#10,1,0
125,2#30,0,1
126,2#30,0,1
127,36#1,1,0
128,2#30,0,1
129,2#100,0,1
130,930103#10,1,0
131,2#30,0,1
132,940001#30,1,0
133,2#30,0,1
134,2#30,0,1
135,930103#10,1,0
136,2#30,0,1
