id,point,awards,effect,awards2,effect2
1,5,2#100,,2#300|6092#1,0|1
2,10,2#100|170#4,,2#600|170#15,
3,15,2#200|170#4,,170#15|6092#1,0|1
4,20,2#200|170#4,,2#900|170#15,
5,30,2#300|170#4,,170#15|6092#2,0|1
6,40,2#300|170#4,,2#1200|170#15,
7,50,2#400|170#10|6092#1,0|0|1,2#1500|170#30|6092#2,0|0|1
8,65,2#400|170#10,,2#1500|170#30,
9,80,2#400|170#10|955001#100,,2#1800|170#30|4201042#20,0|0|1
10,95,2#500|170#10|955001#100,,2#1800|170#30|4201042#30,0|0|1
11,110,2#500|170#10|6092#1,0|0|1,2#2400|170#30|4201042#50,0|0|1
12,130,2#600|170#10|956001#100,0|0|1,2#3000|6000#12000|4402014#1,0|0|1
