id,next_id,exp,equip2,weight1,weight2
1,2,25,1|2|3|4|5|6|7|8|9,5400|3600|800|200|0|0,4000|3000|1500|1000|500|0
2,3,50,1|2|3|4|5|6|7|8|9,4800|3600|1200|400|0|0,3500|2500|2000|1000|900|100
3,4,75,1|2|3|4|5|6|7|8|9,2400|4800|1800|1000|0|0,1500|3000|2500|1500|1200|300
4,5,100,1|2|3|4|5|6|7|8|9,1200|4200|3000|1200|400|0,0|3000|3000|2000|1500|500
5,6,150,1|2|3|4|5|6|7|8|9,0|3000|4400|1800|600|200,0|1800|3000|2500|2000|700
6,7,200,1|2|3|4|5|6|7|8|9,0|2400|4000|2400|800|400,0|0|3500|3000|2500|1000
7,8,250,1|2|3|4|5|6|7|8|9,0|1800|3600|3000|1000|600,0|0|1500|4800|2500|1200
8,9,300,1|2|3|4|5|6|7|8|9,0|800|3600|3600|1200|800,0|0|0|5400|3000|1600
9,10,350,1|2|3|4|5|6|7|8|9,0|0|4000|3600|1400|1000,0|0|0|4500|3500|2000
10,11,400,1|2|3|4|5|6|7|8|9,0|0|3600|3400|1800|1200,0|0|0|4000|3500|2500
11,-1,-1,1|2|3|4|5|6|7|8|9,0|0|3000|3200|2400|1400,0|0|0|3000|4000|3000
