id,name,remark,qlt,group,type2,awards,item_id,is_show
10001,-1,-1,1,,2,123#40,7001,
10002,-1,-1,2,,2,123#80,7002,
10003,-1,-1,2,,2,123#80,7003,
10004,-1,-1,2,,2,123#80,7004,
10005,-1,-1,3,,2,123#120,7005,
10006,-1,-1,2,,2,123#80,7006,
10007,-1,-1,1,,2,123#40,7007,
10008,-1,-1,2,,2,123#80,7008,
10009,-1,-1,2,,2,123#80,7009,
10010,-1,-1,3,,2,123#120,7010,
10011,-1,-1,2,,2,123#80,7011,
10012,-1,-1,3,,2,123#120,7012,
10013,-1,-1,3,,2,123#120,7013,
10014,-1,-1,3,,2,123#120,7014,
10015,-1,-1,3,,2,123#120,7015,
10016,-1,-1,3,,2,123#120,7016,
10017,-1,-1,3,,2,123#120,7017,
10018,-1,-1,2,,1,123#80,7018,
10019,-1,-1,2,,1,123#80,7019,
10020,-1,-1,2,,1,123#80,7020,
10021,-1,-1,2,,1,123#80,7021,
10022,-1,-1,2,,1,123#80,7022,
10023,-1,-1,2,,1,123#80,7023,
10024,-1,-1,2,,2,123#80,7024,
10025,-1,-1,3,,2,123#120,7025,
10026,-1,-1,2,,1,123#80,7026,
10027,-1,-1,2,,1,123#80,7027,
10028,-1,-1,3,,2,123#120,7028,
10029,-1,-1,3,,2,123#120,7029,
10030,-1,-1,3,,2,123#120,7030,
10031,-1,-1,3,,2,123#120,7031,
10032,-1,-1,3,,2,123#120,7032,
10033,-1,-1,3,,1,123#120,7033,
10034,-1,-1,3,,1,123#120,7034,
10035,-1,-1,3,,2,123#120,7035,
10036,-1,-1,3,,2,123#120,7036,
10037,-1,-1,3,,2,123#120,7037,
10038,-1,-1,3,,1,123#120,7038,
10039,-1,-1,2,,1,123#80,7039,
10040,-1,-1,2,,1,123#80,7040,
10041,-1,-1,3,,1,123#120,7041,
10042,-1,-1,3,,2,123#120,7042,
10043,-1,-1,3,,1,123#120,7043,
10044,-1,-1,2,,1,123#80,7044,
10045,-1,-1,3,,2,123#120,7045,
10046,-1,-1,2,,1,123#80,7046,
10047,-1,-1,1,,1,123#40,7047,
10048,-1,-1,2,,1,123#80,7048,
10049,-1,-1,2,,1,123#80,7049,
10050,-1,-1,3,,2,123#120,7050,
10051,-1,-1,2,,2,123#80,7051,
10052,-1,-1,2,,2,123#80,7052,
10053,-1,-1,3,,2,123#120,7053,
10054,-1,-1,3,,2,123#120,7054,
10055,-1,-1,2,,2,123#80,7055,
10056,-1,-1,3,,2,123#120,7056,
10057,-1,-1,3,,2,123#120,7057,
10058,-1,-1,1,,1,123#40,7058,
10059,-1,-1,2,,2,123#80,7059,
10060,-1,-1,3,,2,123#120,7060,
10061,-1,-1,3,,1,123#120,7061,
10062,-1,-1,2,,2,123#80,7062,
