id,next_id,fort_first,fort_id,god_skill,battle_id,awards,dropbox,awards_show,xy,fort_img,battle_pass_point
1001,1002,1,1,5210101,202210301,,710001,5200101#1,-100|-200,btn_gq_1,10
1002,1003,,1,5210101,202210302,423#1,710001,423#1|5200101#1,,,10
1003,1004,,1,5210101,202210303,,710001,5200101#1,,,10
1004,1005,,1,5210101,202210304,423#1,710001,423#1|5200101#1,,,10
1005,1006,,1,5210101,202210305,424#1,710001,424#1|5200101#1,,,10
1006,1007,,1,5210101,202210306,423#1,710001,423#1|5200101#1,,,10
1007,1008,,1,5210101,202210307,,710001,5200101#1,,,10
1008,1009,,1,5210101,202210308,423#1,710001,423#1|5200101#1,,,10
1009,1010,,1,5210101,202210309,,710001,5200101#1,,,10
1010,1011,,1,5210102,202210310,423#1|424#1,710001,423#1|424#1|5200101#1,,,10
1011,1012,,1,5210102,202210311,,710001,5200101#1,,,10
1012,1013,,1,5210102,202210312,423#1,710001,423#1|5200101#1,,,10
1013,1014,,1,5210102,202210313,,710001,5200101#1,,,10
1014,1015,,1,5210102,202210314,423#1,710001,423#1|5200101#1,,,10
1015,1016,,1,5210102,202210315,424#1,710001,424#1|5200101#1,,,10
1016,1017,,1,5210102,202210316,423#1,710001,423#1|5200101#1,,,10
1017,1018,,1,5210102,202210317,,710001,5200101#1,,,10
1018,1019,,1,5210102,202210318,423#1,710001,423#1|5200101#1,,,10
1019,1020,,1,5210102,202210319,,710001,5200101#1,,,10
1020,1021,,1,5210103,202210320,423#1|424#1,710001,423#1|424#1|5200101#1,,,10
1021,1022,,1,5210103,202210321,,710004,5200102#1,,,10
1022,1023,,1,5210103,202210322,423#1,710004,423#1|5200102#1,,,10
1023,1024,,1,5210103,202210323,,710004,5200102#1,,,10
1024,1025,,1,5210103,202210324,423#1,710004,423#1|5200102#1,,,10
1025,1026,,1,5210103,202210325,424#1,710004,424#1|5200102#1,,,10
1026,1027,,1,5210103,202210326,423#1,710004,423#1|5200102#1,,,10
1027,1028,,1,5210103,202210327,,710004,5200102#1,,,10
1028,1029,,1,5210103,202210328,423#1,710004,423#1|5200102#1,,,10
1029,1030,,1,5210103,202210329,,710004,5200102#1,,,10
1030,1031,,1,5210104,202210330,423#1|424#1,710004,423#1|424#1|5200102#1,,,10
1031,1032,,1,5210104,202210331,,710007,5200103#1,,,10
1032,1033,,1,5210104,202210332,423#1,710007,423#1|5200103#1,,,10
1033,1034,,1,5210104,202210333,,710007,5200103#1,,,10
1034,1035,,1,5210104,202210334,423#1,710007,423#1|5200103#1,,,10
1035,1036,,1,5210104,202210335,424#1,710007,424#1|5200103#1,,,10
1036,1037,,1,5210104,202210336,423#1,710007,423#1|5200103#1,,,10
1037,1038,,1,5210104,202210337,,710007,5200103#1,,,10
1038,1039,,1,5210104,202210338,423#1,710007,423#1|5200103#1,,,10
1039,1040,,1,5210104,202210339,,710007,5200103#1,,,10
1040,1041,,1,5210105,202210340,423#1|424#1,710007,423#1|424#1|5200103#1,,,10
1041,1042,,1,5210105,202210341,,710010,5200104#1,,,10
1042,1043,,1,5210105,202210342,423#1,710010,423#1|5200104#1,,,10
1043,1044,,1,5210105,202210343,,710010,5200104#1,,,10
1044,1045,,1,5210105,202210344,423#1,710010,423#1|5200104#1,,,10
