id,point_limit,free_awards,pay_awards,begin_season
1,5,360#1000|359#50,360#1500|359#100,1
2,10,358#1|359#50,358#1|359#100|398#200,1
3,15,360#2000|359#50,360#3000|359#100,1
4,20,358#1|359#100,358#1|359#200|398#400,1
5,30,360#3000|359#100,360#4500|359#200,1
6,40,358#1|359#100,358#1|359#200|398#600,1
7,60,360#4000|359#150,360#6000|359#300,1
8,80,358#2|359#150,358#2|359#300|398#800,1
9,100,360#5000|359#150,360#8000|359#300,3
10,120,358#2|359#200,358#2|359#400|398#1000,3
11,140,360#6000|359#200,360#10000|359#400,6
12,160,358#3|359#200,358#3|359#400|398#1000,6
