id,tab1,tab2,type,text_id,trigger,order,condition,desc
1000,1,11,1,1,,,,-1
1101,1,11,1,18,1,1,,-1
1102,1,11,1,62,1,2,,-1
1103,1,11,1,103,1,3,,-1
1104,1,11,1,147,1,4,,-1
1105,1,11,1,193,1,5,,-1
1106,1,11,1,245,1,6,,-1
1107,1,11,1,301,1,7,,-1
1108,1,11,1,360,1,8,,-1
1109,1,11,1,417,1,9,,-1
1110,1,11,1,474,1,10,,-1
1111,1,11,1,542,1,11,,-1
1112,1,11,1,595,1,12,,-1
1113,1,11,1,643,1,13,,-1
1114,1,11,1,682,1,14,,-1
1115,1,11,1,733,1,15,,-1
1116,1,11,1,776,1,16,,-1
2101,2,21,1,825,1,17,,-1
2102,2,21,1,867,1,18,,-1
2103,2,21,1,905,1,19,,-1
2104,2,21,1,946,1,20,,-1
2105,2,21,1,988,1,21,,-1
