id,name,desc_1,desc_2,desc_4,desc_5,desc_6,desc_11,activity_id,mail_id,rank,charge,currency,diamond,first_extra_diamond,extra_diamond,token_amount,vip_exp,gift_id,giftbag_type,gift_type_desc,daily_diamond,days,ios_product_id,price,icon,output_percent,parameter,parameter_vip,previlege,last_time,limit_times,cd,sale_on_web,need_review,price_change,dynamic_limit
1,-1,Monthly Card,Carte Mensuelle,-1,-1,월간 패스,Monatskarte,6,,1,9.99,NT$,1500,,,,750,10001,1,-1,2#450,30,com.carolgames.moemoegirls.30day,9.99,vip_icon07_png,,,,,,,,1,0,1,
2,-1,Mini Monthly Card,Petite Carte Mensuelle,-1,-1,미니 월간 패스,Mini Monatskarte,7,,2,1.99,NT$,500,,,,250,10002,1,-1,2#150,30,com.carolgames.moemoegirls.30daymini,1.99,vip_icon08_png,,,,,,,,1,0,1,
3,-1,Weekly Card,Carte Hebdomadaire,-1,-1,주간 패스,Wochenkarte,38,,3,0.99,NT$,0,,,,50,10003,13,-1,,7,com.carolgames.moemoegirls.week,0.99,vip_icon10_png,,,,,,,,0,0,0,
4,-1,250 Gems Package,Pack de 250 Gemmes,-1,250ダイヤパック,250 다이아 팩,250 Dias Paket,5,,4,1.99,NT$,250,2#250,,250,250,10004,2,-1,,,com.carolgames.moemoegirls.250d,1.99,vip_icon01_png,,,,,,,,1,0,1,
5,-1,500 Gems Package,Pack de 500 Gemmes,-1,500ダイヤパック,500 다이아 팩,500 Dias Paket,5,,5,4.99,NT$,500,2#500,50,500,500,10005,2,-1,,,com.carolgames.moemoegirls.500d,4.99,vip_icon02_png,,,,,,,,1,0,1,
6,-1,1000 Gems Package,Pack de 1000 Gemmes,-1,1000ダイヤパック,1000 다이아 팩,1000 Dias Paket,5,,6,9.99,NT$,1000,2#1000,200,1000,1000,10006,2,-1,,,com.carolgames.moemoegirls.1000d,9.99,vip_icon03_png,,,,,,,,1,0,1,
7,-1,2500 Gems Package,Pack de 2500 Gemmes,-1,2500ダイヤパック,2500 다이아 팩,2500 Dias Paket,5,,7,29.99,NT$,2500,2#2500,750,2500,2500,10007,2,-1,,,com.carolgames.moemoegirls.2500d,29.99,vip_icon04_png,,,,,,,,1,0,1,
8,-1,5000 Gems Package,Pack de 5000 Gemmes,-1,5000ダイヤパック,5000 다이아 팩,5000 Dias Paket,5,,9,49.99,NT$,5000,2#5000,2000,5000,5000,10008,2,-1,,,com.carolgames.moemoegirls.5000d,49.99,vip_icon06_png,,,,,,,,1,0,1,
9,-1,LV 24 Package,Pack de Niv.24,-1,レベル24パック,레벨 24 팩,Lv.24 Paket,8,,0,0.99,,0,,,100,100,10009,3,-1,,,com.carolgames.moemoegirls.24level,0.99,,,24|31,,,7200,1,,1,0,1,
10,-1,LV 32 Package,Pack de Niv.32,-1,レベル32パック,레벨 32 팩,Lv.32 Paket,8,,0,1.99,,0,,,250,250,10010,3,-1,,,com.carolgames.moemoegirls.32level,1.99,,,32|47,,,7200,2,,1,0,1,
