id,monsters,stands,map,boss_map,boss_map_xy,boss_map_scale
20201077,3001317,1,battle_map_42_1,,,
20201078,3001318,1,battle_map_42_1,,,
20201079,3001319,1,battle_map_42_1,,,
20201080,3001320,1,battle_map_42_1,,,
20201081,3001401,1,battle_map_42_1,,,
20201082,3001402,1,battle_map_42_1,,,
20201083,3001403,1,battle_map_42_1,,,
20201084,3001404,1,battle_map_42_1,,,
20201085,3001405,1,battle_map_42_1,,,
20201086,3001406,1,battle_map_42_1,,,
20201087,3001407,1,battle_map_42_1,,,
20201088,3001408,1,battle_map_42_1,,,
20201089,3001409,1,battle_map_42_1,,,
20201090,3001410,1,battle_map_42_1,,,
20201091,3001411,1,battle_map_42_1,,,
20201092,3001412,1,battle_map_42_1,,,
20201093,3001413,1,battle_map_42_1,,,
20201094,3001414,1,battle_map_42_1,,,
20201095,3001415,1,battle_map_42_1,,,
20201096,3001416,1,battle_map_42_1,,,
20201097,3001417,1,battle_map_42_1,,,
20201098,3001418,1,battle_map_42_1,,,
20201099,3001419,1,battle_map_42_1,,,
20201100,3001420,1,battle_map_42_1,,,
20201101,3002001,1,battle_map_34_1,,,
20201102,3002002,1,battle_map_34_1,,,
20201103,3002003,1,battle_map_34_1,,,
20201104,3002004,1,battle_map_34_1,,,
20201105,3002005,1,battle_map_34_1,,,
20201106,3002006,1,battle_map_34_1,,,
20201107,3002007,1,battle_map_34_1,,,
20201108,3002008,1,battle_map_34_1,,,
20201109,3002101,1,battle_map_34_1,,,
20201110,3002102,1,battle_map_34_1,,,
20201111,3002103,1,battle_map_34_1,,,
20201112,3002104,1,battle_map_34_1,,,
20201113,3002105,1,battle_map_34_1,,,
20201114,3002106,1,battle_map_34_1,,,
20201115,3002107,1,battle_map_34_1,,,
20201116,3002108,1,battle_map_34_1,,,
20201117,3002201,1,battle_map_34_1,,,
20201118,3002202,1,battle_map_34_1,,,
20201119,3002203,1,battle_map_34_1,,,
20201120,3002204,1,battle_map_34_1,,,
20201121,3002205,1,battle_map_34_1,,,
20201122,3002206,1,battle_map_34_1,,,
20201123,3002207,1,battle_map_34_1,,,
