id,desc,explore_points,type,complete,text_id,begin_season
1,-1,10,1,1,1001,1
2,-1,20,1,2,1001,1
3,-1,30,1,4,1001,1
4,-1,40,1,6,1001,3
5,-1,50,1,8,1001,6
6,-1,10,1,1,1002,1
7,-1,20,1,2,1002,1
8,-1,30,1,4,1002,1
9,-1,40,1,6,1002,3
10,-1,50,1,8,1002,6
11,-1,10,1,5,1003,1
12,-1,20,1,10,1003,1
13,-1,30,1,15,1003,1
14,-1,40,1,20,1003,3
15,-1,50,1,30,1003,6
16,-1,10,1,1,1004,1
17,-1,20,1,3,1004,1
18,-1,30,1,5,1004,1
19,-1,40,1,10,1004,3
20,-1,50,1,20,1004,6
21,-1,10,1,5,1005,1
22,-1,20,1,10,1005,1
23,-1,30,1,20,1005,1
24,-1,40,1,30,1005,3
25,-1,50,1,40,1005,6
26,-1,10,2,10,1006,1
27,-1,20,2,20,1006,1
28,-1,30,2,30,1006,1
29,-1,40,2,40,1006,3
30,-1,50,2,50,1006,6
31,-1,10,1,20,1007,1
32,-1,20,1,40,1007,1
33,-1,30,1,60,1007,1
34,-1,40,1,80,1007,3
35,-1,50,1,100,1007,6
36,-1,10,1,1,1008,1
37,-1,20,1,2,1008,1
38,-1,30,1,4,1008,1
39,-1,40,1,6,1008,3
40,-1,50,1,8,1008,6
41,-1,10,1,10,1009,1
42,-1,20,1,20,1009,1
43,-1,30,1,30,1009,1
44,-1,40,1,40,1009,3
45,-1,50,1,50,1009,6
46,-1,10,3,1,1010,1
47,-1,20,3,5,1010,1
48,-1,30,3,10,1010,1
49,-1,40,3,15,1010,3
50,-1,50,3,20,1010,6
