id,next_id,select_next_ids,select,plot,day,activity_plot_list_id,name,image_path,type,res_path,spine_path,map_swap,image_xy,image_move,dialog_type,partner_avatar,picture,picture_xy,picture_scale,is_memory,scale,partner_picture_xy,show_type,disappear_type,show_time,disappear_time,position_move,swap_overlap,image_mirror,cg_show,cg_path,cg_scale,cg_show_type,cg_start_xy,cg_show_time,cg_show_xy,cg_disappear_type,cg_disappear_xy,cg_disappear_time,sound,music,expression,face,face_scale,face_pos,bubble_mirror,bubble_xy,bubble_expression,no_click_time,effect,effect_scale,effect_xy,effect_layer,effect_count,jitter
1,2,,,,1,,,bp_bg,1,,,0,,,1,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,bp_bg,1,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,bp_bg,1,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,,-1,bp_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,,,,,*,bp_bg,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,,-1,bp_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,,,,,,-1,bp_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,,,,,,*,bp_bg,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,,,,,-1,bp_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,,,,,,*,bp_bg,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,,,,,,-1,bp_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,,,,,,*,bp_bg,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,,,,,,-1,bp_bg,0,partner_picture_51018,,0,,,,,,,,,0.8,210|250,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,,,,,,*,bp_bg,2,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,,,,,,,yanhui_hall,1,,,0,,,,,,,,,,,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,,,,,,-1,yanhui_hall,0,partner_picture_55012,,0,,,,,,,,,1,0|200,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,,,,,,-1,yanhui_hall,0,partner_picture_757001,,0,,,,,,,,,0.9,150|150,1,6,1,1,0|0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
