id,desc,next_achieve_id,pre_achieve_id,complete_value,awards,ver
1,-1,2,,6000,325#500|326#50,1
2,-1,3,1,30000,325#500|332#5,1
3,-1,4,2,60000,325#1000|326#100,1
4,-1,5,3,120000,325#1000|332#15,1
5,-1,6,4,240000,325#2000|326#200,1
6,-1,0,5,600000,325#2000|333#5,1
7,-1,8,,1,325#500|326#50,1
8,-1,9,7,10,325#500|332#5,1
9,-1,10,8,30,325#1000|326#100,1
10,-1,11,9,50,325#1000|332#15,1
11,-1,12,10,80,325#2000|326#200,1
12,-1,0,11,120,325#2000|333#5,1
13,-1,0,,1,325#500|332#5,1
14,-1,0,,1,325#500|332#5,1
15,-1,0,,1,325#500|332#5,1
16,-1,0,,1,325#500|332#5,1
17,-1,18,,1,325#500|326#50,1
18,-1,19,17,2,325#1000|332#10,1
19,-1,20,18,4,325#1500|326#150,1
20,-1,0,19,8,325#2000|333#10,1
21,-1,22,,10,325#500|326#50,1
22,-1,23,21,20,325#500|332#5,1
23,-1,24,22,40,325#1000|326#100,1
24,-1,25,23,70,325#1000|332#5,1
25,-1,0,24,100,325#2000|333#5,1
26,-1,27,,1,325#2000|333#3,1
27,-1,28,26,2,325#4000|333#5,1
28,-1,29,27,4,325#6000|333#7,1
29,-1,0,28,8,325#8000|333#10,1
30,-1,0,29,2,325#500|982001#20,1
