id,vip_level,daily_awards,once_awards
1,0,2#100|36#3,8056#1
2,1,2#100|36#4,940004#50|358#10
3,2,2#200|36#4,8057#1
4,3,2#300|36#4,435#20|4201042#20
5,4,2#300|36#5,4101008#1|358#20
6,5,2#400|36#5,8058#1
7,6,2#400|36#6,4501002#1|4201042#50
8,7,2#500|36#6,4101010#1
9,8,2#500|36#7,8059#1
10,9,2#600|36#7,6449#1|6000#8000
11,10,2#600|36#8,6431#1|6000#12000
12,11,2#700|36#8,8060#1
13,12,2#700|36#9,4402015#1
14,13,2#800|36#9,5100020#1
15,14,2#800|36#10,5100021#1
16,15,2#900|36#11,4201042#500
17,16,2#1000|36#12,6791#1
