id,desc,type,star_limit,atkP,hpP,god_skill,explore_time_cut,explore_place_add,award1_add,award2_add,text
1,-1,1,5,0.05,0.05,720101,,,,,1001
2,-1,1,10,0.1,0.1,720102,,,,,1001
3,-1,1,15,0.15,0.15,720103,,,,,1001
4,-1,1,20,0.2,0.2,720104,,,,,1001
5,-1,1,25,0.25,0.25,720105,,,,,1001
6,-1,1,30,0.3,0.3,720106,,,,,1001
7,-1,2,5,,,,0.03,0,,,1002
8,-1,2,10,,,,0.03,1,,,1002
9,-1,2,15,,,,0.06,1,,,1002
10,-1,2,20,,,,0.06,2,,,1002
11,-1,2,25,,,,0.1,2,,,1002
12,-1,2,30,,,,0.1,3,,,1002
13,-1,3,5,,,,,,0.05,0.1,1003
14,-1,3,10,,,,,,0.1,0.2,1003
15,-1,3,15,,,,,,0.2,0.4,1003
16,-1,3,20,,,,,,0.3,0.6,1003
17,-1,3,25,,,,,,0.4,0.8,1003
18,-1,3,30,,,,,,0.5,1,1003
