id,buff,base,star_grow,qlt_grow,weight
1,atk,617,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,250
2,hp,21700,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,250
3,hit,9.142,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
4,miss,9.142,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
5,crit,4.572,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
6,unCrit,6.858,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
7,sklP,3.429,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
8,trueAtk,1.714,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
9,healI,0.002286,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
10,healB,0.002286,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
11,unfree,3.429,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
12,free,3.429,1|1.2|1.4|1.8|2.3|3,1|1.1|1.3|1.6|2|2.5,950
