id,type,item,desc,cost,buy_time,shelf
1,1,940002#50,-1,221#400,1,
2,1,20#1,-1,221#100,4,
3,1,73#1,-1,221#60,15,
4,1,29#1,-1,221#50,5,
5,1,36#1,-1,221#35,10,
6,1,417#100,-1,221#200,5,
7,1,6000#100,-1,221#20,10,
8,1,360#1000,-1,221#200,5,
9,1,359#100,-1,221#200,5,
10,1,1#8000,-1,221#1,999,
11,2,4303001#1,-1,222#10,1,
12,2,4101056#1,-1,222#10,1,
13,2,4102033#1,-1,222#15,1,
14,2,418#1,-1,222#2,10,
15,2,435#1,-1,222#5,2,
16,2,424#10,-1,222#8,1,
17,2,358#10,-1,222#10,1,
18,2,985001#10,-1,222#10,1,
19,2,985002#10,-1,222#10,1,
20,2,985003#10,-1,222#10,1,
21,2,222#1,-1,120#1,99,
