id,cost,awards,num,limit
1,226#5,1#50000,0,9999
2,226#5,9#50000,0,9999
3,226#2000,4102007#1,0,5
4,226#4000,4101008#1,0,5
5,226#600,36#10,500,5
6,226#150,35#10,500,20
7,226#200,170#2,1000,50
8,226#1000,4201042#5,1000,20
9,226#750,20#3,1500,10
10,226#1000,419#100,1500,10
11,226#1000,418#5,2000,10
12,226#7500,4501002#1,3000,1
13,226#6000,930232#50,4000,1
14,226#6000,930233#50,4000,1
15,226#7500,930234#50,5000,1
16,226#9000,930235#50,6000,1
17,226#12000,6449#1,7500,1
18,226#15000,4402015#1,8000,1
19,226#6000,4901001#1,9000,1
20,226#6000,420#5,9000,1
21,226#10000,940059#50,10000,1
