id,show_ids,name,group
751001,751001,-1,2
751002,751002,-1,3
751003,751003,-1,2
751004,751004,-1,3
751005,751005,-1,3
751006,751006,-1,2
751007,751007,-1,3
751008,751008,-1,4
751009,751009,-1,4
751010,751010,-1,1
751011,751011,-1,1
751012,751012,-1,3
751013,751013,-1,3
751014,751014,-1,4
751015,751015,-1,4
751016,751016,-1,3
751017,751017,-1,1
751018,751018,-1,2
752001,752001,-1,3
752002,752002,-1,1
752003,752003,-1,4
752004,752004,-1,1
752005,752005,-1,2
752006,752006,-1,3
752007,752007,-1,2
752008,752008,-1,2
752009,752009,-1,2
752010,752010,-1,2
752011,752011,-1,1
752012,752012,-1,3
752013,752013,-1,4
752014,752014,-1,3
752015,752015,-1,3
752016,752016,-1,1
752017,752017,-1,2
752018,752018,-1,1
752019,752019,-1,4
753001,753001,-1,1
753002,753002,-1,3
753003,753003,-1,1
753004,753004,-1,4
753005,753005,-1,2
753006,753006,-1,1
753007,753007,-1,2
753008,753008,-1,1
753009,753009,-1,3
753010,753010,-1,1
753011,753011,-1,3
753012,753012,-1,4
753013,753013,-1,1
753014,753014,-1,4
753015,753015,-1,2
753016,753016,-1,1
753017,753017,-1,1
753018,753018,-1,4
754001,754001,-1,3
754002,754002,-1,2
754003,754003,-1,2
754004,754004,-1,2
754005,754005,-1,1
754006,754006,-1,3
754007,754007,-1,4
754008,754008,-1,4
754009,754009,-1,1
754010,754010,-1,2
754011,754011,-1,4
754012,754012,-1,4
754013,754013,-1,2
754014,754014,-1,3
754015,754015,-1,1
754016,754016,-1,3
754017,754017,-1,4
754018,754018,-1,1
755001,755001,-1,4
755002,755002,-1,3
755003,755003,-1,4
755004,755004,-1,1
755005,755005,-1,2
755006,755006,-1,1
755007,755007,-1,2
755008,755008,-1,2
755009,755009,-1,3
755010,755010,-1,4
756001,756001,-1,4
756002,756002,-1,2
756003,756003,-1,4
756004,756004,-1,4
756005,756005,-1,2
756006,756006,-1,4
756007,756007,-1,3
756008,756008,-1,3
756009,756009,-1,1
757001,757001,-1,1
