id,type,day,awards
1,1,1,2#500|1#5000|78#2
2,1,2,2#500|1#5000|78#2
3,1,3,2#500|1#5000|78#2
4,1,4,2#500|1#5000|78#2
5,1,5,2#500|1#5000|78#2
6,1,6,2#500|1#5000|78#2
7,1,7,2#500|1#5000|78#2
8,2,1,2#500|1#5000|78#2
9,2,2,2#500|1#5000|78#2
10,2,3,2#500|1#5000|78#2
11,2,4,2#500|1#5000|78#2
12,2,5,2#500|1#5000|78#2
13,2,6,2#500|1#5000|78#2
14,2,7,2#500|1#5000|78#2
15,3,1,2#500|1#5000|78#2
16,3,2,2#500|1#5000|78#2
17,3,3,2#500|1#5000|78#2
18,3,4,2#500|1#5000|78#2
19,3,5,2#500|1#5000|78#2
20,3,6,2#500|1#5000|78#2
21,3,7,2#500|1#5000|78#2
