id,desc,type,icon_text,icon_big_text,time,cost,name_text_id,intro_text_id,size
1,-1,1,galaxy_trip_icon_01,galaxy_trip_icon_big_01,7200,1,101,201,1|1
2,-1,1,galaxy_trip_icon_02,galaxy_trip_icon_big_02,14400,1,102,202,2|1
3,-1,2,galaxy_trip_icon_03,galaxy_trip_icon_big_03,21600,1,103,203,2|2
4,-1,3,galaxy_trip_icon_04,galaxy_trip_icon_big_04,3600,,104,204,1|1
5,-1,3,galaxy_trip_icon_05,galaxy_trip_icon_big_05,3600,,105,205,1|1
6,-1,3,galaxy_trip_icon_06,galaxy_trip_icon_big_06,3600,,106,206,1|1
7,-1,3,galaxy_trip_icon_07,galaxy_trip_icon_big_07,3600,,107,207,1|1
8,-1,3,galaxy_trip_icon_08,galaxy_trip_icon_big_08,3600,,108,208,1|1
9,-1,4,galaxy_trip_icon_09,galaxy_trip_icon_big_09,43200,,109,209,1|1
10,-1,5,galaxy_trip_icon_10,galaxy_trip_icon_big_10,7200,,110,210,1|1
11,-1,7,galaxy_trip_icon_11,galaxy_trip_icon_big_11,,,111,211,1|1
12,-1,6,galaxy_trip_icon_12,galaxy_trip_icon_big_12,,,112,212,3|3
