id,code,gift_id,start_time,end_time,is_open,group_id
1,GXB2JP1,52001,1596240000,1598832000,1,2001
2,XmasGirls2,52002,1608350400,1610964000,1,2002
3,GXB222,52002,1610964000,1926496800,1,2003
4,2021GXB2,52004,1625011200,1626998400,1,2004
5,GXB2JP2,52005,1627689600,1630454400,1,2005
6,GXB2DE1,52006,1631059200,1633046400,1,2006
7,GXB2FR2ANS,52007,1639699200,1640390400,1,2007
8,HAPPY4TH,52008,1657238400,1659312000,1,2008
9,MidAutumn815,52009,1662681600,1663286400,1,2009
10,HappyHLW,52010,1666310400,1667520000,1,2010
11,GXB333,52011,1678406400,1926496800,1,2011
12,foolsday,52012,1680307200,1680912000,1,2012
13,easter,52013,1680998400,1681603200,1,2013
