id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,hit,miss,crit,unCrit,critTime,unfree,free,allDmgRate,allHarmDec,sklP,decDmg,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill,is_real_boss
33103,1000023,7029,-1,270,10,7919806,962884,38.6,103.64,1,1,,800,800,0,0,0,0,850,0,0,0,0,0,0,1,270,,,,,,1
33104,1000023,7029,-1,270,10,8314770,1005807,40.525,108.26,1,1,,800,800,0,0,0,0,850,0,0,0,0,0,0,1,270,,,,,,1
33105,1000023,7029,-1,280,10,9032539,1087474,42.5,113,1,1,,800,800,0,0,0,0,850,0,0,0,0,0,0,1,280,,,,,,1
33106,1000023,7029,-1,280,10,9462913,1134245,44.525,117.86,1,1,,900,900,0,0,0,0,1000,0,0,0,0,0,0,1,280,,,,,,1
33107,1000023,7029,-1,280,10,9903913,1182171,46.6,122.84,1,1,,900,900,0,0,0,0,1000,0,0,0,0,0,0,1,280,,,,,,1
33108,1000023,7029,-1,290,10,10713864,1273855,48.725,127.94,1,1,,900,900,0,0,0,0,1000,0,0,0,0,0,0,1,290,,,,,,1
33109,1000023,7029,-1,290,10,11192112,1325829,50.9,133.16,1,1,,900,900,0,0,0,0,1000,0,0,0,0,0,0,1,290,,,,,,1
33110,1000023,7029,-1,290,10,11681355,1378998,53.125,138.5,1,1,,900,900,0,0,0,0,1000,0,0,0,0,0,0,1,290,,,,,,1
33111,1000023,7029,-1,300,10,12414479,1481300,54.6319775358,143.96,1,1,,1000,900,150,0,0,0,1000,0,0,0,0,0,0,1,300,,,,,,1
33112,1000023,7029,-1,300,10,13244164,1538716,58.2831439908,149.54,1,1,,1000,900,150,0,0,0,1000,0,0,0,0,0,0,1,300,,,,,,1
33113,1000023,7029,-1,300,10,14164642,1597367,62.3338585569,155.24,1,1,,1000,900,150,0,0,0,1000,0,0,0,0,0,0,1,300,,,,,,1
33114,1000023,7029,-1,310,10,15675989,1710886,66.822257709,161.06,1,1,,1000,900,150,0,0,0,1000,0,0,0,0,0,0,1,310,,,,,,1
33115,1000023,7029,-1,310,10,16840943,1773985,71.7881257551,167,1,1,,1000,900,150,0,0,0,1000,0,0,0,0,0,0,1,310,,,,,,1
33116,1000023,7029,-1,310,10,18127628,1838358,77.2728948359,173.06,1,1,,1100,900,200,0,0,0,1000,0,0,0,0,0,0,1,310,,,,,,1
33117,1000023,7029,-1,320,10,20158882,1963693,83.3196449253,179.24,1,1,,1100,900,200,0,0,0,1000,0,0,0,0,0,0,1,320,,,,,,1
33118,1000023,7029,-1,320,10,21768662,2032714,89.9731038299,185.54,1,1,,1100,900,200,0,0,0,1000,0,0,0,0,0,0,1,320,,,,,,1
33119,1000023,7029,-1,320,10,23536453,2103049,97.2796471895,191.96,1,1,,1100,900,200,0,0,0,1000,0,0,0,0,0,0,1,320,,,,,,1
33120,1000023,7029,-1,330,10,26248158,2240800,105.287298476,198.5,1,1,,1100,900,200,0,0,0,1000,0,0,0,0,0,0,1,330,,,,,,1
33121,1000023,7029,-1,330,10,28431638,2315982,114.045728996,205.16,1,1,,1200,900,300,0,0,0,1000,0,0,0,0,0,0,1,330,,,,,,1
33122,1000023,7029,-1,330,10,30815081,2392520,123.606257888,211.94,1,1,,1200,900,300,0,0,0,1000,0,0,0,0,0,0,1,330,,,,,,1
33123,1000023,7029,-1,340,10,34397289,2543285,134.021852122,218.84,1,1,,1200,900,300,0,0,0,1000,0,0,0,0,0,0,1,340,,,,,,1
33124,1000023,7029,-1,340,10,37303969,2624869,145.347126503,225.86,1,1,,1200,900,300,0,0,0,1000,0,0,0,0,0,0,1,340,,,,,,1
33125,1000023,7029,-1,340,10,40458564,2707848,157.638343669,233,1,1,,1200,900,300,0,0,0,1000,0,0,0,0,0,0,1,340,,,,,,1
33126,653014,,-1,250,5,17307,2601,0.484595,0.456479,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33127,751002,,-1,250,5,86865,5826,0.411632,0.461528,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33128,41005,,-1,250,5,19446,1918,1.13751,1.029105,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33129,41007,,-1,250,5,15731,2519,1.15038,1.04049,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33130,752009,,-1,250,5,46792,2712,0.202425,0.261825,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33131,45002,,-1,250,5,15278,2891,1.17612,1.06326,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33132,546001,,-1,250,5,11055,3391,0.898415,0.745955,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33133,752008,,-1,250,5,62354,2791,0.24549,0.299544,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33134,754007,,-1,250,5,53888,3025,0.249945,0.343797,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33135,754006,,-1,250,5,32951,3637,0.1544,0.31776,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33136,542007,,-1,250,5,20022,1574,0.835748,0.779615,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33137,655012,,-1,250,5,22395,3507,0.568844,0.5039,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33138,656012,,-1,250,5,25209,4686,0.640322,0.67319,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33139,653014,,-1,250,5,19835,2975,0.55538,0.522116,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33140,654012,,-1,250,5,24455,4723,0.73754,0.75437,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33141,654014,,-1,250,5,37455,3348,0.69398,0.676952,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33142,542007,,-1,250,5,21331,1676,0.890396,0.830105,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33143,652010,,-1,250,5,72323,2705,0.786248,0.7514,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33144,653013,,-1,250,5,21549,5416,0.653093,0.697148,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33145,44002,,-1,250,5,29366,1741,1.3563,1.22265,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33146,44003,,-1,250,5,17411,2716,1.36917,1.234035,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33147,44004,,-1,250,5,16286,2967,1.38204,1.24542,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33148,45002,,-1,250,5,18121,3417,1.39491,1.256805,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33149,753007,,-1,250,5,56457,2778,0.179546,0.2633,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33150,753006,,-1,250,5,40259,2951,0.1742,0.20587,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33151,751001,,-1,250,5,83909,2197,0.22568,0.349232,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33152,751008,,-1,250,5,85819,3905,0.420532,0.297356,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33153,753006,,-1,250,5,112337,3181,0.48608,0.221908,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33154,753007,,-1,250,5,157173,1984,0.499841,0.18805,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33155,43008,,-1,250,5,22660,2734,1.485,1.3365,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33156,754005,,-1,250,5,74323,2808,0.227957,0.377952,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33157,753003,,-1,250,5,45236,2132,0.132214,0.272606,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33158,754004,,-1,250,5,115330,1755,0.536471,0.118047,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33159,754010,,-1,250,5,79015,2364,0.330432,0.151024,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33160,753007,,-1,250,5,70497,4408,0.224195,0.41775,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33161,754010,,-1,250,5,33178,4066,0.138748,0.259736,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33162,756003,,-1,250,5,80418,1841,0.374685,0.159429,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33163,755003,,-1,250,5,27613,5453,0.10298,0.47222,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33164,11001,,-1,250,5,44792,7302,6.13305,10.071765,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33165,751007,,-1,250,5,122483,5092,0.57716,0.36428,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33166,756004,,-1,250,5,132558,2943,0.559538,0.225472,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33167,754004,,-1,250,5,37575,8378,0.174784,0.563488,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33168,755003,,-1,250,5,45008,4984,0.167854,0.431594,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
33169,753004,,-1,250,5,135722,6384,0.572012,0.493586,1,1,,2300,0,0,0,0,0,300,0,0,0,0,0,0,0,250,,,,,,
40000,52002,,-1,250,5,23092000,456,1000,0.1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,,,,,,
40302,653013,,-1,100,5,27773,6540,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,1,,,,
41001,751005,,-1,250,10,835923,75617,1.12813690536,1.59833016276,1,5.27188940092,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41002,751008,,-1,250,10,718076,64287,1.17290675393,1.63163371488,1,4.98723404255,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41003,751001,,-1,250,10,1205714,36169,1.08094267546,1.91562946878,1,5.18918918919,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41004,751002,,-1,250,10,730127,58373,1.15329668009,1.54136410446,1,5.04761904762,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41005,751006,,-1,250,10,687280,59416,1.13140338552,1.71730396832,1,5.3023255814,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41006,751009,,-1,250,10,1194058,43983,1.08284914462,1.85051329519,1,5.12389380531,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41007,751003,,-1,250,10,1060393,40413,1.10760949892,1.79354724182,1,5.15625,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41008,751010,,-1,250,10,789459,67239,1.14386306311,1.62699929828,1,5.09210526316,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41009,751004,,-1,250,10,734075,84195,1.1655759443,1.84951068732,1,5.46601941748,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41010,751007,,-1,250,10,754963,67951,1.18583238973,1.62018073007,1,5.01716738197,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41011,751011,,-1,250,10,789372,64211,1.14389834531,1.58321416243,1,5.06086956522,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41012,751012,,-1,250,10,1146457,69337,1.27717407509,2.00129885124,1,4.23357664234,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41013,751013,,-1,250,10,869151,45201,,,1,5.1,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41014,751014,,-1,250,10,916369,77904,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41015,751015,,-1,250,10,889018,91427,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41016,751016,,-1,250,10,908875,66671,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41017,751017,,-1,250,10,908875,66671,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
41018,751018,,-1,250,10,908875,66671,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42001,752008,,-1,250,10,880981,46723,1.15613887807,1.6710658083,1,5.93846153846,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42002,752007,,-1,250,10,770982,59545,1.1620628994,1.65718579539,1,5.68205128205,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42003,752001,,-1,250,10,1168294,36889,1.08693307039,1.89160086145,1,5.18918918919,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42004,752009,,-1,250,10,1072834,60414,1.10503514406,1.62002574279,1,5.50490196078,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42005,752002,,-1,250,10,873063,56573,1.1174901415,1.79360852197,1,5.3023255814,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42006,752003,,-1,250,10,717088,65417,1.18582020907,1.59610598741,1,5.50490196078,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42007,752010,,-1,250,10,870402,50654,1.11865530358,1.75295013323,1,5.12389380531,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42008,752004,,-1,250,10,828607,66681,1.14779937264,1.65724724128,1,5.04761904762,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42009,752005,,-1,250,10,821492,52878,1.13349045319,1.5900766802,1,5.58139534884,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42010,752006,,-1,250,10,947884,46729,1.15490912324,1.67095759136,1,5.46601941748,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42011,752011,,-1,250,10,778151,57392,1.14843708424,1.54531502423,1,5.43577981651,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42012,752012,,-1,250,10,760727,83579,1.14202431941,1.50910929347,1,4.44525547445,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42013,752013,,-1,250,10,962434,81443,1.27301112737,1.84743109901,1,4.13138686131,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42014,752014,,-1,250,10,841043,65101,1.09101676007,1.62350682062,1,4.99574468085,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42015,752015,,-1,250,10,1206345,61739,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42016,752016,,-1,250,10,908875,66671,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42017,752017,,-1,250,10,908875,66671,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
42018,752018,,-1,250,10,908875,66671,,,1,5.00854700855,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43001,753009,,-1,250,10,836386,52696,1.16097451409,1.59205438066,1,5.25229357798,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43002,753007,,-1,250,10,1047597,54582,1.11052097278,1.72389615312,1,5.18918918919,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43003,753001,,-1,250,10,659894,53969,1.18582144329,1.57831783354,1,5.46601941748,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43004,753008,,-1,250,10,1148542,52850,1.09051947152,1.82556131261,1,5.12389380531,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43005,753002,,-1,250,10,884584,74199,1.11436362713,1.63142850861,1,5.33802816901,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43006,753003,,-1,250,10,1123907,41495,1.09494903544,1.76842105263,1,5.18918918919,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43007,753011,,-1,250,10,1040037,57239,1.1122542572,1.74906801931,1,5.12389380531,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43008,753004,,-1,250,10,809463,64303,1.13718089299,1.65716568307,1,5.33802816901,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43009,753005,,-1,250,10,987305,42761,1.12468069376,1.74162016861,1,5.15625,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
43010,753006,,-1,250,10,792155,69195,1.1425339168,1.60877449955,1,5.01716738197,,0,400,0,0,500,0,0,0,0,500,200,0,0,0,250,,1,,,,
