id,type,buff,num,round,prob,fx_hurt1
11041426,1104,mhurt,500366,0,1,
11041427,1104,mhurt,505042,0,1,
11041428,1104,mhurt,509718,0,1,
11041429,1104,mhurt,514394,0,1,
11041430,1104,mhurt,519070,0,1,
11041431,1104,mhurt,523746,0,1,
11041432,1104,mhurt,528422,0,1,
11041433,1104,mhurt,533098,0,1,
11041434,1104,mhurt,537774,0,1,
11041435,1104,mhurt,542450,0,1,
11041436,1104,mhurt,547126,0,1,
11041437,1104,mhurt,551802,0,1,
11041438,1104,mhurt,556478,0,1,
11041439,1104,mhurt,561154,0,1,
11041440,1104,mhurt,362587,0,1,
11041441,1104,mhurt,368531,0,1,
11041442,1104,mhurt,374475,0,1,
11041443,1104,mhurt,380419,0,1,
11041444,1104,mhurt,386363,0,1,
11041445,1104,mhurt,392307,0,1,
11041446,1104,mhurt,398251,0,1,
11041447,1104,mhurt,404195,0,1,
11041448,1104,mhurt,410139,0,1,
11041449,1104,mhurt,416083,0,1,
11041450,1104,mhurt,422027,0,1,
11041451,1104,mhurt,427971,0,1,
11041452,1104,mhurt,433915,0,1,
11041453,1104,mhurt,439859,0,1,
11041454,1104,mhurt,445803,0,1,
11041455,1104,mhurt,451747,0,1,
11041456,1104,mhurt,457691,0,1,
11041457,1104,mhurt,463635,0,1,
11041458,1104,mhurt,469579,0,1,
11041459,1104,mhurt,475523,0,1,
11041460,1104,mhurt,481467,0,1,
11041461,1104,mhurt,487411,0,1,
11041462,1104,mhurt,493355,0,1,
11041463,1104,mhurt,499299,0,1,
11041464,1104,mhurt,505243,0,1,
11041465,1104,mhurt,511187,0,1,
11041466,1104,mhurt,517131,0,1,
11041467,1104,mhurt,523075,0,1,
11041468,1104,mhurt,529019,0,1,
11041469,1104,mhurt,534963,0,1,
11041470,1104,mhurt,540907,0,1,
11041471,1104,mhurt,546851,0,1,
11041472,1104,mhurt,552795,0,1,
11041473,1104,mhurt,558739,0,1,
11041474,1104,mhurt,564683,0,1,
11041475,1104,mhurt,570627,0,1,
11041476,1104,mhurt,576571,0,1,
11041477,1104,mhurt,582515,0,1,
11041478,1104,mhurt,588459,0,1,
11041479,1104,mhurt,594403,0,1,
11041480,1104,mhurt,600347,0,1,
11041481,1104,mhurt,606291,0,1,
11041482,1104,mhurt,612235,0,1,
11041483,1104,mhurt,618179,0,1,
11041484,1104,mhurt,624123,0,1,
11041485,1104,mhurt,630067,0,1,
11041486,1104,mhurt,636011,0,1,
11041487,1104,mhurt,641955,0,1,
11041488,1104,mhurt,647899,0,1,
11041489,1104,mhurt,653843,0,1,
11041490,1104,mhurt,659787,0,1,
11041491,1104,mhurt,665731,0,1,
11041492,1104,mhurt,671675,0,1,
11041493,1104,mhurt,677619,0,1,
11041494,1104,mhurt,683563,0,1,
11041495,1104,mhurt,689507,0,1,
11041496,1104,mhurt,695451,0,1,
11041497,1104,mhurt,701395,0,1,
11041498,1104,mhurt,707339,0,1,
11041499,1104,mhurt,713283,0,1,
11041500,1104,mhurt,269976,0,1,
11041501,1104,mhurt,274401,0,1,
11041502,1104,mhurt,278826,0,1,
11041503,1104,mhurt,283251,0,1,
11041504,1104,mhurt,287676,0,1,
11041505,1104,mhurt,292101,0,1,
11041506,1104,mhurt,296526,0,1,
11041507,1104,mhurt,300951,0,1,
11041508,1104,mhurt,305376,0,1,
11041509,1104,mhurt,309801,0,1,
11041510,1104,mhurt,314226,0,1,
11041511,1104,mhurt,318651,0,1,
11041512,1104,mhurt,323076,0,1,
11041513,1104,mhurt,327501,0,1,
11041514,1104,mhurt,331926,0,1,
11041515,1104,mhurt,336351,0,1,
11041516,1104,mhurt,340776,0,1,
11041517,1104,mhurt,345201,0,1,
11041518,1104,mhurt,349626,0,1,
11041519,1104,mhurt,354051,0,1,
11041520,1104,mhurt,358476,0,1,
11041521,1104,mhurt,362901,0,1,
11041522,1104,mhurt,367326,0,1,
11041523,1104,mhurt,371751,0,1,
11041524,1104,mhurt,376176,0,1,
11041525,1104,mhurt,380601,0,1,
11041526,1104,mhurt,385026,0,1,
11041527,1104,mhurt,389451,0,1,
11041528,1104,mhurt,393876,0,1,
11041529,1104,mhurt,398301,0,1,
11041530,1104,mhurt,402726,0,1,
11041531,1104,mhurt,407151,0,1,
11041532,1104,mhurt,411576,0,1,
11041533,1104,mhurt,416001,0,1,
11041534,1104,mhurt,420426,0,1,
11041535,1104,mhurt,424851,0,1,
11041536,1104,mhurt,429276,0,1,
11041537,1104,mhurt,433701,0,1,
11041538,1104,mhurt,438126,0,1,
11041539,1104,mhurt,442551,0,1,
11041540,1104,mhurt,446976,0,1,
11041541,1104,mhurt,451401,0,1,
11041542,1104,mhurt,455826,0,1,
11041543,1104,mhurt,460251,0,1,
11041544,1104,mhurt,464676,0,1,
11041545,1104,mhurt,469101,0,1,
11041546,1104,mhurt,473526,0,1,
11041547,1104,mhurt,477951,0,1,
11041548,1104,mhurt,482376,0,1,
11041549,1104,mhurt,486801,0,1,
11041550,1104,mhurt,491226,0,1,
11041551,1104,mhurt,495651,0,1,
11041552,1104,mhurt,500076,0,1,
11041553,1104,mhurt,504501,0,1,
11041554,1104,mhurt,508926,0,1,
11041555,1104,mhurt,513351,0,1,
11041556,1104,mhurt,517776,0,1,
11041557,1104,mhurt,522201,0,1,
11041558,1104,mhurt,526626,0,1,
11041559,1104,mhurt,531051,0,1,
11041560,1104,mhurt,258091,0,1,
11041561,1104,mhurt,262322,0,1,
11041562,1104,mhurt,266553,0,1,
11041563,1104,mhurt,270784,0,1,
11041564,1104,mhurt,275015,0,1,
11041565,1104,mhurt,279246,0,1,
11041566,1104,mhurt,283477,0,1,
11041567,1104,mhurt,287708,0,1,
11041568,1104,mhurt,291939,0,1,
11041569,1104,mhurt,296170,0,1,
11041570,1104,mhurt,300401,0,1,
11041571,1104,mhurt,304632,0,1,
11041572,1104,mhurt,308863,0,1,
11041573,1104,mhurt,313094,0,1,
11041574,1104,mhurt,317325,0,1,
11041575,1104,mhurt,321556,0,1,
11041576,1104,mhurt,325787,0,1,
11041577,1104,mhurt,330018,0,1,
11041578,1104,mhurt,334249,0,1,
11041579,1104,mhurt,338480,0,1,
11041580,1104,mhurt,342711,0,1,
11041581,1104,mhurt,346942,0,1,
11041582,1104,mhurt,351173,0,1,
11041583,1104,mhurt,355404,0,1,
11041584,1104,mhurt,359635,0,1,
11041585,1104,mhurt,363866,0,1,
11041586,1104,mhurt,368097,0,1,
11041587,1104,mhurt,372328,0,1,
11041588,1104,mhurt,376559,0,1,
11041589,1104,mhurt,380790,0,1,
11041590,1104,mhurt,385021,0,1,
11041591,1104,mhurt,389252,0,1,
11041592,1104,mhurt,393483,0,1,
11041593,1104,mhurt,397714,0,1,
11041594,1104,mhurt,401945,0,1,
11041595,1104,mhurt,406176,0,1,
11041596,1104,mhurt,410407,0,1,
11041597,1104,mhurt,414638,0,1,
11041598,1104,mhurt,418869,0,1,
11041599,1104,mhurt,423100,0,1,
11041600,1104,mhurt,427331,0,1,
11041601,1104,mhurt,431562,0,1,
11041602,1104,mhurt,435793,0,1,
11041603,1104,mhurt,440024,0,1,
11041604,1104,mhurt,444255,0,1,
11041605,1104,mhurt,448486,0,1,
11041606,1104,mhurt,452717,0,1,
11041607,1104,mhurt,456948,0,1,
11041608,1104,mhurt,461179,0,1,
11041609,1104,mhurt,465410,0,1,
11041610,1104,mhurt,469641,0,1,
11041611,1104,mhurt,473872,0,1,
11041612,1104,mhurt,478103,0,1,
11041613,1104,mhurt,482334,0,1,
11041614,1104,mhurt,486565,0,1,
11041615,1104,mhurt,490796,0,1,
11041616,1104,mhurt,495027,0,1,
11041617,1104,mhurt,499258,0,1,
11041618,1104,mhurt,503489,0,1,
11041619,1104,mhurt,507720,0,1,
11041620,1104,mhurt,294055,0,1,
11041621,1104,mhurt,298875,0,1,
11041622,1104,mhurt,303695,0,1,
11041623,1104,mhurt,308515,0,1,
11041624,1104,mhurt,313335,0,1,
11041625,1104,mhurt,318155,0,1,
11041626,1104,mhurt,322975,0,1,
11041627,1104,mhurt,327795,0,1,
11041628,1104,mhurt,332615,0,1,
11041629,1104,mhurt,337435,0,1,
11041630,1104,mhurt,342255,0,1,
11041631,1104,mhurt,347075,0,1,
11041632,1104,mhurt,351895,0,1,
11041633,1104,mhurt,356715,0,1,
11041634,1104,mhurt,361535,0,1,
11041635,1104,mhurt,366355,0,1,
11041636,1104,mhurt,371175,0,1,
11041637,1104,mhurt,375995,0,1,
11041638,1104,mhurt,380815,0,1,
11041639,1104,mhurt,385635,0,1,
11041640,1104,mhurt,390455,0,1,
11041641,1104,mhurt,395275,0,1,
11041642,1104,mhurt,400095,0,1,
11041643,1104,mhurt,404915,0,1,
11041644,1104,mhurt,409735,0,1,
11041645,1104,mhurt,414555,0,1,
11041646,1104,mhurt,419375,0,1,
11041647,1104,mhurt,424195,0,1,
11041648,1104,mhurt,429015,0,1,
11041649,1104,mhurt,433835,0,1,
11041650,1104,mhurt,438655,0,1,
11041651,1104,mhurt,443475,0,1,
11041652,1104,mhurt,448295,0,1,
11041653,1104,mhurt,453115,0,1,
11041654,1104,mhurt,457935,0,1,
11041655,1104,mhurt,462755,0,1,
11041656,1104,mhurt,467575,0,1,
11041657,1104,mhurt,472395,0,1,
11041658,1104,mhurt,477215,0,1,
11041659,1104,mhurt,482035,0,1,
11041660,1104,mhurt,486855,0,1,
11041661,1104,mhurt,491675,0,1,
11041662,1104,mhurt,496495,0,1,
11041663,1104,mhurt,501315,0,1,
11041664,1104,mhurt,506135,0,1,
11041665,1104,mhurt,510955,0,1,
11041666,1104,mhurt,515775,0,1,
11041667,1104,mhurt,520595,0,1,
11041668,1104,mhurt,525415,0,1,
11041669,1104,mhurt,530235,0,1,
11041670,1104,mhurt,535055,0,1,
11041671,1104,mhurt,539875,0,1,
