id,day_limit,type,text_type,data_type,label,mission_detail,complete_show,complete_value,award,award2,func_id,go_window,go_params
1,1,1,1,1,1,-1,1,1,2#100|10#200,1,,,
2,1,2,2,2,1,-1,10000,10000,940003#180|1065#1,1,,slot_window,
3,1,3,3,1,1,-1,250,250,2#1500|36#20,1,,vip_window,
4,1,4,4,2,2,-1,1|1,1,1#300000|10#1000,1,,campaign_window,
5,1,4,4,2,2,-1,1|2,2,1#600000|10#2000,1,,campaign_window,
6,1,4,4,2,2,-1,1|3,3,1#900000|10#3000,1,,campaign_window,
7,1,4,4,2,2,-1,1|4,4,1#1200000|10#4000,1,,campaign_window,
8,1,4,4,2,2,-1,1|6,6,1#2000000|10#6000,1,,campaign_window,
9,1,4,4,2,2,-1,1|8,8,1#3000000|10#8000,1,,campaign_window,
10,1,5,5,1,3,-1,10,10,33#10|14#1000,1,,summon_window,
11,1,5,5,1,3,-1,20,20,33#10|14#1000,1,,summon_window,
12,1,5,5,1,3,-1,40,40,33#20|14#2000,1,,summon_window,
13,1,5,5,1,3,-1,60,60,33#20|14#2000,1,,summon_window,
14,1,5,5,1,3,-1,80,80,33#20|14#2000,1,,summon_window,
15,1,5,5,1,3,-1,100,100,33#20|14#2000,1,,summon_window,
16,2,1,1,1,1,-1,1,1,2#100|1#100000,1,,,
17,2,2,2,2,1,-1,20000,20000,14#5000|2065#1,1,,slot_window,
18,2,3,3,1,1,-1,500,500,2#2000|940004#50,1,,vip_window,
19,2,6,6,2,2,-1,20,20,9#100000|34#10,1,15,tower_window,
20,2,6,6,2,2,-1,40,40,9#100000|10#2000,1,15,tower_window,
21,2,6,6,2,2,-1,60,60,9#300000|1#300000,1,15,tower_window,
22,2,6,6,2,2,-1,80,80,9#300000|34#30,1,15,tower_window,
23,2,6,6,2,2,-1,100,100,9#500000|10#8000,1,15,tower_window,
24,2,6,6,2,2,-1,120,120,9#7000000|930117#50,1,15,tower_window,
25,2,7,7,2,3,-1,10,10,1#200000|34#10,1,,campaign_window,
26,2,7,7,2,3,-1,20,20,1#400000|10#1500,1,,campaign_window,
27,2,7,7,2,3,-1,30,30,1#600000|14#3000,1,,campaign_window,
28,2,7,7,2,3,-1,40,40,1#800000|34#40,1,,campaign_window,
29,2,7,7,2,3,-1,50,50,1#2000000|14#6000,1,,campaign_window,
30,2,7,7,2,3,-1,60,60,1#4000000|2#1000,1,,campaign_window,
31,3,1,1,1,1,-1,1,1,2#150|956099#50,1,,,
32,3,2,2,2,1,-1,30000,30000,43#200|3065#1,1,,slot_window,
33,3,3,3,1,1,-1,1000,1000,2#3000|940001#720,1,,vip_window,
34,3,8,8,1,2,-1,2,2,1#100000|9#100000,1,,market_window,{'shopType':7}
35,3,8,8,1,2,-1,4,4,1#200000|9#200000,1,,market_window,{'shopType':7}
