id,award,multiply_type
1,2#100,
2,36#3,
3,20#1,
4,29#1,
5,35#5,
6,2#150,
7,34#5,
8,2#150,
9,28#4,
10,28#5,
11,40#1,
12,46#1#100,3
13,2#1#100,3
14,43#10,
15,50#50,
16,52#10,
17,54#1,
18,114#100,
19,86#1,
20,131#15,
21,132#5,
22,146#1,
23,148#2,
24,169#1,
25,171#1,
26,182#2,
27,186#1,
28,185#5,
29,265#1,
30,189#4,
31,312#5,
32,313#1,
33,218#5,
34,235#1,
35,253#10,
36,36#1,
37,25#1,
38,265#1,
39,283#5,
40,291#6,
41,302#2,
42,57#10,
43,309#2,
44,310#1,
45,269#5,
46,316#1,
47,343#2,
48,345#2,
49,347#5,
50,349#15,
51,364#1,
52,375#5,
53,379#3,
54,385#5,
55,386#1,
56,390#2,
57,394#2,
58,410#5,
59,429#5,
60,454#2,
61,259#1,
62,255#25,
