id,next_id,level,card_num,cost,point,skill,img,cloister,type
10001,10002,1,1,338#230,100,630101,time_cloister_crystal_card_1_1,3,1
10002,10003,2,2,338#230,100,630102,time_cloister_crystal_card_1_1,3,1
10003,10004,3,2,338#230,100,630103,time_cloister_crystal_card_1_1,3,1
10004,10005,4,3,338#230,100,630104,time_cloister_crystal_card_1_1,3,1
10005,10006,5,3,338#230,100,630105,time_cloister_crystal_card_1_1,3,1
10006,10007,6,4,338#230,100,630106,time_cloister_crystal_card_1_1,3,1
10007,10008,7,4,338#230,100,630107,time_cloister_crystal_card_1_1,3,1
10008,10009,8,5,338#230,100,630108,time_cloister_crystal_card_1_1,3,1
10009,10010,9,5,338#230,100,630109,time_cloister_crystal_card_1_1,3,1
10010,10011,10,6,338#230,100,630110,time_cloister_crystal_card_1_1,3,1
10011,10012,11,6,338#230,100,630111,time_cloister_crystal_card_1_1,3,1
10012,10013,12,7,338#230,100,630112,time_cloister_crystal_card_1_1,3,1
10013,10014,13,7,338#230,100,630113,time_cloister_crystal_card_1_1,3,1
10014,10015,14,8,338#230,100,630114,time_cloister_crystal_card_1_1,3,1
10015,10016,15,8,338#230,100,630115,time_cloister_crystal_card_1_1,3,1
10016,10017,16,9,338#230,100,630116,time_cloister_crystal_card_1_1,3,1
10017,10018,17,9,338#230,100,630117,time_cloister_crystal_card_1_1,3,1
10018,10019,18,10,338#230,100,630118,time_cloister_crystal_card_1_1,3,1
10019,10020,19,10,338#230,100,630119,time_cloister_crystal_card_1_1,3,1
10020,-1,20,,338#230,100,630120,time_cloister_crystal_card_1_1,3,1
20001,20002,1,1,339#220,80,630201,time_cloister_crystal_card_1_2,3,1
20002,20003,2,2,339#220,80,630202,time_cloister_crystal_card_1_2,3,1
20003,20004,3,2,339#220,80,630203,time_cloister_crystal_card_1_2,3,1
20004,20005,4,3,339#220,80,630204,time_cloister_crystal_card_1_2,3,1
20005,20006,5,3,339#220,80,630205,time_cloister_crystal_card_1_2,3,1
20006,20007,6,4,339#220,80,630206,time_cloister_crystal_card_1_2,3,1
20007,20008,7,4,339#220,80,630207,time_cloister_crystal_card_1_2,3,1
20008,20009,8,5,339#220,80,630208,time_cloister_crystal_card_1_2,3,1
20009,20010,9,5,339#220,80,630209,time_cloister_crystal_card_1_2,3,1
20010,20011,10,6,339#220,80,630210,time_cloister_crystal_card_1_2,3,1
20011,20012,11,6,339#220,80,630211,time_cloister_crystal_card_1_2,3,1
20012,20013,12,7,339#220,80,630212,time_cloister_crystal_card_1_2,3,1
20013,20014,13,7,339#220,80,630213,time_cloister_crystal_card_1_2,3,1
20014,20015,14,8,339#220,80,630214,time_cloister_crystal_card_1_2,3,1
20015,20016,15,8,339#220,80,630215,time_cloister_crystal_card_1_2,3,1
20016,20017,16,9,339#220,80,630216,time_cloister_crystal_card_1_2,3,1
20017,20018,17,9,339#220,80,630217,time_cloister_crystal_card_1_2,3,1
20018,20019,18,10,339#220,80,630218,time_cloister_crystal_card_1_2,3,1
20019,20020,19,10,339#220,80,630219,time_cloister_crystal_card_1_2,3,1
20020,-1,20,,339#220,80,630220,time_cloister_crystal_card_1_2,3,1
30001,30002,1,1,340#260,110,630301,time_cloister_crystal_card_1_3,3,1
30002,30003,2,2,340#260,110,630302,time_cloister_crystal_card_1_3,3,1
30003,30004,3,2,340#260,110,630303,time_cloister_crystal_card_1_3,3,1
30004,30005,4,3,340#260,110,630304,time_cloister_crystal_card_1_3,3,1
30005,30006,5,3,340#260,110,630305,time_cloister_crystal_card_1_3,3,1
30006,30007,6,4,340#260,110,630306,time_cloister_crystal_card_1_3,3,1
30007,30008,7,4,340#260,110,630307,time_cloister_crystal_card_1_3,3,1
30008,30009,8,5,340#260,110,630308,time_cloister_crystal_card_1_3,3,1
30009,30010,9,5,340#260,110,630309,time_cloister_crystal_card_1_3,3,1
30010,30011,10,6,340#260,110,630310,time_cloister_crystal_card_1_3,3,1
30011,30012,11,6,340#260,110,630311,time_cloister_crystal_card_1_3,3,1
30012,30013,12,7,340#260,110,630312,time_cloister_crystal_card_1_3,3,1
30013,30014,13,7,340#260,110,630313,time_cloister_crystal_card_1_3,3,1
30014,30015,14,8,340#260,110,630314,time_cloister_crystal_card_1_3,3,1
30015,30016,15,8,340#260,110,630315,time_cloister_crystal_card_1_3,3,1
30016,30017,16,9,340#260,110,630316,time_cloister_crystal_card_1_3,3,1
30017,30018,17,9,340#260,110,630317,time_cloister_crystal_card_1_3,3,1
30018,30019,18,10,340#260,110,630318,time_cloister_crystal_card_1_3,3,1
30019,30020,19,10,340#260,110,630319,time_cloister_crystal_card_1_3,3,1
