id,point,awards
1,1,422#20
2,5,422#25
3,10,422#30
4,15,422#35
5,20,422#40
6,25,422#45
7,30,422#50
8,33,422#54
9,36,422#58
10,39,422#62
11,42,422#66
12,45,422#70
13,48,422#74
14,51,422#78
15,54,422#82
16,57,422#86
17,60,422#90
18,63,422#94
19,66,422#98
20,69,422#102
21,72,422#106
22,75,422#110
23,78,422#114
24,81,422#118
25,84,422#122
26,87,422#126
27,90,422#130
28,93,422#134
29,96,422#138
30,99,422#142
31,102,422#146
32,105,422#150
33,108,422#154
34,111,422#158
35,114,422#162
36,117,422#166
37,120,422#170
38,123,422#174
39,126,422#178
40,129,422#182
41,132,422#186
42,135,422#190
43,138,422#194
44,141,422#198
45,144,422#202
46,147,422#206
47,150,422#210
