id,name,num,awards1,awards2,awards3
1700101,-1,2,1#4000000|9#4000000|10#3000|14#3000,940011#50|940012#50|940013#50|940014#50,
1700201,-1,2,29#12|36#20|20#6,940015#50|940016#50|940004#50,
1700301,-1,3,1#24000000|9#24000000|10#18000|14#18000,29#18|36#30|20#9,940011#50|940012#50|940013#50|940014#50
1700401,-1,2,29#36|36#60|20#18,26#40000|27#5000|10#70000|14#70000,
1700501,-1,3,29#48|36#80|20#24,244#1|956001#50|93#2,940011#150|940012#150|940013#150|940014#150
1700601,-1,3,29#48|36#80|20#24,26#12000|27#1500|10#20000|14#20000,940031#50|940032#50|940033#50|940034#50
1700701,-1,3,29#60|36#100|20#30,1#40000000|9#40000000|10#30000|14#30000,26#30000|27#3750|216#1850
1700801,-1,2,29#84|36#140|20#42,940036#100|940035#100,
1700901,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
1701001,-1,3,29#100|36#166|20#50,26#30000|27#3750|198#75000,216#2000|199#16000
1701101,-1,3,29#100|36#166|20#50,26#30000|27#3750|198#75000,216#2000|199#16000
1701201,-1,3,29#100|36#166|20#50,26#30000|27#3750|198#75000,216#2000|199#16000
1701301,-1,2,29#9|36#15|20#5,1#5000000|9#5000000|10#4000|14#4000,
1701401,-1,2,29#18|36#25|20#9,940011#50|940012#50|940013#50|940014#50,
1701501,-1,3,1#20000000|9#20000000|10#15000|14#15000,29#27|36#45|20#15,940011#50|940012#50|940013#50|940014#50
1701601,-1,3,29#48|36#80|20#24,940031#50|940032#50|940033#50|940034#50,1#32000000|9#32000000|10#24000|14#24000
1701701,-1,3,29#48|36#80|20#24,26#32000|27#4000|10#54000|14#54000,940011#150|940012#150|940013#150|940014#150
1701801,-1,3,29#48|36#80|20#24,26#12000|27#1500|10#20000|14#20000,940031#50|940032#50|940033#50|940034#50
1701901,-1,3,29#48|36#80|20#24,26#6000|27#750|10#10000|14#10000,940031#50|940032#50|940033#50|940034#50
1702001,-1,3,29#48|36#80|20#24,26#6000|27#750|10#10000|14#10000,940031#50|940032#50|940033#50|940034#50
1702101,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702201,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702301,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702401,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702501,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702601,-1,3,29#60|36#100|20#30,1#55000000|9#55000000|10#40000|14#40000|26#24000|27#3000|216#1500|198#60000|199#12000,940031#50|940032#50|940033#50|940034#50
1702701,-1,2,29#84|36#140|20#42,940035#100|940036#100,
1702801,-1,2,29#84|36#140|20#42,940035#100|940036#100,
1702901,-1,2,29#84|36#140|20#42,940035#100|940036#100,
1703001,-1,3,29#100|36#166|20#50,26#30000|27#3750|216#2000,198#75000|199#16000
1703101,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
1703201,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
1703301,-1,3,29#60|36#100|20#30,940006#50|940005#50|93#1,940041#50|940042#50|940043#50|940044#50
1709101,-1,3,29#36|36#60|20#18,26#10000|27#1250|216#625,940031#50|940032#50|940033#50|940034#50
1709102,-1,3,29#48|36#80|20#24,1#40000000|9#40000000|10#30000|14#30000,940036#100|940035#100
1709103,-1,3,29#60|36#100|20#30,940006#100|940005#100|93#2,940041#50|940042#50|940043#50|940044#50
