id,award,weight,times
1,360#10000|359#2000|940059#25|358#10|2#1000,200|200|200|200|200,0
2,360#10000|359#2000|940059#25|358#10|2#1000,200|200|200|200|200,0
3,360#10000|359#2000|940059#25|358#10|2#1000,200|200|200|200|200,0
4,940004#25|940006#25|940005#25|940001#75|940003#150,200|200|200|200|200,0
5,940004#25|940006#25|940005#25|940001#75|940003#150,200|200|200|200|200,0
6,940004#25|940006#25|940005#25|940001#75|940003#150,200|200|200|200|200,0
7,73#5|170#5|36#5|20#3|2#250,200|200|200|200|200,0
8,73#5|170#5|36#5|20#3|2#250,200|200|200|200|200,0
9,73#5|170#5|36#5|20#3|2#250,200|200|200|200|200,0
10,73#5|170#5|36#5|20#3|2#250,200|200|200|200|200,0
11,20001043#1,,1
12,36#30,,2
13,20#10,,3
14,4101067#1,,4
15,4501002#1,,5
16,4102008#1,,6
17,4101008#1,,7
18,4201042#50,,8
19,4101010#1,,9
20,358#30,,10
21,4901001#1,,11
22,4101010#1,,12
23,986001#50,,13
24,6725#1,,14
25,4101010#1,,15
26,4201042#100,,16
27,5100020#1,,17
28,4402015#1,,18
29,424#100,,19
30,5100021#1,,20
31,418#200,,21
32,940059#200,,22
33,2#50000,,23
34,5100020#1,,24
35,6791#1,,25
36,5100021#1,,26
37,4201042#50,,27
