id,partner_link,skin,name,lv,grade,hp,atk,hpP,atkP,armP,spdP,energy_ex,hit,miss,crit,unCrit,critTime,unfree,free,allDmgRate,allHarmDec,sklP,decDmg,brk,trueAtk,is_boss,lv_show,scale,is_player_use,skill,equip_6,exskill,is_real_boss
7009196,754003,,-1,420,10,3618786,174143,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009197,754007,,-1,420,10,3352138,114281,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009198,752003,,-1,420,10,3428323,143668,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009199,753001,,-1,420,10,3428323,143668,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009200,755001,,-1,420,10,3428323,143668,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009201,752004,,-1,420,10,3618786,174143,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009202,752002,,-1,420,10,3390231,130607,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009203,752005,,-1,420,10,3390231,130607,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009204,756001,,-1,420,10,3352138,114281,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009205,754010,,-1,420,10,3618786,174143,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009206,751002,,-1,420,10,3618786,174143,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009207,753004,,-1,420,10,3390231,130607,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009208,751005,,-1,420,10,3352138,114281,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009209,754009,,-1,420,10,3352138,114281,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009210,751006,,-1,420,10,3390231,130607,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009211,753006,,-1,420,10,3618786,174143,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009212,751010,,-1,420,10,3390231,130607,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009213,756002,,-1,420,10,3999710,117546,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,420,,,,,,
7009214,753002,,-1,430,10,7262400,374951,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,430,,,,,,
7009215,751006,,-1,430,10,7262400,374951,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,430,,,,,,
7009216,753006,,-1,430,10,7752000,499934,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,430,,,,,,
7009217,752005,,-1,430,10,7262400,374951,6.82,6.3,1,1,,1100,850,0,0,0,0,300,0,0,0,0,0,0,,430,,,,,,
