id,point,effect
1,100,hp#4000|atk#50
2,200,hp#8200|atk#102
3,300,hp#12600|atk#157
4,400,hp#17200|atk#215
5,500,hp#22000|atk#275
6,600,hp#27000|atk#337
7,700,hp#32200|atk#402
8,800,hp#37600|atk#470
9,900,hp#43200|atk#540
10,1000,hp#49000|atk#612
11,1200,hp#60000|atk#749
12,1400,hp#71400|atk#892
13,1600,hp#83200|atk#1040
14,1800,hp#95400|atk#1192
15,2000,hp#108000|atk#1350
16,2200,hp#119900|atk#1498
17,2400,hp#132000|atk#1650
18,2600,hp#144300|atk#1803
19,2800,hp#156800|atk#1960
20,3000,hp#169500|atk#2118
21,3200,hp#182400|atk#2280
22,3400,hp#195500|atk#2443
23,3600,hp#208800|atk#2610
24,3800,hp#222300|atk#2778
25,4000,hp#236000|atk#2950
26,4200,hp#248640|atk#3108
27,4400,hp#261360|atk#3267
28,4600,hp#274160|atk#3427
29,4800,hp#287040|atk#3587
30,5000,hp#300000|atk#3749
31,5300,hp#318000|atk#3975
32,5600,hp#336000|atk#4200
33,5900,hp#354000|atk#4425
34,6200,hp#372000|atk#4650
35,6500,hp#390000|atk#4875
36,6800,hp#408000|atk#5100
37,7100,hp#426000|atk#5325
38,7400,hp#444000|atk#5550
39,7700,hp#462000|atk#5775
40,8000,hp#480000|atk#6000
41,8300,hp#498000|atk#6225
42,8600,hp#516000|atk#6450
43,8900,hp#534000|atk#6675
44,9200,hp#552000|atk#6900
45,9500,hp#570000|atk#7125
46,9800,hp#588000|atk#7350
47,10100,hp#606000|atk#7575
48,10400,hp#624000|atk#7800
49,10700,hp#642000|atk#8025
50,11000,hp#660000|atk#8250
51,11400,hp#684000|atk#8550
52,11800,hp#708000|atk#8850
53,12200,hp#732000|atk#9150
54,12600,hp#756000|atk#9450
55,13000,hp#780000|atk#9750
56,13400,hp#804000|atk#10050
57,13800,hp#828000|atk#10350
58,14200,hp#852000|atk#10650
59,14600,hp#876000|atk#10950
60,15000,hp#900000|atk#11250
61,15400,hp#924000|atk#11550
62,15800,hp#948000|atk#11850
63,16200,hp#972000|atk#12150
64,16600,hp#996000|atk#12450
65,17000,hp#1020000|atk#12750
66,17400,hp#1044000|atk#13050
67,17800,hp#1068000|atk#13350
68,18200,hp#1092000|atk#13650
69,18600,hp#1116000|atk#13950
70,19000,hp#1140000|atk#14250
71,19400,hp#1164000|atk#14550
72,19800,hp#1188000|atk#14850
73,20200,hp#1212000|atk#15150
74,20600,hp#1236000|atk#15450
75,21000,hp#1260000|atk#15750
76,21500,hp#1290000|atk#16125
77,22000,hp#1320000|atk#16500
78,22500,hp#1350000|atk#16875
79,23000,hp#1380000|atk#17250
80,23500,hp#1410000|atk#17625
81,24000,hp#1440000|atk#18000
82,24500,hp#1470000|atk#18375
83,25000,hp#1500000|atk#18750
84,25500,hp#1530000|atk#19125
85,26000,hp#1560000|atk#19500
86,26500,hp#1590000|atk#19875
87,27000,hp#1620000|atk#20250
88,27500,hp#1650000|atk#20625
89,28000,hp#1680000|atk#21000
90,28500,hp#1710000|atk#21375
91,29000,hp#1740000|atk#21750
92,29500,hp#1770000|atk#22125
93,30000,hp#1800000|atk#22500
94,30500,hp#1830000|atk#22875
95,31000,hp#1860000|atk#23250
96,31500,hp#1890000|atk#23625
97,32000,hp#1920000|atk#24000
98,32500,hp#1950000|atk#24375
99,33000,hp#1980000|atk#24750
100,33500,hp#2010000|atk#25125
