id,title,desc,type,unlock_id,text_type,open_plot_id,icon_image,disappear_plot_id,place_id
1,-1,-1,,,1,1,,,1
2,-1,-1,1,1,1,39,activity_pirate_partner_icon15,2,2
3,-1,-1,2,2,1,79,activity_pirate_partner_icon7,3,7
4,-1,-1,2,3,1,103,activity_pirate_partner_icon6,4,8
5,-1,-1,3,2,1,132,activity_pirate_partner_icon2,5,3
6,-1,-1,3,5,1,171,activity_pirate_partner_icon15,6,4
7,-1,-1,4,2,1,205,activity_pirate_partner_icon9,7,5
8,-1,-1,4,7,1,242,activity_pirate_partner_icon1,8,6
9,-1,-1,5,4|6|8,1,278,activity_pirate_partner_icon14,9,9
10,-1,-1,5,9,1,307,activity_pirate_partner_icon15,10,10
11,-1,-1,5,10,1,331,activity_pirate_partner_icon13,11,11
12,-1,-1,2,2,2,1,activity_pirate_partner_icon5,3,
13,-1,-1,2,2,2,1,activity_pirate_partner_icon8,3,
14,-1,-1,2,3,2,1,activity_pirate_partner_icon7,4,
15,-1,-1,2,4|6|8,3,1,activity_pirate_partner_icon6,4,
16,-1,-1,3,2,2,1,activity_pirate_partner_icon11,5,
17,-1,-1,3,2,2,1,activity_pirate_partner_icon10,5,
18,-1,-1,3,5,2,1,activity_pirate_partner_icon2,6,
19,-1,-1,3,4|6|8,3,1,activity_pirate_partner_icon3,4,
20,-1,-1,4,2,2,1,activity_pirate_partner_icon12,7,
21,-1,-1,4,2,2,1,activity_pirate_partner_icon4,7,
22,-1,-1,4,7,2,1,activity_pirate_partner_icon9,8,
23,-1,-1,4,4|6|8,3,1,activity_pirate_partner_icon1,4,
