id,desc,type,battle_id,battle_skill,battle_map,difficulty_id,explore_points,award1,award2,award3,skill_id,map_id,area_id,amount
1001,-1,1,20201189|20201197|20201205|20201213|20201221|20201229,509999,battle_map_22_1,1,2,360#2,398#10,397#2,509999,1,2|5,10
1002,-1,1,20201189|20201197|20201205|20201213|20201221|20201229,509999,battle_map_22_1,2,2,360#2,398#10,397#2,509999,1,7|10,10
1003,-1,1,20201189|20201197|20201205|20201213|20201221|20201229,509999,battle_map_22_1,3,2,360#2,398#10,397#2,509999,1,12|13,5
1004,-1,1,20201190|20201198|20201206|20201214|20201222|20201230,509999,battle_map_22_1,1,2,360#5,398#12,397#2,509999,2,2|5,10
1005,-1,1,20201190|20201198|20201206|20201214|20201222|20201230,509999,battle_map_22_1,2,2,360#5,398#12,397#2,509999,2,7|10,11
1006,-1,1,20201190|20201198|20201206|20201214|20201222|20201230,509999,battle_map_22_1,3,2,360#5,398#12,397#2,509999,2,12|14,6
1007,-1,1,20201191|20201199|20201207|20201215|20201223|20201231,509999,battle_map_22_1,1,2,360#7,398#14,397#2,509999,3,2|6,11
1008,-1,1,20201191|20201199|20201207|20201215|20201223|20201231,509999,battle_map_22_1,2,2,360#7,398#14,397#2,509999,3,8|11,12
1009,-1,1,20201191|20201199|20201207|20201215|20201223|20201231,509999,battle_map_22_1,3,2,360#7,398#14,397#2,509999,3,13|15,5
1010,-1,1,20201192|20201200|20201208|20201216|20201224|20201232,509999,battle_map_22_1,1,2,360#9,398#16,397#2,509999,4,2|6,12
1011,-1,1,20201192|20201200|20201208|20201216|20201224|20201232,509999,battle_map_22_1,2,2,360#9,398#16,397#2,509999,4,8|11,12
1012,-1,1,20201192|20201200|20201208|20201216|20201224|20201232,509999,battle_map_22_1,3,2,360#9,398#16,397#2,509999,4,13|16,6
1013,-1,1,20201193|20201201|20201209|20201217|20201225|20201233,509999,battle_map_22_1,1,2,360#10,398#18,397#2,509999,5,2|6,12
1014,-1,1,20201193|20201201|20201209|20201217|20201225|20201233,509999,battle_map_22_1,2,2,360#10,398#18,397#2,509999,5,8|11,13
1015,-1,1,20201193|20201201|20201209|20201217|20201225|20201233,509999,battle_map_22_1,3,2,360#10,398#18,397#2,509999,5,13|17,7
1016,-1,1,20201194|20201202|20201210|20201218|20201226|20201234,509999,battle_map_22_1,4,2,360#12,398#20,397#2,509999,6,2|5,11
1017,-1,1,20201194|20201202|20201210|20201218|20201226|20201234,509999,battle_map_22_1,5,2,360#12,398#20,397#2,509999,6,7|10,10
1018,-1,1,20201194|20201202|20201210|20201218|20201226|20201234,509999,battle_map_22_1,6,2,360#12,398#20,397#2,509999,6,12|15,10
1019,-1,1,20201194|20201202|20201210|20201218|20201226|20201234,509999,battle_map_22_1,7,2,360#12,398#20,397#2,509999,6,17|18,3
1020,-1,1,20201195|20201203|20201211|20201219|20201227|20201235,509999,battle_map_22_1,4,2,360#13,398#22,397#2,509999,7,2|5,11
1021,-1,1,20201195|20201203|20201211|20201219|20201227|20201235,509999,battle_map_22_1,5,2,360#13,398#22,397#2,509999,7,7|10,10
1022,-1,1,20201195|20201203|20201211|20201219|20201227|20201235,509999,battle_map_22_1,6,2,360#13,398#22,397#2,509999,7,12|15,10
1023,-1,1,20201195|20201203|20201211|20201219|20201227|20201235,509999,battle_map_22_1,7,2,360#13,398#22,397#2,509999,7,17|19,5
1024,-1,1,20201196|20201204|20201212|20201220|20201228|20201236,509999,battle_map_22_1,4,2,360#14,398#24,397#2,509999,8,2|6,12
1025,-1,1,20201196|20201204|20201212|20201220|20201228|20201236,509999,battle_map_22_1,5,2,360#14,398#24,397#2,509999,8,8|11,11
1026,-1,1,20201196|20201204|20201212|20201220|20201228|20201236,509999,battle_map_22_1,6,2,360#14,398#24,397#2,509999,8,13|16,11
1027,-1,1,20201196|20201204|20201212|20201220|20201228|20201236,509999,battle_map_22_1,7,2,360#14,398#24,397#2,509999,8,18|20,3
2001,-1,2,20201141|20201149|20201157|20201165|20201173|20201181,509999,battle_map_22_1,8,4,360#33,398#75,397#4,509999,1,6|6,2
2002,-1,2,20201141|20201149|20201157|20201165|20201173|20201181,509999,battle_map_22_1,9,4,360#33,398#75,397#4,509999,1,11|11,2
2003,-1,2,20201142|20201150|20201158|20201166|20201174|20201182,509999,battle_map_22_1,8,4,360#63,398#90,397#4,509999,2,6|6,2
2004,-1,2,20201142|20201150|20201158|20201166|20201174|20201182,509999,battle_map_22_1,9,4,360#63,398#90,397#4,509999,2,11|11,2
2005,-1,2,20201143|20201151|20201159|20201167|20201175|20201183,509999,battle_map_22_1,8,4,360#87,398#105,397#4,509999,3,7|7,2
2006,-1,2,20201143|20201151|20201159|20201167|20201175|20201183,509999,battle_map_22_1,9,4,360#87,398#105,397#4,509999,3,12|12,2
2007,-1,2,20201144|20201152|20201160|20201168|20201176|20201184,509999,battle_map_22_1,8,4,360#108,398#120,397#4,509999,4,7|7,2
2008,-1,2,20201144|20201152|20201160|20201168|20201176|20201184,509999,battle_map_22_1,9,4,360#108,398#120,397#4,509999,4,12|12,2
2009,-1,2,20201145|20201153|20201161|20201169|20201177|20201185,509999,battle_map_22_1,8,4,360#129,398#135,397#4,509999,5,7|7,2
2010,-1,2,20201145|20201153|20201161|20201169|20201177|20201185,509999,battle_map_22_1,9,4,360#129,398#135,397#4,509999,5,12|12,2
2011,-1,2,20201146|20201154|20201162|20201170|20201178|20201186,509999,battle_map_22_1,1,4,360#144,398#150,397#4,509999,6,6|6,2
2012,-1,2,20201146|20201154|20201162|20201170|20201178|20201186,509999,battle_map_22_1,2,4,360#144,398#150,397#4,509999,6,11|11,2
2013,-1,2,20201146|20201154|20201162|20201170|20201178|20201186,509999,battle_map_22_1,3,4,360#144,398#150,397#4,509999,6,16|16,2
2014,-1,2,20201147|20201155|20201163|20201171|20201179|20201187,509999,battle_map_22_1,1,4,360#159,398#165,397#4,509999,7,6|6,2
2015,-1,2,20201147|20201155|20201163|20201171|20201179|20201187,509999,battle_map_22_1,2,4,360#159,398#165,397#4,509999,7,11|11,2
2016,-1,2,20201147|20201155|20201163|20201171|20201179|20201187,509999,battle_map_22_1,3,4,360#159,398#165,397#4,509999,7,16|16,2
2017,-1,2,20201148|20201156|20201164|20201172|20201180|20201188,509999,battle_map_22_1,1,4,360#183,398#180,397#4,509999,8,7|7,2
2018,-1,2,20201148|20201156|20201164|20201172|20201180|20201188,509999,battle_map_22_1,2,4,360#183,398#180,397#4,509999,8,12|12,2
2019,-1,2,20201148|20201156|20201164|20201172|20201180|20201188,509999,battle_map_22_1,3,4,360#183,398#180,397#4,509999,8,17|17,2
3001,-1,3,20201101|20201109|20201117|20201125|20201133,509999,battle_map_34_1,10,10,360#276,398#100,397#10,509999,1,6|12,1
3002,-1,3,20201102|20201110|20201118|20201126|20201134,509999,battle_map_34_1,10,10,360#552,398#120,397#10,509999,2,7|13,1
3003,-1,3,20201103|20201111|20201119|20201127|20201135,509999,battle_map_34_1,10,10,360#828,398#140,397#10,509999,3,8|14,1
3004,-1,3,20201104|20201112|20201120|20201128|20201136,509999,battle_map_34_1,10,10,360#1104,398#160,397#10,509999,4,9|15,1
3005,-1,3,20201105|20201113|20201121|20201129|20201137,509999,battle_map_34_1,10,10,360#1380,398#180,397#10,509999,5,10|16,1
3006,-1,3,20201106|20201114|20201122|20201130|20201138,509999,battle_map_34_1,10,10,360#1656,398#200,397#10,509999,6,11|17,1
3007,-1,3,20201107|20201115|20201123|20201131|20201139,509999,battle_map_34_1,10,10,360#1932,398#220,397#10,509999,7,12|18,1
3008,-1,3,20201108|20201116|20201124|20201132|20201140,509999,battle_map_34_1,10,10,360#2208,398#240,397#10,509999,8,13|19,1
4001,-1,4,,,,,1,,,397#1,710101,1,2|13,3
4002,-1,4,,,,,1,,,397#1,710102,2,2|14,3
4003,-1,4,,,,,1,,,397#1,710103,3,2|15,3
4004,-1,4,,,,,1,,,397#1,710104,4,2|16,3
4005,-1,4,,,,,1,,,397#1,710105,5,2|17,4
4006,-1,4,,,,,1,,,397#1,710106,6,2|18,4
4007,-1,4,,,,,1,,,397#1,710107,7,2|19,4
4008,-1,4,,,,,1,,,397#1,710108,8,2|20,4
5001,-1,5,,,,,1,,,397#1,710201,1,2|13,3
5002,-1,5,,,,,1,,,397#1,710202,2,2|14,3
5003,-1,5,,,,,1,,,397#1,710203,3,2|15,3
5004,-1,5,,,,,1,,,397#1,710204,4,2|16,3
5005,-1,5,,,,,1,,,397#1,710205,5,2|17,3
5006,-1,5,,,,,1,,,397#1,710206,6,2|18,4
5007,-1,5,,,,,1,,,397#1,710207,7,2|19,4
5008,-1,5,,,,,1,,,397#1,710208,8,2|20,4
6001,-1,6,,,,,1,,,397#1,710301,1,2|13,2
6002,-1,6,,,,,1,,,397#1,710302,2,2|14,3
6003,-1,6,,,,,1,,,397#1,710303,3,2|15,3
6004,-1,6,,,,,1,,,397#1,710304,4,2|16,3
6005,-1,6,,,,,1,,,397#1,710305,5,2|17,3
6006,-1,6,,,,,1,,,397#1,710306,6,2|18,3
6007,-1,6,,,,,1,,,397#1,710307,7,2|19,4
6008,-1,6,,,,,1,,,397#1,710308,8,2|20,4
7001,-1,7,,,,,1,,,397#1,710401,1,2|13,2
7002,-1,7,,,,,1,,,397#1,710402,2,2|14,2
7003,-1,7,,,,,1,,,397#1,710403,3,2|15,3
7004,-1,7,,,,,1,,,397#1,710404,4,2|16,3
7005,-1,7,,,,,1,,,397#1,710405,5,2|17,3
7006,-1,7,,,,,1,,,397#1,710406,6,2|18,3
7007,-1,7,,,,,1,,,397#1,710407,7,2|19,3
7008,-1,7,,,,,1,,,397#1,710408,8,2|20,3
8001,-1,8,,,,,1,,,397#1,710501,1,2|13,2
8002,-1,8,,,,,1,,,397#1,710502,2,2|14,2
8003,-1,8,,,,,1,,,397#1,710503,3,2|15,2
8004,-1,8,,,,,1,,,397#1,710504,4,2|16,3
8005,-1,8,,,,,1,,,397#1,710505,5,2|17,3
8006,-1,8,,,,,1,,,397#1,710506,6,2|18,3
8007,-1,8,,,,,1,,,397#1,710507,7,2|19,3
8008,-1,8,,,,,1,,,397#1,710508,8,2|20,3
9001,-1,9,,,,,1,360#103,398#50,397#1,,1,2|13,2
9002,-1,9,,,,,1,360#207,398#60,397#1,,2,2|14,2
9003,-1,9,,,,,1,360#207,398#70,397#1,,3,2|15,3
9004,-1,9,,,,,1,360#276,398#80,397#1,,4,2|16,3
9005,-1,9,,,,,1,360#258,398#90,397#1,,5,2|17,4
9006,-1,9,,,,,1,360#310,398#100,397#1,,6,2|18,4
9007,-1,9,,,,,1,360#289,398#110,397#1,,7,2|19,5
9008,-1,9,,,,,1,360#331,398#120,397#1,,8,2|20,5
10001,-1,10,,,,,1,,398#5,397#1,,1,2|13,42
10002,-1,10,,,,,1,,398#6,397#1,,2,2|14,46
10003,-1,10,,,,,1,,398#7,397#1,,3,2|15,50
10004,-1,10,,,,,1,,398#8,397#1,,4,2|16,54
10005,-1,10,,,,,1,,398#9,397#1,,5,2|17,59
10006,-1,10,,,,,1,,398#10,397#1,,6,2|18,58
10007,-1,10,,,,,1,,398#11,397#1,,7,2|19,63
10008,-1,10,,,,,1,,398#12,397#1,,8,2|20,64
11001,-1,11,,509999,battle_map_42_1,,10,,398#20,397#10,509999,9,1|9,-1
12001,-1,12,20201001|20201021|20201041|20201061|20201081,509999,battle_map_42_1,12,10,,398#100,397#10,509999,9,-2,1
12002,-1,12,20201002|20201022|20201042|20201062|20201082,509999,battle_map_42_1,12,20,,398#200,397#20,509999,9,-2,1
12003,-1,12,20201003|20201023|20201043|20201063|20201083,509999,battle_map_42_1,12,40,,398#300,397#40,509999,9,-2,1
12004,-1,12,20201004|20201024|20201044|20201064|20201084,509999,battle_map_42_1,12,80,,398#400,397#80,509999,9,-2,1
12005,-1,12,20201005|20201025|20201045|20201065|20201085,509999,battle_map_42_1,12,120,,398#500,397#120,509999,9,-2,1
12006,-1,12,20201006|20201026|20201046|20201066|20201086,509999,battle_map_42_1,12,160,,398#600,397#160,509999,9,-2,1
12007,-1,12,20201007|20201027|20201047|20201067|20201087,509999,battle_map_42_1,12,200,,398#700,397#200,509999,9,-2,1
12008,-1,12,20201008|20201028|20201048|20201068|20201088,509999,battle_map_42_1,12,250,,398#800,397#250,509999,9,-2,1
12009,-1,12,20201009|20201029|20201049|20201069|20201089,509999,battle_map_42_1,12,300,,398#900,397#300,509999,9,-2,1
12010,-1,12,20201010|20201030|20201050|20201070|20201090,509999,battle_map_42_1,12,350,,398#1000,397#350,509999,9,-2,1
12011,-1,12,20201011|20201031|20201051|20201071|20201091,509999,battle_map_42_1,12,400,,398#1100,397#400,509999,9,-2,1
12012,-1,12,20201012|20201032|20201052|20201072|20201092,509999,battle_map_42_1,12,500,,398#1200,397#500,509999,9,-2,1
12013,-1,12,20201013|20201033|20201053|20201073|20201093,509999,battle_map_42_1,12,600,,398#1300,397#600,509999,9,-2,1
12014,-1,12,20201014|20201034|20201054|20201074|20201094,509999,battle_map_42_1,12,700,,398#1400,397#700,509999,9,-2,1
12015,-1,12,20201015|20201035|20201055|20201075|20201095,509999,battle_map_42_1,12,800,,398#1500,397#800,509999,9,-2,1
12016,-1,12,20201016|20201036|20201056|20201076|20201096,509999,battle_map_42_1,12,900,,398#1600,397#900,509999,9,-2,1
12017,-1,12,20201017|20201037|20201057|20201077|20201097,509999,battle_map_42_1,12,1000,,398#1700,397#1000,509999,9,-2,1
12018,-1,12,20201018|20201038|20201058|20201078|20201098,509999,battle_map_42_1,12,1100,,398#1800,397#1100,509999,9,-2,1
12019,-1,12,20201019|20201039|20201059|20201079|20201099,509999,battle_map_42_1,12,1200,,398#1900,397#1200,509999,9,-2,1
12020,-1,12,20201020|20201040|20201060|20201080|20201100,509999,battle_map_42_1,12,1300,,398#2000,397#1300,509999,9,-2,1
