id,name,pos,qlt,max_star,max_lvl,base1,base2,base3,grow1,grow2,grow3,material,star_grow
5100001,-1,1,2,2,20,hp#15552,,,hp#777,,,5100001#1,1|1.2
5100002,-1,1,2,2,20,miss#6.584,,,miss#0.33,,,5100002#1,1|1.2
5100003,-1,1,2,2,20,atk#454,,,atk#22,,,5100003#1,1|1.2
5100004,-1,1,3,3,30,atk#756,,,atk#38,,,5100004#1|5100004#1,1|1.2|1.4
5100005,-1,1,3,3,30,hp#25920,,,hp#1296,,,5100005#1|5100005#1,1|1.2|1.4
5100006,-1,1,3,3,30,crit#5.486,,,crit#0.274,,,5100006#1|5100006#1,1|1.2|1.4
5100007,-1,1,4,4,40,atk#1260,unfree#6.858,,atk#63,unfree#0.343,,5100007#1|5100007#1|5100007#1,1|1.2|1.4|1.8
5100008,-1,1,4,4,40,hp#43200,unCrit#13.716,,hp#2160,unCrit#0.686,,5100008#1|5100008#1|5100008#1,1|1.2|1.4|1.8
5100009,-1,1,4,4,40,atk#1260,sklP#13.716,,atk#63,sklP#0.686,,5100009#1|5100009#1|5100009#1,1|1.2|1.4|1.8
5100010,-1,1,4,4,40,hp#43200,free#6.858,,hp#2160,free#0.343,,5100010#1|5100010#1|5100010#1,1|1.2|1.4|1.8
5100011,-1,1,5,5,50,hp#72000,hpP#0.12,free#11.43,hp#3600,hpP#0.006,free#0.572,5100011#1|5100011#1|5100011#1|5100011#1,1|1.2|1.4|1.8|2.3
5100012,-1,1,5,5,50,atk#2100,atkP#0.072,trueAtk#19.05,atk#105,atkP#0.0036,trueAtk#0.953,5100012#1|5100012#1|5100012#1|5100012#1,1|1.2|1.4|1.8|2.3
5100013,-1,1,5,5,50,hp#72000,hpP#0.12,unCrit#22.86,hp#3600,hpP#0.006,unCrit#1.143,5100013#1|5100013#1|5100013#1|5100013#1,1|1.2|1.4|1.8|2.3
5100014,-1,1,5,5,50,atk#2100,atkP#0.072,sklP#22.86,atk#105,atkP#0.0036,sklP#1.143,5100014#1|5100014#1|5100014#1|5100014#1,1|1.2|1.4|1.8|2.3
5100015,-1,1,6,6,60,atk#3500,atkP#0.12,hit#50.8,atk#175,atkP#0.006,hit#2.54,5100015#1|5100015#1|5100015#1|5100015#1|5100015#2,1|1.2|1.4|1.8|2.3|3
5100016,-1,1,6,6,60,hp#120000,hpP#0.2,miss#50.8,hp#6000,hpP#0.01,miss#2.54,5100016#1|5100016#1|5100016#1|5100016#1|5100016#2,1|1.2|1.4|1.8|2.3|3
5100017,-1,1,6,6,60,atk#3500,atkP#0.12,crit#25.4,atk#175,atkP#0.006,crit#1.27,5100017#1|5100017#1|5100017#1|5100017#1|5100017#2,1|1.2|1.4|1.8|2.3|3
5100018,-1,1,6,6,60,hp#120000,hpP#0.2,healB#0.0127,hp#6000,hpP#0.01,healB#0.000635,5100018#1|5100018#1|5100018#1|5100018#1|5100018#2,1|1.2|1.4|1.8|2.3|3
5100019,-1,1,6,6,60,hp#120000,hpP#0.2,healI#0.0127,hp#6000,hpP#0.01,healI#0.000635,5100019#1|5100019#1|5100019#1|5100019#1|5100019#2,1|1.2|1.4|1.8|2.3|3
5100020,-1,1,6,6,60,hp#120000,hpP#0.2,allHarmDec#100,hp#6000,hpP#0.01,allHarmDec#0.84,5100020#1|5100020#1|5100020#1|5100020#2|5100020#2,1|1.2|1.4|1.8|2.3|3
5100021,-1,1,6,6,60,energy#20,spd#20,sklP#100,energy#0.223,spd#0.223,sklP#1,5100021#1|5100021#1|5100021#1|5100021#2|5100021#2,1|1.2|1.4|1.8|2.3|3
5100022,-1,1,6,6,60,hp#150000,free#100,allHarmDec#100,hp#7000,free#1.112,allHarmDec#0.01,5100022#1|5100022#1|5100022#1|5100022#2|5100022#2,1|1.2|1.4|1.8|2.3|3
5100023,-1,1,6,6,60,atk#3500,crit#20,critTime#400,atk#175,crit#4.12,critTime#7.23,5100023#1|5100023#1|5100023#1|5100023#2|5100023#2,1|1.2|1.4|1.8|2.3|3
5100024,,1,6,6,60,,,,,,,5100024#1|5100024#1|5100024#1|5100024#1|5100024#2,1|1.2|1.4|1.8|2.3|3
