id,name,pos,max_qlt,star,max_lvl,group,base,base_weight,material,exp
5201101,-1,2,6,1,5,1,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5201102,-1,2,6,2,10,1,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5201103,-1,2,6,3,10,1,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5201104,-1,2,6,4,15,1,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5201105,-1,2,6,5,15,1,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5201106,-1,2,6,6,20,1,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5201201,-1,3,6,1,5,1,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5201202,-1,3,6,2,10,1,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5201203,-1,3,6,3,10,1,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5201204,-1,3,6,4,15,1,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5201205,-1,3,6,5,15,1,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5201206,-1,3,6,6,20,1,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5201301,-1,4,6,1,5,1,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5201302,-1,4,6,2,10,1,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5201303,-1,4,6,3,10,1,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5201304,-1,4,6,4,15,1,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5201305,-1,4,6,5,15,1,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5201306,-1,4,6,6,20,1,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5201401,-1,5,6,1,5,1,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5201402,-1,5,6,2,10,1,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5201403,-1,5,6,3,10,1,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5201404,-1,5,6,4,15,1,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5201405,-1,5,6,5,15,1,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5201406,-1,5,6,6,20,1,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5202101,-1,2,6,1,5,2,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5202102,-1,2,6,2,10,2,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5202103,-1,2,6,3,10,2,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5202104,-1,2,6,4,15,2,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5202105,-1,2,6,5,15,2,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5202106,-1,2,6,6,20,2,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5202201,-1,3,6,1,5,2,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5202202,-1,3,6,2,10,2,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5202203,-1,3,6,3,10,2,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5202204,-1,3,6,4,15,2,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5202205,-1,3,6,5,15,2,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5202206,-1,3,6,6,20,2,2,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5202301,-1,4,6,1,5,2,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5202302,-1,4,6,2,10,2,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5202303,-1,4,6,3,10,2,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5202304,-1,4,6,4,15,2,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5202305,-1,4,6,5,15,2,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5202306,-1,4,6,6,20,2,3|4|5|6|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5202401,-1,5,6,1,5,2,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5202402,-1,5,6,2,10,2,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5202403,-1,5,6,3,10,2,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5202404,-1,5,6,4,15,2,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5202405,-1,5,6,5,15,2,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
5202406,-1,5,6,6,20,2,9|10|11|12|7|8,1500|1500|1500|1500|2000|2000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,320
5203101,-1,2,6,1,5,3,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,10
5203102,-1,2,6,2,10,3,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,20
5203103,-1,2,6,3,10,3,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,40
5203104,-1,2,6,4,15,3,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,80
5203105,-1,2,6,5,15,3,1,10000,1#10000000@419#5|1#20000000@419#10|1#30000000@419#20|1#40000000@419#40|1#50000000@419#80,160
