id,next_id,lv,group,desc,cost,cost_total,effect
100100,100101,0,1,-1,359#0|360#0,359#0|360#0,
100101,100102,1,1,-1,359#5|360#50,359#5|360#50,hp#15428
100102,100103,2,1,-1,359#6|360#60,359#11|360#110,hp#30856
100103,100104,3,1,-1,359#7|360#70,359#18|360#180,hp#46284
100104,100105,4,1,-1,359#8|360#80,359#26|360#260,hp#61712
100105,100106,5,1,-1,359#9|360#90,359#35|360#350,hp#77140
100106,100107,6,1,-1,359#10|360#100,359#45|360#450,hp#92568
100107,100108,7,1,-1,359#11|360#110,359#56|360#560,hp#107996
100108,100109,8,1,-1,359#12|360#120,359#68|360#680,hp#123424
100109,100110,9,1,-1,359#13|360#130,359#81|360#810,hp#138852
100110,100111,10,1,-1,359#14|360#140,359#95|360#950,hp#154280
100111,100112,11,1,-1,359#15|360#150,359#110|360#1100,hp#169708
100112,100113,12,1,-1,359#18|360#180,359#128|360#1280,hp#185136
100113,100114,13,1,-1,359#21|360#210,359#149|360#1490,hp#200564
100114,100115,14,1,-1,359#24|360#240,359#173|360#1730,hp#215992
100115,100116,15,1,-1,359#27|360#270,359#200|360#2000,hp#231420
100116,100117,16,1,-1,359#30|360#300,359#230|360#2300,hp#246848
100117,100118,17,1,-1,359#33|360#330,359#263|360#2630,hp#262276
100118,100119,18,1,-1,359#36|360#360,359#299|360#2990,hp#277704
100119,100120,19,1,-1,359#39|360#390,359#338|360#3380,hp#293132
100120,100121,20,1,-1,359#42|360#420,359#380|360#3800,hp#308560
100121,100122,21,1,-1,359#45|360#450,359#425|360#4250,hp#323988
100122,100123,22,1,-1,359#49|360#490,359#474|360#4740,hp#339416
100123,100124,23,1,-1,359#53|360#530,359#527|360#5270,hp#354844
100124,100125,24,1,-1,359#57|360#570,359#584|360#5840,hp#370272
100125,100126,25,1,-1,359#61|360#610,359#645|360#6450,hp#385700
100126,100127,26,1,-1,359#65|360#650,359#710|360#7100,hp#401128
100127,100128,27,1,-1,359#69|360#690,359#779|360#7790,hp#416556
100128,100129,28,1,-1,359#73|360#730,359#852|360#8520,hp#431984
100129,100130,29,1,-1,359#77|360#770,359#929|360#9290,hp#447412
100130,100131,30,1,-1,359#81|360#810,359#1010|360#10100,hp#462840
100131,100132,31,1,-1,359#85|360#850,359#1095|360#10950,hp#478268
100132,100133,32,1,-1,359#91|360#910,359#1186|360#11860,hp#493696
100133,100134,33,1,-1,359#97|360#970,359#1283|360#12830,hp#509124
100134,100135,34,1,-1,359#103|360#1030,359#1386|360#13860,hp#524552
100135,100136,35,1,-1,359#109|360#1090,359#1495|360#14950,hp#539980
100136,100137,36,1,-1,359#115|360#1150,359#1610|360#16100,hp#555408
100137,100138,37,1,-1,359#121|360#1210,359#1731|360#17310,hp#570836
100138,100139,38,1,-1,359#127|360#1270,359#1858|360#18580,hp#586264
100139,100140,39,1,-1,359#133|360#1330,359#1991|360#19910,hp#601692
100140,100141,40,1,-1,359#139|360#1390,359#2130|360#21300,hp#617120
100141,100142,41,1,-1,359#145|360#1450,359#2275|360#22750,hp#632548
100142,100143,42,1,-1,359#152|360#1520,359#2427|360#24270,hp#647976
100143,100144,43,1,-1,359#159|360#1590,359#2586|360#25860,hp#663404
100144,100145,44,1,-1,359#166|360#1660,359#2752|360#27520,hp#678832
100145,100146,45,1,-1,359#173|360#1730,359#2925|360#29250,hp#694260
100146,100147,46,1,-1,359#180|360#1800,359#3105|360#31050,hp#709688
100147,100148,47,1,-1,359#187|360#1870,359#3292|360#32920,hp#725116
100148,100149,48,1,-1,359#194|360#1940,359#3486|360#34860,hp#740544
100149,100150,49,1,-1,359#201|360#2010,359#3687|360#36870,hp#755972
100150,100151,50,1,-1,359#208|360#2080,359#3895|360#38950,hp#771400
100151,100152,51,1,-1,359#215|360#2150,359#4110|360#41100,hp#786828
100152,100153,52,1,-1,359#224|360#2240,359#4334|360#43340,hp#802256
100153,100154,53,1,-1,359#233|360#2330,359#4567|360#45670,hp#817684
100154,100155,54,1,-1,359#242|360#2420,359#4809|360#48090,hp#833112
100155,100156,55,1,-1,359#251|360#2510,359#5060|360#50600,hp#848540
100156,100157,56,1,-1,359#260|360#2600,359#5320|360#53200,hp#863968
100157,100158,57,1,-1,359#269|360#2690,359#5589|360#55890,hp#879396
100158,100159,58,1,-1,359#278|360#2780,359#5867|360#58670,hp#894824
100159,100160,59,1,-1,359#287|360#2870,359#6154|360#61540,hp#910252
100160,-1,60,1,-1,359#296|360#2960,359#6450|360#64500,hp#925680
100200,100201,0,1,-1,359#0|360#0,359#0|360#0,
100201,100202,1,1,-1,359#5|360#50,359#5|360#50,atk#110
100202,100203,2,1,-1,359#6|360#60,359#11|360#110,atk#220
100203,100204,3,1,-1,359#7|360#70,359#18|360#180,atk#330
100204,100205,4,1,-1,359#8|360#80,359#26|360#260,atk#440
100205,100206,5,1,-1,359#9|360#90,359#35|360#350,atk#550
100206,100207,6,1,-1,359#10|360#100,359#45|360#450,atk#660
100207,100208,7,1,-1,359#11|360#110,359#56|360#560,atk#770
100208,100209,8,1,-1,359#12|360#120,359#68|360#680,atk#880
100209,100210,9,1,-1,359#13|360#130,359#81|360#810,atk#990
100210,100211,10,1,-1,359#14|360#140,359#95|360#950,atk#1100
100211,100212,11,1,-1,359#15|360#150,359#110|360#1100,atk#1210
100212,100213,12,1,-1,359#18|360#180,359#128|360#1280,atk#1320
100213,100214,13,1,-1,359#21|360#210,359#149|360#1490,atk#1430
100214,100215,14,1,-1,359#24|360#240,359#173|360#1730,atk#1540
100215,100216,15,1,-1,359#27|360#270,359#200|360#2000,atk#1650
100216,100217,16,1,-1,359#30|360#300,359#230|360#2300,atk#1760
100217,100218,17,1,-1,359#33|360#330,359#263|360#2630,atk#1870
100218,100219,18,1,-1,359#36|360#360,359#299|360#2990,atk#1980
100219,100220,19,1,-1,359#39|360#390,359#338|360#3380,atk#2090
100220,100221,20,1,-1,359#42|360#420,359#380|360#3800,atk#2200
100221,100222,21,1,-1,359#45|360#450,359#425|360#4250,atk#2310
100222,100223,22,1,-1,359#49|360#490,359#474|360#4740,atk#2420
100223,100224,23,1,-1,359#53|360#530,359#527|360#5270,atk#2530
100224,100225,24,1,-1,359#57|360#570,359#584|360#5840,atk#2640
