id,cost
1,1#100000|417#20
2,1#150000|417#30
3,1#200000|417#40
4,1#250000|417#50
5,1#300000|417#60
6,1#350000|417#70
7,1#400000|417#80
8,1#450000|417#90
9,1#500000|417#100
10,1#550000|417#110
11,1#1000000|417#200
12,1#1100000|417#220
13,1#1200000|417#240
14,1#1300000|417#260
15,1#1400000|417#280
16,1#1500000|417#300
17,1#1600000|417#320
18,1#1700000|417#340
19,1#1800000|417#360
20,1#1900000|417#380
21,1#3000000|417#600
22,1#3200000|417#640
23,1#3400000|417#680
24,1#3600000|417#720
25,1#3800000|417#760
26,1#4000000|417#800
27,1#4200000|417#840
28,1#4400000|417#880
29,1#4600000|417#920
30,1#4800000|417#960
31,1#7000000|417#1400
32,1#7300000|417#1460
33,1#7600000|417#1520
34,1#7900000|417#1580
35,1#8200000|417#1640
36,1#8500000|417#1700
37,1#8800000|417#1760
38,1#9100000|417#1820
39,1#9400000|417#1880
40,1#9700000|417#1940
41,1#13000000|417#2600
42,1#13400000|417#2680
43,1#13800000|417#2760
44,1#14200000|417#2840
45,1#14600000|417#2920
46,1#15000000|417#3000
47,1#15400000|417#3080
48,1#15800000|417#3160
49,1#16200000|417#3240
50,1#16600000|417#3320
51,1#21000000|417#4200
52,1#21500000|417#4300
53,1#22000000|417#4400
54,1#22500000|417#4500
55,1#23000000|417#4600
56,1#23500000|417#4700
57,1#24000000|417#4800
58,1#24500000|417#4900
59,1#25000000|417#5000
60,1#25500000|417#5100
