id,monster1,monster2
1,89188|89201|89123|89202|89200|89141,89192|89202|89141|89204|89201|89123
2,89161|89160|89159|89158|89162|89163,89176|89177|89178|89179|89180|89180
3,89123|89123|89175|89141|89180|89180,89192|89141|89200|89201|89204|89123
4,89124|89122|89121|89120|89119|89123,89139|89140|89141|89142|89143|89144
5,89124|89142|89203|89123|89202|89144,89192|89191|89188|89122|89123|89141
6,89122|89117|89202|89139|89119|89123,89123|89155|89177|89160|89198|89122
7,89191|89192|89202|89123|89141|89203,89123|89175|89141|89180|89178|89204
8,89189|89176|89158|89203|89202|89198,89161|89188|89180|89143|89198|89163
9,89122|89155|89181|89190|89199|89188,89142|89180|89175|89143|89177|89200
10,89178|89187|89191|89188|89202|89122,89139|89122|89160|89123|89178|89201
11,89122|89178|89141|89204|89202|89123,89122|89191|89141|89203|89123|89202
12,89192|89191|89190|89189|89188|89187,89199|89198|89197|89200|89201|89202
13,89122|89122|89123|89123|89203|89203,89192|89192|89202|89202|89204|89204
