id,battle_id,reward,power,map,data_record
1,200001,1#5000|10#5,2885,1,
2,200002,1#5000|10#5,3126,2,
3,200003,1#5000|10#5,3382,3,
4,200004,1#5000|10#5,3758,4,
5,200005,1#5000|10#5|930052#30,4136,5,
6,200006,1#5000|10#5,4239,6,
7,200007,1#5000|10#5,4451,8,
8,200008,1#5000|10#5,4769,9,
9,200009,1#5000|10#5,5575,10,
10,200010,1#5000|10#5|1032#1,5937,11,
11,200011,1#10000|10#10,6152,12,
12,200012,1#10000|10#10,6367,13,
13,200013,1#10000|10#10,6582,14,
14,200014,1#10000|10#10,6797,15,
15,200015,1#10000|10#10|2032#1,7018,16,
16,200016,1#10000|10#10,7018,17,
17,200017,1#10000|10#10,7133,18,
18,200018,1#10000|10#10,7133,19,
19,200019,1#10000|10#10,7254,20,
20,200020,1#10000|10#10|3032#1,7631,31,
21,200021,1#15000|10#15,8008,23,
22,200022,1#15000|10#15,8379,30,
23,200023,1#15000|10#15,8750,32,
24,200024,1#15000|10#15,9127,27,
25,200025,1#15000|10#15|4032#1,9505,24,
26,200026,1#15000|10#15,9823,25,
27,200027,1#15000|10#15,10147,21,
28,200028,1#15000|10#15,10465,28,
29,200029,1#15000|10#15,10783,22,
30,200030,1#15000|10#15|930067#30,11164,26,
31,200031,1#20000|10#20,11557,29,
32,200032,1#20000|10#20,11938,33,
33,200033,1#20000|10#20,12319,34,
34,200034,1#20000|10#20,12706,1,
35,200035,1#20000|10#20|1041#1,13087,2,
36,200036,1#20000|10#20,13266,3,
37,200037,1#20000|10#20,13440,4,
38,200038,1#20000|10#20,13613,5,
39,200039,1#20000|10#20,13792,6,
40,200040,1#20000|10#20|2041#1,14092,8,
41,200041,1#25000|10#25,14403,9,
42,200042,1#25000|10#25,14715,10,
43,200043,1#25000|10#25,15014,11,
44,200044,1#25000|10#25,15326,12,
45,200045,1#25000|10#25|3041#1,15625,13,
46,200046,1#25000|10#25,15937,14,
47,200047,1#25000|10#25,16659,15,
48,200048,1#25000|10#25,17262,16,
49,200049,1#25000|10#25,17858,17,
50,200050,1#25000|10#25|4041#1,18530,18,
51,200051,1#30000|10#30,19207,19,1
52,200052,1#30000|10#30,19878,20,
53,200053,1#30000|10#30,20549,31,
54,200054,1#30000|10#30,21226,23,
55,200055,1#30000|10#30|930058#30,21897,30,
56,200056,1#30000|10#30,22574,32,
57,200057,1#30000|10#30,23245,27,
58,200058,1#30000|10#30,23922,24,
59,200059,1#30000|10#30,24593,25,
60,200060,1#30000|10#30|1042#1,25264,21,
61,200061,1#35000|10#35,25867,28,
62,200062,1#35000|10#35,26458,22,
63,200063,1#35000|10#35,27118,26,
64,200064,1#35000|10#35,27784,29,
65,200065,1#35000|10#35|2042#1,28444,33,
66,200066,1#35000|10#35,29104,34,
67,200067,1#35000|10#35,29770,1,
68,200068,1#35000|10#35,30430,2,
69,200069,1#35000|10#35,31090,3,
70,200070,1#35000|10#35|3042#1,31756,4,
71,200071,1#40000|10#40,32416,5,
72,200072,1#40000|10#40,33076,6,
73,200073,1#40000|10#40,33742,8,
74,200074,1#40000|10#40,34403,9,
75,200075,1#40000|10#40|4042#1,38212,10,
76,200076,1#40000|10#40,38528,11,
77,200077,1#40000|10#40,38850,12,
78,200078,1#40000|10#40,39244,13,
79,200079,1#40000|10#40,39626,14,
80,200080,1#40000|10#40|930073#30,43888,15,
81,200081,1#45000|10#45,44315,16,
82,200082,1#45000|10#45,44387,17,
83,200083,1#45000|10#45,44814,18,
84,200084,1#45000|10#45,44886,19,
85,200085,1#45000|10#45|1043#1,45313,20,
86,200086,1#45000|10#45,45385,31,
87,200087,1#45000|10#45,45806,23,
88,200088,1#45000|10#45,45878,30,
89,200089,1#45000|10#45,46311,32,
90,200090,1#45000|10#45|2043#1,46784,27,
91,200091,1#50000|10#50,47142,24,
92,200092,1#50000|10#50,47142,25,
93,200093,1#50000|10#50,47640,21,
94,200094,1#50000|10#50,47775,28,
95,200095,1#50000|10#50|3043#1,48273,22,
96,200096,1#50000|10#50,48414,26,
97,200097,1#50000|10#50,48900,29,
98,200098,1#50000|10#50,49041,33,
99,200099,1#50000|10#50,49606,34,
100,200100,1#50000|10#50|4043#1,50164,1,
101,200101,1#55000|10#55,50729,2,1
102,200102,1#55000|10#55,51293,3,
103,200103,1#55000|10#55,51846,4,
104,200104,1#55000|10#55,52410,5,
105,200105,1#55000|10#55|940002#50,54071,6,
106,200106,1#55000|10#55,54506,8,
107,200107,1#55000|10#55,54935,9,
108,200108,1#55000|10#55,55497,10,
109,200109,1#55000|10#55,56059,11,
110,200110,1#55000|10#55|1051#1,56622,12,
111,200111,1#60000|10#60,57184,13,
112,200112,1#60000|10#60,57752,14,
113,200113,1#60000|10#60,58308,15,
114,200114,1#60000|10#60,58877,16,
115,200115,1#60000|10#60|2051#1,59445,17,
116,200116,1#60000|10#60,60001,18,
117,200117,1#60000|10#60,60570,19,
118,200118,1#60000|10#60,61126,20,
119,200119,1#60000|10#60,61694,31,
120,200120,1#60000|10#60|3051#1,62818,23,
121,200121,1#65000|10#65,63252,30,
122,200122,1#65000|10#65,63686,32,
123,200123,1#65000|10#65,64344,27,
124,200124,1#65000|10#65,64990,24,
125,200125,1#65000|10#65|4051#1,65648,25,
126,200126,1#65000|10#65,66307,21,
127,200127,1#65000|10#65,66953,28,
128,200128,1#65000|10#65,67611,22,
129,200129,1#65000|10#65,68257,26,
130,200130,1#65000|10#65|940002#50,69544,29,
131,200131,1#70000|10#70,69984,33,
132,200132,1#70000|10#70,70430,34,
133,200133,1#70000|10#70,71083,1,
134,200134,1#70000|10#70,71748,2,
135,200135,1#70000|10#70|1052#1,72402,3,
136,200136,1#70000|10#70,73067,4,
137,200137,1#70000|10#70,73720,5,
138,200138,1#70000|10#70,74386,6,
139,200139,1#70000|10#70,75045,8,
140,200140,1#70000|10#70|2052#1,77100,9,
141,200141,1#75000|10#75,77556,10,
142,200142,1#75000|10#75,78006,11,
143,200143,1#75000|10#75,79199,12,
144,200144,1#75000|10#75,80386,13,
145,200145,1#75000|10#75|3052#1,81579,14,
146,200146,1#75000|10#75,82765,15,
147,200147,1#75000|10#75,83964,16,
148,200148,1#75000|10#75,85151,17,
149,200149,1#75000|10#75,86344,18,
150,200150,1#75000|10#75|4052#1,87530,19,
151,200151,1#80000|10#80,90513,20,1
152,200152,1#80000|10#80,91149,31,
153,200153,1#80000|10#80,91786,23,
154,200154,1#80000|10#80,92855,30,
155,200155,1#80000|10#80|940002#50,93930,32,
156,200156,1#80000|10#80,95005,27,
157,200157,1#80000|10#80,96080,24,
158,200158,1#80000|10#80,97148,25,
159,200159,1#80000|10#80,98223,21,
160,200160,1#80000|10#80|1053#1,99298,28,
161,200161,1#85000|10#85,101300,22,
162,200162,1#85000|10#85,109251,26,
163,200163,1#85000|10#85,109954,29,
164,200164,1#85000|10#85,111098,33,
165,200165,1#85000|10#85|2053#1,112237,34,
166,200166,1#85000|10#85,113382,1,
167,200167,1#85000|10#85,114527,2,
168,200168,1#85000|10#85,115672,3,
169,200169,1#85000|10#85,116817,4,
170,200170,1#85000|10#85|3053#1,117962,5,
171,200171,1#90000|10#90,120195,6,
172,200172,1#90000|10#90,120904,8,
173,200173,1#90000|10#90,121613,9,
174,200174,1#90000|10#90,122768,10,
175,200175,1#90000|10#90|4053#1,123918,11,
176,200176,1#90000|10#90,125073,12,
177,200177,1#90000|10#90,126229,13,
178,200178,1#90000|10#90,127384,14,
179,200179,1#90000|10#90,128540,15,
180,200180,1#90000|10#90|940002#50,129695,16,
181,200181,1#95000|10#95,132037,17,
182,200182,1#95000|10#95,132752,18,
183,200183,1#95000|10#95,133467,19,
184,200184,1#95000|10#95,134740,20,
185,200185,1#95000|10#95|1053#1,136014,31,
186,200186,1#95000|10#95,151321,23,
187,200187,1#95000|10#95,152692,30,
188,200188,1#95000|10#95,154062,32,
189,200189,1#95000|10#95,155438,27,
190,200190,1#95000|10#95|2053#1,156809,24,
191,200191,1#100000|10#100,158179,25,
192,200192,1#100000|10#100,159549,21,
193,200193,1#100000|10#100,160920,28,
194,200194,1#100000|10#100,162290,22,
195,200195,1#100000|10#100|3053#1,163660,26,
196,200196,1#100000|10#100,165036,29,
197,200197,1#100000|10#100,166407,33,
198,200198,1#100000|10#100,167777,34,
199,200199,1#100000|10#100,169147,1,
