id,exp,free_award,paid_award
1,25,423#1|417#200,424#1|419#3
2,50,423#1|424#1,424#1|419#3
3,75,423#1|417#200,424#1|419#3
4,100,423#1|424#1,424#1|419#3
5,125,423#1|417#200,424#1|418#1
6,150,423#1|424#1,424#1|419#3
7,175,423#1|417#200,424#1|419#3
8,200,423#1|424#1,424#1|419#3
9,225,423#1|417#200,424#1|419#3
10,250,423#1|424#1,424#1|418#1
11,275,423#1|417#300,424#1|419#3
12,300,423#1|424#1,424#1|419#3
13,325,423#1|417#300,424#1|419#3
14,350,423#1|424#1,424#1|419#3
15,375,423#1|417#300,424#1|418#1
16,400,423#1|424#1,424#1|419#3
17,425,423#1|417#300,424#1|419#3
18,450,423#1|424#1,424#1|419#3
19,475,423#1|417#300,424#1|419#3
20,500,423#1|424#1,424#1|420#1
21,600,417#100,417#200
22,700,423#1,419#1
23,800,417#100,417#200
24,900,423#1,419#1
25,1000,417#100,417#200
26,1100,423#1,419#1
27,1200,417#100,417#200
28,1300,423#1,419#1
29,1400,417#100,417#200
30,1500,423#1,419#1
