id,name,equip_id,type,rank,period
1,-1,5749,1,,0
2,-1,5750,1,,0
3,-1,5751,1,,0
4,-1,5752,1,,0
5,-1,5753,1,,0
6,-1,5754,1,,0
7,-1,5755,1,,0
8,-1,5756,1,,0
9,-1,5757,1,,0
10,-1,5758,1,,0
11,-1,5759,1,,0
12,-1,5760,1,,0
13,-1,5761,1,,0
14,-1,5762,1,,0
15,-1,5763,1,,0
16,-1,5764,1,,0
17,-1,5765,1,,0
18,-1,5766,1,,0
19,-1,5767,1,,0
20,-1,5768,1,,0
21,-1,5769,1,,0
22,-1,5770,1,,0
23,-1,5771,1,,0
24,-1,5772,1,,0
25,-1,64363,2,101,0
26,-1,64423,2,102,0
27,-1,64903,2,103,0
28,-1,67423,2,104,0
29,-1,67543,2,105,0
30,-1,67603,2,106,0
31,-1,67663,2,107,0
