id,name,desc,skill_ids,icon
1,-1,-1,10301|10302,blessing_icon_3
2,-1,-1,10101,blessing_icon_1
3,-1,-1,10801,blessing_icon_8
4,-1,-1,14401|15501|15601|15701|15801|15901,blessing_icon_15
5,-1,-1,14501,blessing_icon_16
6,-1,-1,14601,blessing_icon_17
7,-1,-1,11201,skill_icon_5200103
8,-1,-1,14701,blessing_icon_18
9,-1,-1,11001|11002,blessing_icon_10
10,-1,-1,10701|10703,blessing_icon_7
11,-1,-1,14801,blessing_icon_19
12,-1,-1,14901,blessing_icon_20
13,-1,-1,,blessing_icon_21
14,-1,-1,,blessing_icon_22
15,-1,-1,11301,skill_icon_134
16,-1,-1,11401,skill_icon_40
17,-1,-1,11501|11502,blessing_icon_12
18,-1,-1,15201,blessing_icon_23
19,-1,-1,15301,blessing_icon_24
20,-1,-1,15401,blessing_icon_25
21,-1,-1,11601,blessing_icon_14
22,-1,-1,10201,blessing_icon_2
23,-1,-1,11701,skill_icon_29
24,-1,-1,11801,skill_icon_69
