id,type,desc,skill_id,has_tips,delay,show_time,awards,text,icon,scale,qlt,related_dress
1,6,-1,1000101,,,,,,dress_buff_1,0.8,6,6
2,2,-1,1000201,,,,,,icon_14,0.8,6,10
3,3,-1,1000301,1,,2,,-1,shop,0.8,6,3
4,5,-1,1000401,1,,1,,-1,icon_20,0.8,6,17
5,5,-1,1000501,1,,1.5,,-1,icon_36,0.8,6,11
6,4,-1,1000601,1,,1,,-1,icon_43,0.8,5,4
7,1,-1,1000701,1,,1.5,,-1,house_icon_3,1,5,2
8,1,-1,1000801,1,,1.5,,-1,activity_checkin,0.7,2,9
9,3,-1,1000901,1,,1,,-1,icon_6,0.8,4,8
10,3,-1,1001001,1,,1,,-1,dress_buff_10,1,4,12
11,3,-1,1001101,1,,1.5,,-1,dress_buff_11,1,4,13
12,4,-1,1001201,1,,1,,-1,icon_11,0.8,3,7
13,5,-1,1001301,1,,2,,-1,midas_bg_1,0.35,3,14
14,3,-1,1001401,1,,1,,-1,icon_223,0.8,3,15
15,2,-1,1001501,,,,,,dress_buff_15,1,5,5
16,2,-1,1001601,,,,,,bottom_icon_2_o_v3_h5,0.8,2,16
17,5,-1,1001701,1,,1.5,,-1,icon_34,0.8,5,18
18,2,-1,1001801,1,,1.5,,-1,icon_4,0.8,2,20
19,2,-1,1001901,,,,,,dress_buff_19,1,2,21
20,2,-1,1002001,,,,,,dress_buff_20,1,2,22
21,2,-1,1002101,1,,1,,-1,icon_288,0.8,6,19
22,1,-1,1002201,1,,1,,-1,time_cloister_card_supply,0.35,6,33
23,3,-1,1002301,1,,1,,-1,icon_15,0.8,5,38
24,3,-1,1002401,1,,2,,-1,guide_icon_19,0.6,5,28
25,3,-1,1002501,1,2,1.5,,-1,icon_198,0.8,5,30
26,2,-1,1002601,,,,,,dress_buff_26,1,5,29
27,1,-1,1002701,1,,1,,-1,friend_team_boss_head8,0.5,4,23
28,1,-1,1002801,1,1,1,,-1,daily_giftbag,0.9,4,31
29,3,-1,1002901,1,,1,,-1,icon_7,0.8,4,32
30,1,-1,1003001,1,,1.5,,-1,dress_buff_30,1,3,25
31,1,-1,1003101,1,,1.5,,-1,dress_buff_31,1,3,26
32,1,-1,1003201,1,,1.5,,-1,dress_buff_32,1,3,27
33,3,-1,1003301,1,1,2,,-1,dress_buff_33,1,5,24
34,1,-1,1003401,1,2,1,,-1,icon_315,0.8,6,34
35,3,-1,1003501,1,,1,,-1,icon_19,0.8,5,35
36,1,-1,1003601,1,,1,,-1,dress_buff_36,1,5,36
37,5,-1,1003701,1,,1.5,,-1,icon_29,0.8,6,37
38,2,-1,1003801,,,,,,guide_icon_13,0.6,5,39
39,4,-1,1003901,1,1,,940004#5,-1,icon_940004,0.7,6,40
40,7,-1,1004001,1,1.5,,,-1,vip_icon01,0.45,6,41
41,4,-1,1004101,1,1.5,,216#1,-1,icon_216,0.8,5,42
42,1,-1,1004201,1,1,,,-1,guild_food3,0.6,5,43
43,4,-1,1004301,1,,,940003#1,-1,icon_940003,0.7,2,44
44,4,-1,1004401,1,,1,,-1,friend_team_boss_head6,0.5,2,45
45,1,-1,1004501,1,1,1,,-1,dress_buff_45,0.8,2,46
