id,buff,base,grow,star_grow,qlt_grow
1,atk,1775,142,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
2,hp,62500,5000,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
3,crit,11.5,1.15,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
4,hit,23,2.3,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
5,healI,0.00575,0.000575,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
6,unfree,8.625,0.8625,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
7,trueAtk,4.313,0.4313,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
8,sklP,8.625,0.8625,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
9,unCrit,17.25,1.725,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
10,miss,23,2.3,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
11,healB,0.00575,0.000575,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
12,free,8.625,0.8625,1|1.05|1.1|1.15|1.25|1.4,1|1.05|1.15|1.3|1.6|2
