id,name,dialog,length
1,-1,-1,3
2,-1,-1,3
3,-1,-1,4
4,-1,-1,5
5,-1,-1,4
6,-1,-1,5
7,-1,-1,5
8,-1,-1,5
9,-1,-1,5
10,-1,-1,3
11,-1,-1,3
12,-1,-1,6
13,-1,-1,3
14,-1,-1,5
15,-1,-1,5
16,-1,-1,5
17,-1,-1,4
18,-1,-1,4
19,-1,-1,4
20,-1,-1,5
21,-1,-1,3
22,-1,-1,5
23,-1,-1,4
24,-1,-1,3
25,-1,-1,3
26,-1,-1,4
27,-1,-1,3
28,-1,-1,4
29,-1,-1,5
30,-1,-1,4
31,-1,-1,4
32,-1,-1,5
33,-1,-1,5
34,-1,-1,4
35,-1,-1,7
36,-1,-1,4
37,-1,-1,5
38,-1,-1,5
39,-1,-1,5
40,-1,-1,4
41,-1,-1,5
42,-1,-1,5
43,-1,-1,6
44,-1,-1,6
45,-1,-1,6
46,-1,-1,4
47,-1,-1,6
48,-1,-1,4
49,-1,-1,5
50,-1,-1,3
51,-1,-1,3
52,-1,-1,4
53,-1,-1,3
54,-1,-1,4
55,-1,-1,4
56,-1,-1,4
57,-1,-1,3
58,-1,-1,4
59,-1,-1,3
60,-1,-1,4
61,-1,-1,3
62,-1,-1,4
63,-1,-1,5
64,-1,-1,3
65,-1,-1,3
66,-1,-1,3
67,-1,-1,4
68,-1,-1,3
69,-1,-1,3
70,-1,-1,3
71,-1,-1,3
72,-1,-1,3
73,-1,-1,4
74,-1,-1,4
75,-1,-1,5
76,-1,-1,5
77,-1,-1,5
78,-1,-1,3
79,-1,-1,4
80,-1,-1,4
81,-1,-1,4
82,-1,-1,5
83,-1,-1,4
84,-1,-1,4
85,-1,-1,3
86,-1,-1,3
87,-1,-1,4
88,-1,-1,4
89,-1,-1,3
90,-1,-1,3
91,-1,-1,3
92,-1,-1,4
93,-1,-1,4
94,-1,-1,3
95,-1,-1,4
96,-1,-1,3
97,-1,-1,3
98,-1,-1,4
99,-1,-1,3
100,-1,-1,4
101,-1,-1,3
102,-1,-1,5
103,-1,-1,5
104,-1,-1,4
105,-1,-1,4
106,-1,-1,4
107,-1,-1,3
108,-1,-1,4
109,-1,-1,4
110,-1,-1,5
111,-1,-1,4
112,-1,-1,4
113,-1,-1,4
114,-1,-1,4
115,-1,-1,3
116,-1,-1,4
117,-1,-1,4
118,-1,-1,4
119,-1,-1,4
120,-1,-1,3
121,-1,-1,3
122,-1,-1,4
123,-1,-1,4
124,-1,-1,4
125,-1,-1,5
126,-1,-1,4
127,-1,-1,3
128,-1,-1,3
129,-1,-1,3
130,-1,-1,3
131,-1,-1,4
132,-1,-1,4
133,-1,-1,4
134,-1,-1,3
135,-1,-1,3
136,-1,-1,3
137,-1,-1,4
138,-1,-1,5
139,-1,-1,4
140,-1,-1,5
141,-1,-1,4
142,-1,-1,4
143,-1,-1,3
144,-1,-1,5
145,-1,-1,3
146,-1,-1,3
147,-1,-1,5
148,-1,-1,4
149,-1,-1,3
150,-1,-1,4
151,-1,-1,3
152,-1,-1,3
153,-1,-1,3
154,-1,-1,3
155,-1,-1,3
156,-1,-1,4
157,-1,-1,3
158,-1,-1,3
159,-1,-1,3
160,-1,-1,4
161,-1,-1,3
162,-1,-1,3
163,-1,-1,4
164,-1,-1,4
165,-1,-1,4
166,-1,-1,3
167,-1,-1,3
168,-1,-1,4
169,-1,-1,4
170,-1,-1,3
171,-1,-1,4
172,-1,-1,3
173,-1,-1,3
174,-1,-1,4
175,-1,-1,4
176,-1,-1,3
177,-1,-1,4
178,-1,-1,4
179,-1,-1,3
