id,partner,unknown_3,name,desc,is_exskill,sub_skill,trigger,is_pass,is_unseal,is_cost_energy,is_add_energy,target1,rand1,effect1,effect1_add,no_crit1,no_miss1,no_act1,fx1,fx_hurt1,fx_hurt1_add,target2,rand2,effect2,no_crit2,not_miss2,fx_hurt2,target3,rand3,effect3,no_crit3,not_miss3,fx_hurt3,attr_pas,jump,jump_pos_xy,icon_id,level,sound,shake_screen,hero_pos_type,hero_pos_type_xy,shake_screen_time,black_screen,animation,skill_effect,target_no_effect
75101420,-1,-1,-1,,,0,0,0,,3,1,61,,1019716|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101421,-1,-1,-1,,,0,0,0,,3,1,61,,1019717|1337003,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101422,-1,-1,-1,,,0,0,0,,3,1,61,,1019713|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101423,-1,-1,-1,,,0,0,0,,3,1,61,,1019714|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101424,-1,-1,-1,,,0,0,0,,3,1,61,,1019715|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101425,-1,-1,-1,,,0,0,0,,3,1,61,,1019716|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101426,-1,-1,-1,,,0,0,0,,3,1,61,,1019717|1337003,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101427,-1,-1,-1,,,0,0,0,,2,1,61,,1019713|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101428,-1,-1,-1,,,0,0,0,,2,1,61,,1019714|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
75101429,-1,-1,-1,,,0,0,0,,2,1,61,,1019715|1337002,,,,,,1234#1234#1672#1234#1890|1891,,,,,,,,,,,,,,,,,skill_icon_0,,1120,,,,,,,,
