id,cost,awards,limit
1,455#4,940059#25,4
2,455#5,4402015#1,2
3,455#4,4901001#1,1
4,455#2,4501002#1,1
5,455#5,930235#50,2
6,455#1,986001#5,5
7,456#12,4101010#1,1
8,456#8,4101008#1,2
9,456#3,4201042#10,5
10,456#5,418#10,5
11,456#8,930232#50,1
12,456#8,930233#50,1
13,456#12,930234#50,1
14,456#1,417#1500,10
15,456#1,419#30,10
16,456#2,20#5,2
17,456#1,359#750,20
18,457#10,4102007#1,2
19,457#5,358#3,5
20,457#5,36#10,5
21,457#2,424#2,10
22,457#1,423#2,10
23,457#1,10#5000,10
24,457#1,14#5000,10
25,457#1,1#5000000,99
26,457#1,9#5000000,99
