id,awards
1,2#600
2,940002#50|349#3
3,36#10
4,73#10|170#10
5,930229#50
6,940004#50|349#6
7,4101063#1
8,20#8|349#9
9,4102046#1
10,73#20|4201039#2|4206001#4
11,4501002#1
12,93#1|4201039#2|4206001#4
13,358#10
14,985001#10|985002#10|985003#10
15,6773#1
16,6000#2000|4201039#10|4206001#20
17,4104018#1
18,6000#2000|4201039#10|4206001#20
19,4402012#1
20,985001#15|985002#15|985003#15
21,358#20
22,6000#2000|4201039#10|4206001#20
23,6773#1
24,6000#2000|4201039#10|4206001#20
25,986001#10
26,6000#400|4201039#2|4206001#4
