id,name,suit_name,skin_text
1011,Ritterschwert,,
2011,Ritterrüstung,,
3011,Ritterschild,,
4011,Ritterrock,,
1012,Heiliges Ritterschwert,,
2012,Heilige Ritterrüstung,,
3012,Heiliges Ritterschild,,
4012,Heiliger Ritterrock,,
1021,Volleyball,,
2021,Sport Shirt,,
3021,Sport Haarband,,
4021,Sport Höschen,,
1022,Super Volleyball,,
2022,Super Sport Shirt,,
3022,Super Sport Haarband,,
4022,Super Sport Höschen,,
1031,Wasserpistole,,
2031,Bikini,,
3031,Strand Hut,,
4031,Schwimmhosen,,
1032,Super Wasserpistole,,
2032,Super Bikini,,
3032,Großer Strand-Hut,,
4032,Super Schwimmhöschen,,
1033,Elite Wasserpistole,,
2033,Elite Bikini,,
3033,Elite Strandhut,,
4033,Elite Schwimmhöschen,,
1041,Schulbuch,,
2041,Schuluniform,,
3041,Schulfliege,,
4041,Schulrock,,
1042,Glänzendes Schulbuch,,
2042,Glänzende Schuluniform,,
3042,Glänzende Schulfliege,,
4042,Glänzender Schulrock,,
1043,Möhre,Häschenset,
2043,Häschen Kostüm,Häschenset,
3043,Häschen Ohren,Häschenset,
4043,Häschen Schuhe,Häschenset,
1044,Super Möhre,Super Häschenset,
2044,Super Häschen Kostüm,Super Häschenset,
3044,Super Häschen Ohren,Super Häschenset,
4044,Super Häschen Schuhe,Super Häschenset,
1051,Gitarre,Idol Set,
2051,Konzert-Outfit,Idol Set,
3051,Weiße Kopfhörer,Idol Set,
4051,Punk-Schuhe,Idol Set,
1052,Kuchen,Dienstmädchen-Set,
2052,Schürze,Dienstmädchen-Set,
3052,Dienstmädchen Haarband,Dienstmädchen-Set,
4052,Dienstmädchen Schuhe,Dienstmädchen-Set,
1053,Super Rucksack,Abenteuer Set,
2053,Abenteuer Kostüm,Abenteuer Set,
3053,Abenteuer Sonnenbrille,Abenteuer Set,
4053,Abenteuer Hosen,Abenteuer Set,
1054,Magischer Besen,Magisches Set,
2054,Magisches Kleid,Magische Set,
3054,Magischer Hut,Magisches Set,
4054,Magische Schuhe,Magisches Set,
1061,Federfächer,Kimono Set,
2061,Feder Kimono,Kimono Set,
3061,Feder Krawatte,Kimono Set,
4061,Feder Sandalen,Kimono Set,
1062,Klassischer Regenschirm,Klassisches Set,
2062,Klassisches Kleid,Klassisches Set,
3062,Klassische Haarnadel,Klassisches Set,
4062,Klassische Schuhe,Klassisches Set,
1063,Teddybär,Prinzessin Set,
2063,Prinzessin Kleid,Prinzessin Set,
3063,Prinzessin Krone,Prinzessin Set,
4063,Prinzessin Schuhe,Prinzessin Set,
1064,Elektrisches Schwert,Elektrik Set,
2064,Elektrischer Anzug,Elektrik Set,
3064,Elektrische Brille,Elektrik Set,
4064,Elektrische Schuhe,Elektrik Set,
1065,Dämonische Sichel,Dämonen Set,
2065,Dämonischer Anzug,Dämonen Set,
3065,Dämonische Haarnadel,Dämonen Set,
4065,Dämonische Schuhe,Dämonen Set,
1066,Engelsstab,Engels Set,
2066,Engels Kleid,Engels Set,
3066,Engels Band,Engels Set,
4066,Engels Flügel,Engels Set,
1999,Spezialausrüstung1,Spezialausrüstung,
2999,Spezialausrüstung2,Spezialausrüstung,
3999,Spezialausrüstung3,Spezialausrüstung,
4999,Spezialausrüstung4,Spezialausrüstung,
5101,Blauer Kristall,,
5102,Blauer Kristall,,
5103,Blauer Kristall,,
5104,Blauer Kristall,,
5105,Blauer Kristall,,
5106,Blauer Kristall,,
5107,Blauer Kristall,,
5108,Blauer Kristall,,
5109,Blauer Kristall,,
5110,Blauer Kristall,,
5111,Blauer Kristall,,
5112,Blauer Kristall,,
5113,Blauer Kristall,,
5114,Blauer Kristall,,
5115,Blauer Kristall,,
5116,Blauer Kristall,,
5201,Gelber Kristall,,
5202,Gelber Kristall,,
5203,Gelber Kristall,,
5204,Gelber Kristall,,
5205,Gelber Kristall,,
5206,Gelber Kristall,,
5207,Gelber Kristall,,
5208,Gelber Kristall,,
5209,Gelber Kristall,,
5210,Gelber Kristall,,
5211,Gelber Kristall,,
5212,Gelber Kristall,,
5213,Gelber Kristall,,
5214,Gelber Kristall,,
5215,Gelber Kristall,,
5216,Gelber Kristall,,
5301,Runenkristall,,
5302,Runenkristall,,
5303,Runenkristall,,
5304,Runenkristall,,
5305,Runenkristall,,
5306,Runenkristall,,
5307,Runenkristall,,
5308,Runenkristall,,
5309,Runenkristall,,
5310,Runenkristall,,
5311,Runenkristall,,
5312,Runenkristall,,
5313,Runenkristall,,
5314,Runenkristall,,
5315,Runenkristall,,
5316,Runenkristall,,
5317,Runenkristall,,
5318,Runenkristall,,
5319,Runenkristall,,
5320,Runenkristall,,
5321,Runenkristall,,
5322,Runenkristall,,
5323,Runenkristall,,
5324,Runenkristall,,
5401,Paradies-Kristall,,
5402,Paradies-Kristall,,
5403,Paradies-Kristall,,
5404,Paradies-Kristall,,
5405,Paradies-Kristall,,
5406,Paradies-Kristall,,
5407,Paradies-Kristall,,
5408,Paradies-Kristall,,
5409,Paradies-Kristall,,
5410,Paradies-Kristall,,
5411,Paradies-Kristall,,
5412,Paradies-Kristall,,
5413,Paradies-Kristall,,
5414,Paradies-Kristall,,
5415,Paradies-Kristall,,
5416,Paradies-Kristall,,
5417,Paradies-Kristall,,
5418,Paradies-Kristall,,
5419,Paradies-Kristall,,
5420,Paradies-Kristall,,
5421,Paradies-Kristall,,
5422,Paradies-Kristall,,
5423,Paradies-Kristall,,
5424,Paradies-Kristall,,
5501,Roter Achatkristall,,
5502,Roter Achatkristall,,
5503,Roter Achatkristall,,
5504,Roter Achatkristall,,
5505,Roter Achatkristall,,
5506,Roter Achatkristall,,
5507,Roter Achatkristall,,
5508,Roter Achatkristall,,
5509,Roter Achatkristall,,
5510,Roter Achatkristall,,
5511,Roter Achatkristall,,
5512,Roter Achatkristall,,
5513,Roter Achatkristall,,
5514,Roter Achatkristall,,
5515,Roter Achatkristall,,
5516,Roter Achatkristall,,
5517,Roter Achatkristall,,
5518,Roter Achatkristall,,
5519,Roter Achatkristall,,
5520,Roter Achatkristall,,
5521,Roter Achatkristall,,
5522,Roter Achatkristall,,
5523,Roter Achatkristall,,
5524,Roter Achatkristall,,
5525,Roter Achatkristall,,
5526,Roter Achatkristall,,
5527,Roter Achatkristall,,
5528,Roter Achatkristall,,
5529,Roter Achatkristall,,
5530,Roter Achatkristall,,
5531,Roter Achatkristall,,
5532,Roter Achatkristall,,
5533,Roter Achatkristall,,
5534,Roter Achatkristall,,
5535,Roter Achatkristall,,
5536,Roter Achatkristall,,
5537,Roter Achatkristall,,
5538,Roter Achatkristall,,
5539,Roter Achatkristall,,
5540,Roter Achatkristall,,
5541,Roter Achatkristall,,
5542,Roter Achatkristall,,
5543,Roter Achatkristall,,
5544,Roter Achatkristall,,
5545,Roter Achatkristall,,
5546,Roter Achatkristall,,
5601,Drachenjade,,
5602,Drachenjade,,
5603,Drachenjade,,
5604,Drachenjade,,
5605,Drachenjade,,
5606,Drachenjade,,
5607,Drachenjade,,
5608,Drachenjade,,
5609,Drachenjade,,
5610,Drachenjade,,
5611,Drachenjade,,
5612,Drachenjade,,
5613,Drachenjade,,
5614,Drachenjade,,
5615,Drachenjade,,
5616,Drachenjade,,
5617,Drachenjade,,
5618,Drachenjade,,
5619,Drachenjade,,
5620,Drachenjade,,
5621,Drachenjade,,
5622,Drachenjade,,
