id,mission_des
1,Benutze 1 Mal die Alchemie
2,Spiele 2 Mal am\nGlücksautomaten
3,Schließe 2 Jobaufgaben ab
4,Synthetisiere 3\nAusrüstungen
5,Verwende 1 Normale Kapsel
6,Ziehe 1 Mal an der Super Kapselmaschine
7,Schließe 3 Kämpfe in der\nArena ab
8,Erhalte 5 Mal Kampfausbeute
9,Schließe 2 Mal das\ntägliche Quiz ab
10,Sende 5 Herzen
11,Schließe alle täglichen Aufgaben ab
12,Gewinne 15 Kämpfe in der Arena
13,"10X Absolvieren, Erwecken oder Weiterentwickeln"
14,Nimm 2 Mal am Buchheiligtum teil
15,Gewinne 1 Kampf gegen den Freundesboss
16,Schließe 3 5/6/7-Sterne Jobaufgaben ab
17,Erhöhe den Komfort im Wohnheim um 10 Punkte
18,Schließe alle Aufgaben an 7 kont. Tagen ab
19,Erhalte 1 10-Sterne\nMädchen
20,Erhalte 3 Kostüme (Außer 6/10-Sterne)
21,Level die Antiquität 10 Mal auf
22,Schließe 4 7-Sterne Jobaufgaben ab
23,Gewinne 120 Kämpfe in der Arena
24,Schreib 25 Mal ein
25,Synthetisiere 15 Ausrüstungen
26,Sammle 1 Mal die Belohnungen im Wohnheim
