id,love_point,love_level_desc
0,0,{1} hat nur von dir gehört.\n
1,1000,{1} hat nur von dir gehört.\n
2,2000,"{1} glaubt, dass du nett und freundlich bist.\n"
3,3000,"{1} glaubt, dass du nett und freundlich bist.\n"
4,4000,"{1} glaubt, dass du nett und freundlich bist.\n"
5,5000,{1} vertraut dir voll und ganz.\n
6,6000,{1} vertraut dir voll und ganz.\n
7,7000,{1} vertraut dir voll und ganz.\n
8,8000,"{1} hofft, den Rest des Lebens mit dir zu verbringen.\n"
9,9000,"{1} hofft, den Rest des Lebens mit dir zu verbringen.\n"
10,10000,{1} starrt dich voller Liebe und Zuneigung an.\n
11,11000,{1} starrt dich voller Liebe und Zuneigung an.\n
12,12000,{1} starrt dich voller Liebe und Zuneigung an.\n
13,13000,{1} starrt dich voller Liebe und Zuneigung an.\n
14,14000,{1} starrt dich voller Liebe und Zuneigung an.\n
15,15000,{1} starrt dich voller Liebe und Zuneigung an.\n
