id,title,text
1,Funktionsbeschreibung,"Kampf|Schicke dein Team in ein Abenteuer oder lass sie automatisch Kämpfen. Dadurch erhältst du Spieler-EXP, Münzen, EXP-Saft, Ausrüstungen und andere Belohnungen. ||Test|Bewältige die Gegner in jedem Stockwerk des Gebäudes. Je höher du kommst, desto stärker werden sie. Jeder Sieg wird mit Brotdosen, Münzen, Ausrüstungen oder Mädchen-Fragmenten belohnt. ||Arena|Fordere andere Spieler in der Arena heraus, um Belohnungen zu verdienen. Spezielle Belohnungen werden auch basierend auf deinem Rang am Ende jeder Saison vergeben. ||Kapseln|Das Öffnen der Kapseln ist der schnellste Weg, neue Mädchen zu erhalten. Durch das Öffnen der Super Kapseln wird Energie für das goldene Ei gesammelt. Ist dessen Energie voll, bekommst du ein 5-Sterne-Mädchen. ||Absolvieren|Absolvieren ist der einzige Weg, um 6-Sterne-Mädchen zu erhalten. Das ausgewählte Mädchen wird ihre Erfahrung und Ausrüstung behalten. Den EXP-Saft, die Brotdosen und die Ausrüstung der anderen Mädchen, die du für das Absolvieren deines ausgewählten Mädchens benötigst, erhältst du alles zurück. Je mehr Mädchen du hast, desto größer ist die Chance, dass du ein 6-Sterne-Mädchen erreichen kannst. ||Übertragen|Wenn du zu viele Mädchen hast, die du nicht brauchst, kannst du sie auf andere Unis übertragen. Das Übertragen eines Mädchens wird dich mit EXP-Saft, Brotdosen, Kristallmeißeln oder Klassenlisten belohnen. Die vom Mädchen getragene Ausrüstung wird an dich zurückgeschickt, wenn du das Mädchen überträgst. Klassenlisten können im Laden verwendet werden, um Mädchen zu kaufen. Klassenlisten erhältst du auch bei besonderen Veranstaltungen. ||Ausrüstung synthetisieren|Verschmelze Ausrüstungen mit einem niedrigen Level zu einer Ausrüstung mit einem höheren Level durch synthetisieren. Kombiniere Ausrüstungen des gleichen Sets und der gleichen Qualität, um besondere Eigenschaften freizuschalten! Hinweis: Ausrüstung, die getragen wird, ist nicht synthetisierbar. ||Glücksautomat|Verwende Lottoscheine, um Preise wie Mädchen-Fragmente, Münzen, Ausrüstungen, Antiquitäten, Kristallmeißel oder EXP-Saft zu gewinnen! Viel Glück! ||Markt|Auf dem Markt kannst du EXP-Säfte, Brotdosen, Mädchen-Fragmente, Ausrüstungen, Kapselmünzen, Arena-Tickets und andere Items kaufen. Die Liste der zum Verkauf stehenden Gegenstände ändert sich regelmäßig. ||Einschreiben|Nutze Stempel, um 4 und 5 Sterne Mädchen oder 4 und 5 Sterne Mädchen-Fragmente aus einer Fraktion deiner Wahl zu erhalten. Du erhältst außerdem Ordner, mit denen du 4- und 5-Sterne-Mädchen aus derselben Fraktion gegeneinander austauschen kannst.||Jobs|Jobs werden alle 24 Stunden erneuert. Jedes Quest wird mit Sternen bewertet und es werden Anforderungen an die Fraktion und den Rang der Mädchen gestellt, die zum Abschließen des Aufgabe benötigt werden. Wenn du alle Aufgaben abschließt, erhältst du zusätzliche Belohnungen. Mit Dias können die Aufgaben erneuert oder bereits gestarteten Aufgaben beschleunigt werden. Du kannst Job-Pergamente verwenden, um mehr Jobs hinzuzufügen. Diese Schriftrollen bekommst du durch den Auto-Kampf oder auf dem Markt. ||Diener|Diener sind die besten Partner, die du dir bei einem Kampf vorstellen kannst. Wenn du deinem Team einen Diener hinzufügst, erhöht dieser die Attribute der Mädchen und es werden einzigartige aktive Fähigkeiten während des Kampfes freigeschaltet. Du kannst Kekse und Seelenkekse sammeln, um deinen Diener zu trainieren und weiterzuentwickeln."
2,Abenteuer,"Erklärung|Das Abenteuer ist in fünf Schwierigkeitsstufen unterteilt: Normal, Schwer, Extrem, Fantasy und Albtraum. Jeder Schwierigkeitsgrad hat mehrere Runden und jede Runde wird einer nach der anderen freigeschaltet. ||Neue Stufe|Wenn du eine neue Stufe erreichst, dann nimm dir Zeit, um die Stufe zuerst kennenzulernen. Anschließend kannst du deine Mädchen in den Kampf schicken. ||Kapitel & Stufen freischalten|Schaffe alle Runden in einem Kapitel, um das nächste Kapitel freizuschalten. Schaffe alle Kapitel, um den nächsten Schwierigkeitsgrad freizuschalten. ||Kampfbelohnungen|Nach jedem Sieg erhältst du spezielle Belohnungen.||Auto-Kampf|Während deine Mädchen im Auto-Kampf sind, sammeln sie bis zu 12 Stunden lang Beute. Nach spätestens 12 Stunden solltest du die Belohnungen einsammeln, damit wieder Platz ist für neue Beute. ||Auto-Kampf-Belohnungen|Du erhältst Spieler-EXP, Münzen und EXP-Saft. Die Belohnungen, die du durch den Auto-Kampf erhältst, richten sich nach der Runde, in der du dich befindest. Je weiter du beim Abenteuer vorankommst, desto bessere Belohnungen wirst du erhalten. Dein VIP-Level erhöht die Ausgaberate für EXP-Saft, Spieler-EXP und Münzen.||Beute|Du kannst die potentielle Beute für die jeweilige Runde überprüfen, indem du auf deren Schaltfläche klickst. Dort wird die alles angezeigt, was du auf dieser Stufe durch den Auto-Kampf theoretisch erhalten kannst."
3,Spielterminologien (Kampf),"Kampfaufstellung|Die Mädchen in der Frontline erleiden mehr Schaden als die Mädchen in der Backline. Passe die Position der Mädchen entsprechend ihrer Klasse an, damit das gesamte Team länger überlebt.||Fraktionsrivalität|Fraktionsrivalität stärkt die Mädchen einer Fraktion im Kampf gegen bestimmte andere Fraktionen. Wähle die Mädchen entsprechend der Fraktionsrivalitäten aus.||Fraktionsaura|Stelle 6 Mädchen derselben Fraktion oder 6 Mädchen verschiedener Fraktionen auf, um besondere Boni zu erhalten. Bestimmte Fraktionskombinationen verleihen den Mädchen im Kampf einen Aura-Bonus.||Sieg oder Niederlage|Besiege alle Mädchen des gegnerischen Teams innerhalb von 15 Runden, um einen Sieg zu erlangen. Hast du als Angreifer nach 15 Runden noch immer nicht alle besiegt, führt dies zur Niederlage.||Angriff|Die Angriffswerte beschreiben den Schaden, der den Feinden zugefügt wird. Sie dienen außerdem als Grundlage zur Berechnung der Fertigkeitsschäden. ||HP|Mädchen mit höheren HP (Health Points) können länger im Kampf überleben.||Rüstung|Reduziert den Schaden, den die Gegner verursachen.||Speed|Speed bestimmt die Reihenfolge, in der die Mädchen im Kampf angreifen. Die Mädchen mit höherem Speed greifen zuerst an. Wenn zwei Verbündete den gleichen Speed haben, wird das Mädchen, das weiter vorne steht, zuerst angreifen.||Skill-Bon.|Skill-Bon. steht für ""Skill-Bonusschaden"". Es beschreibt, um wie viel der Schaden durch Fertigkeiten erhöht wird (Bsp.: Fertigkeit macht 100 Schaden, Skill-Bon. 30%: 100 x (1+0,3)=130). Mit höherem Level steigt dieser Bonus an.||Schadensreduzierung|Reduziert den durch Gegner verursachten Schaden (um maximal 70%) und hilft deinen Mädchen dadurch, länger zu überleben.||Präzision|Präzision verringert die Wahrscheinlichkeit einer Blockade. Pro 1%ige Blockade wird zusätzlich 0,3% Schaden gewährt, maximal 45% Schaden. Dieser zusätzlicher Schaden wird basierend auf dem Angriffswert des Mädchens berechnet.||Blockade|Bestimmt die Wahrscheinlichkeit einer Blockade. Bei einer gelungenen Blockade wird der Schaden um 30% reduziert. Falls es ein kritischer Treffer ist, wird dieser zusätzlich um 20% reduziert. Die Schadensreduzierung ist nur für Schaden wirksam, der auf der Grundlage der Angriffskraft des Angreifers berechnet wird. ||Krit. Rate|Krit. Rate steht für ""kritische Trefferrate"" und bestimmt die Wahrscheinlichkeit eines kritischen Treffers gegen einen Gegner. Ein kritischer Treffer verursacht erheblich mehr Schaden. Ein normaler kritischer Treffer verursacht Schaden in Höhe von 150% des Angriffswerts. Für Schäden, die durch Passive Fertigkeiten verursacht werden, kann es keinen kritischen Treffer geben.||Krit.-Widerstand|Reduziert die Rate, mit der die Gegner einen kritischen Treffer landen. Je höher der Krit.-Widerstand liegt, desto niedriger ist die Wahrscheinlichkeit, dass ein kritischer Treffer landet.||Kritischer Schaden|Kritischer Schaden bestimmt, wie viel Schaden bei einem kritischen Treffer verursacht wird (max. Erhöhung des Schadens durch kritischen Treffer: 150%).||Bruch|Bruch steht für Rüstungsbruch. Wenn ein Rüstungsbruch eintritt, dann wird bei einem Angriff die Rüstung des Gegners ignoriert (bis zu 100% der Rüstung), sodass dem Gegner mehr Schaden zugefügt wird.||Immunität|Immunität steht für Immunität gegen Kontrolle und beschreibt, zu welcher Wahrscheinlichkeit ein Mädchen immun ist gegen eine Kontrolle durch den Feind. Wird unabhängig von der Kontrollrate berechnet. Das heißt, selbst wenn die Immunitätsrate gegen Kontrolle eines Mädchens höher liegt als die Kontrollrate des Gegners, so kann sie trotzdem kontrolliert werden.||Extra Kontrollrate|Erhöht die Wahrscheinlichkeit, dass die Gegner kontrolliert werden. Gleichzeitig hebt sie die Kontrollimmunität der Gegner auf.||Heil. Schad.|Heil. Schad. steht für ""Heiliger Schaden"" und beschreibt einen Bonusschaden. Dieser ignoriert die Rüstung des Gegners, wird aber durch die Schadensreduzierungsrate des Ziels beeinflusst.||Reduzierung aller Schäden|Reduziert die zu erleidenden Schäden (außer Schaden durch Heilungsfluch), egal welcher Art (um maximal 70%). Diese und die Schadensreduzierungsrate werden unabhängig voneinander berechnet.||Ausweichen|Beschreibt die Wahrscheinlichkeit, mit der man Effekten und Schäden durch aktive Fertigkeiten und Standardangriffe ausweichen kann. (Effekten und Schäden durch Diener kann nicht ausgewichen werden.)||Energie|Zu Beginn des Kampfs hat jedes Mädchen 50 Energie. Ein Standardangriff gewährt 50 Energie, Erleiden eines Angriffs gewährt 10 Energie, Erleiden eines kritischen Treffers gewährt 20 Energie. Bei 100 Energie wird eine aktive Fertigkeit freigesetzt. Wenn Mädchen mehr als 100 Energie haben, wird jeder überschüssige Energiepunkt in eine 1%ige Erhöhung des Fertigkeitsschadens der aktiven Fertigkeit umgewandelt.||Widerstand gegen Energieminderung|Verringert den Effekt der Minderung der Energie, der von den Gegnern zugefügt wurde. Die verminderte Energie wird entsprechend der Prozentzahl verringert.||Zahlen im Kampf|Weiße Zahlen stehen für normalen Schaden (kein Krit. und keine Fraktionsrivalität). Gelbe Zahlen stehen für Schaden, der eine Erhöhung durch Fraktionsrivalitäten beinhaltet, aber kein kritischer Treffer war. Rote Zahlen stehen für Schaden, der durch einen kritischen Treffer und eventuell auch durch Fraktionsrivalitäten erhöht wurde. Grüne Zahlen stehen für Heilung.||Fertigkeitseffekt|Die als「Fertigkeitseffekt」markierten Buffs können nicht von Potenzialen oder Fertigkeiten, die「normale Debuffs」oder「normale Buffs」entfernen können, entfernt werden."
4,Neue Mädchen erhalten,"Kampfbeute|Du kannst Mädchen-Fragmente durch Auto-Kampf, Abenteuer, Events, Mädchen-Quiz und Tests erhalten. ||Laden|Du kannst Mädchen und Mädchen-Fragmente auf dem Markt, im Lotterieladen und im Mädchenladen (unter Einkaufsstraße - Tauschbörse) erhalten.||Kapseln|Am schnellsten erhältst du Mädchen an der Kapselmaschine durch den Einsatz von Herzen, Kapselmünzen und Dias.||Einschreiben|Du kannst auf der Einschreiben-Seite Stempel verwenden, um Mädchen und Mädchen-Fragmente zu erhalten.||Glücksautomat|Mit Lottoscheinen erhältst du am Glücksautomaten Mädchen-Fragmente.||Jobs|Einige Jobs bieten Mädchen-Fragmente als Belohnung.||Freundesbosse|Hilf deinen Freunden die Bosse zu besiegen und gewinne dabei Mädchen-Fragmente."
5,Mädchen verbessern,"Mädchen aufleveln|Verwende Münzen und EXP-Saft, um deine Mädchen aufzuleveln.||Mädchen verbessern|Verwende Brotdosen, um die Stufe eines Mädchens zu erhöhen, wenn du die Level-Obergrenze für ihre aktuelle Stufe erreicht hast.||Mädchen Star-up|Wenn ein Mädchen ihr maximales Level erreicht hat, kannst du durch ""Absolvieren"" ihren Sternen-Rang erhöhen. Nach dem Abschluss wird sie bessere Statistiken haben. Ihr Level, ihre Ausrüstung und ihre Stufe bleiben jedoch gleich.||Mädchen erwecken|Nutze andere Mädchen, um 6-Sterne-Mädchen zu erwecken. Dadurch werden höhere Stufen freigeschaltet und du kannst das Mädchen weiter hochleveln. Die Mädchen, die für das Erwecken eines anderen Mädchens verwendet wurden, geben den an ihnen verbrauchten EXP Saft zurück.||Ausrüstung und Antiquitäten|Statte dein Mädchen mit Ausrüstungen und Antiquitäten aus, um sie weiter zu stärken. Ausrüstungsitems und Antiquitäten können zu höherwertigen Items aufgerüstet werden.||Kristall-Upgrade|Erhöhe die Mädchen-Statistiken, indem du den Kristall verstärkst oder austauschst. Diese Funktionen erfordern Münzen und Kristallmeißel.||Elite-Fertigkeit|Bei Mädchen ab 10-Sternen werden die Elite-Fertigkeiten entsperrt und durch Leveln der Elite-Fertigkeiten können ihre sie noch stärker werden. Zum Leveln der Elite-Fertigkeiten werden ""Leitfadenmaterial"" und ""Geheimmaterial"" benötigt."
6,Die Kategorien der Mädchen,"Klasse|Die Mädchen werden in verschiedene Klassen eingeteilt: Krieger, Magier, Ranger, Mörder und Priester. Krieger haben hohe HP und Rüstung, aber ihr Angriff ist vergleichsweise niedriger, sodass sie normalerweise in der Frontline platziert werden, um den Schaden abzufangen. Magier und Fernkämpfer haben in der Regel niedrige HP und Rüstung, aber ihr Angriff ist hoch und verursacht häufig AoE-Schaden, sodass sie normalerweise in der Backline platziert werden, um von dort aus Schaden zu verursachen. Die Statistiken der Mörder-Klasse ähneln denen der Magier und Ranger, aber ihre Angriffe treffen oft ein einzelnes Ziel. Sie stehen meistens in der Backline, um von dort aus Schaden zu verursachen. Priester neigen dazu, einen niedrigeren Schaden als andere Klassen zu haben, aber sie haben oft Massenkontrollfähigkeiten und können HP regenerieren. Sie sind hervorragend in der Backline. ||Sternlevel|Mädchen haben immer ein Ausgangs-Sternlevel. 5-Sterne ist das höchste Ausgangs-Sternlevel. Je höher das Sternlevel eines Mädchens ist, desto höher sind ihre Grundwerte und Fähigkeiten. Das Absolvieren oder Erwecken eines Mädchens können ihr Sternlevel erhöhen.|| Fraktion|Jedes Mädchen ist Teil einer Fraktion. Es gibt die folgenden Fraktionen: Dämonen, Engel, Feen, Geister, Menschen und Monster. Es gibt Fraktionsrivalitäten, nach denen sich die Fraktionen im Spiel gegenseitig kontern: Feen kontern Geister, Geister kontern Menschen, Menschen kontern Monster, Monster kontern Fabelwesen, Dämonen und Engel kontern sich gegenseitig. Liegt eine Fraktionsrivalität vor, so erhöht sich der Schaden eines Mädchens um 30% und ihre Präzision um 15%."
7,Ausrüstungen & Antiquitäten,"Ausrüstungen / Antiquitäten - Qualitätsstufen|Es gibt 7 Qualitätsstufen (Blau, Gold, Lila, Grün, Rot, Orange und Pink), wobei Blau die niedrigste und Pink die höchste ist. Je höher das Level der Ausrüstungen ist, desto mehr Attribute können sie den Mädchen gewähren.||Ausrüstungen / Antiquitäten - Sterne|Ausrüstungen: Blau und Gold - Upgraden auf 2-Sterne möglich. Lila auf 3-Sterne. Grün und Rot auf 4-Sterne. Orange auf 6-Sterne. Pink auf 3-Sterne. Antiquitäten von blauer und goldener Qualität können auf 4-Sterne, Lila und Grün auf 5-Sterne, Rot und Orange auf 6-Sterne, Pink auf 3-Sterne verbessert werden.||Synthetisieren|Geringwertige Ausrüstungsitems können miteinander verschmolzen werden, um höherwertige Ausrüstungsitems herzustellen. Antiquitätenfragmente können zusammengesetzt werden, um Antiquitäten der entsprechenden Qualität herzustellen.||Ausrüstung erwerben|Du kannst Ausrüstung durch Auto-Kämpfe, Tests, Kampf-Beute und am Glücksautomaten erhalten. Auch auf dem Markt, im Heiligtümerladen und im Gildenladen kann Ausrüstung gekauft werden.||Ausrüstungs-Set|Ausrüstungen ab 3 Sternen und ab grüner Qualität haben einen Set-Effekt. Trage eine bestimmte Anzahl eines Ausrüstungs-Sets gleichzeitig, um den Set-Effekt zu aktivieren. ||Antiquitäten verstärken|Die Antiquitäten können verstärkt werden, indem man die überflüssigen Antiquitäten opfert.||Antiquitäten erwerben|Sobald du eine bestimmte Runde beim Auto-Kampf erreicht hast, kannst du hierüber auch Antiquitäten als Belohnung bekommen. Im Gildenladen werden Antiquitäten verkauft und die Glücksautomaten bieten Antiquitäten als Preise."
8,Freunde,"Freunde hinzufügen|Gib in der Suchleiste eine ID ein, um eine Anfrage zu senden oder finde Freunde unter ""Empfohlene Freunde"". Tippe im Chat auf den Avatar eines Spielers, um ihm/ihr eine Anfrage zu schicken. Tippe auf der Gildenmitglieder-Seite auf den Avatar eines Gildenmitglieds, um ihm/ihr eine Anfrage zu schicken.||Freundschaftsanfragen|Freundschaftsanfragen werden unter ""Anfragen"" angezeigt. Tippe auf ""Annehmen"", um jemanden als Freund/in hinzuzufügen. ||Herzen|Freunde können sich gegenseitig Herzen senden. Sammle 10 Herzen, um eine Freundes-Kapsel zu erhalten.||Freunde löschen |Tippe auf den Avatar eines Freundes unter ""Liste"" und dann auf den Papierkorb-Button in der Infobox. ||Kooperation|Täglich kannst du nach einem Boss suchen. Du und deine Freunde können sich gegenseitig helfen, Bosse zu besiegen, um besondere Belohnungen zu erhalten. Wird kein Boss gefunden, erhält man trotzdem Belohnungen."
9,Gilde,"Beitritt zu einer Gilde |Gebe die Gilden-ID oder den Namen der Gilde ein, um nach einer Gilde zu suchen, und tippe dann auf ""Bewerben"", um eine Bewerbung an die Gilde zu senden. Du kannst beitreten, nachdem deine Anfrage genehmigt wurde. ||Eine Gilde erstellen|Du kannst eine Gilde über die Gildenseite erstellen. Das Gründen einer Gilde kostet Dias. Nachdem deine Gilde erstellt wurde, kannst du andere Spieler zu deiner Gilde einladen und Anträge annehmen, um deine Gilde zu vergrößern. ||Gildenleiter|Der Gildenleiter hat Zugriff auf alle Funktionen im Gildenbüro. Der Gildenleiter kann seine Position übertragen. ||Gilde auflösen |Der Gildenleiter kann die Gilde auflösen, indem er im Büro auf den Button ""Auflösen"" tippt. Nach dem Bestätigen wird die Gilde innerhalb von 2 Stunden aufgelöst.||Gildenlevel|Stelle sicher, dass sich alle deine Mitglieder täglich im Büro anmelden, um das Gildenlevel zu erhöhen. ||Kaufmann|Verwende Gildenmünzen beim Kaufmann, um Mädchen-Fragmente, Ausrüstungen und antike Fragmente zu kaufen.||Labor|Benutze Gildenmünzen im Labor, um deine Gildenfähigkeiten zu verbessern. Gildenfähigkeiten stärken deine eigenen Mädchen während eines Gildenkampfes. Du behältst deine Upgrades bei, wenn du zu einer anderen Gilde wechselst. ||Gildenfunktionen|Alle Mitglieder der Gilde können sich täglich im Gildenbüro anmelden, um das Gildenlevel zu erhöhen. Mitglieder können an Schlachten in der Halle, in der Cafeteria und auf dem Sportplatz teilnehmen, um Gildenmünzen und andere Belohnungen zu erhalten."
10,Fragen zum Spiel,"1. F: Wie verschiebe ich mein Spiel auf ein neues Gerät, ohne meinen Fortschritt zu verlieren?|A: Lade das Spiel auf deinem neuen Gerät herunter und starte das Spiel. Gehe dann zu Kontoeinstellungen in der oberen rechten Ecke auf der Startseite. Tippe auf Login und gib deinen Benutzernamen und dein Passwort deines alten Kontos ein, um dich anzumelden.|2. F: Was soll ich tun, wenn mein Konto gestohlen wurde oder ich mein Passwort vergessen habe?|A: Wende dich an unseren Kundensupport, wenn du dich nicht anmelden kannst.|3. F: Was soll ich tun, wenn ich mich aufgrund eines Netzwerkfehlers nicht anmelden kann?|A: Wenn Netzwerkfehler auftreten, versuche dich weiterhin anzumelden oder schließe das Spiel und öffne es erneut.|4. F: Was kann ich tun, wenn ich mich aufgrund des Fehlers ""Update überprüfen"" nicht anmelden kann?|A: Wenn dieser Fehler weiterhin auftritt, schließe das Spiel und öffne es erneut. Oder versuche es mit einer anderen Internetverbindung. Wende dich an den Support, wenn auch dies nicht hilft.|5. F: Was soll ich tun, wenn meine Daten oder mein Konto gestohlen wurden?|A: Gehe zunächst auf die Startseite des Spiels auf Einstellungen, um zu bestätigen, dass du dich auf demselben Server befindest, den du normalerweise verwendest. Wenn du dir sicher bist, dass der Server korrekt ist und weiterhin Probleme auftreten, setze dich bitte so schnell wie möglich mit uns in Verbindung. Gebe deine Konto-Id (tippe auf deinen Avatar, um die Id-Nummer anzuzeigen), die registrierte Mail-Adresse und andere relevante Informationen an und wir werden unser Bestes tun, um dir zu helfen.|6. F: Was soll ich tun, wenn ich wiederholt vom Spiel getrennt werde?|A: Bitte überprüfe deine Netzwerkverbindung oder stelle eine Verbindung zu einem anderen Netzwerk her. Wenn weiterhin Probleme auftreten, wende dich an den Support.|7. F: Was soll ich tun, wenn mein Spiel während des Spielens abstürzt?|A: Bitte schließe alle deine Apps und öffne das Spiel erneut. Versuche als Nächstes, dein Gerät neu zu starten. Wenn nichts davon funktioniert, wende dich mit deiner Id-Nummer und einer Beschreibung deines Problems an den Support.|8. F: Was soll ich tun, wenn ich denke, dass ein andere Spieler betrügt?|A: Wir sind bestrebt, unseren Spielern eine faire Spielumgebung zu bieten. Die Verwendung von Bugs im Spiel, um sich einen Vorteil gegenüber anderen Spielern zu verschaffen, ist nicht gestattet. Wenn du einen betrügerischen Spieler findest, benachrichtige uns bitte sofort, damit wir das Problem so schnell wie möglich beheben können."
