id,task_desc
1,Ziehe 25 Mal im Outfit-Shop
2,Ziehe 50 Mal im Outfit-Shop
3,Ziehe 100 Mal im Outfit-Shop
4,Ziehe 200 Mal im Outfit-Shop
5,Ziehe 300 Mal im Outfit-Shop
6,Ziehe 400 Mal im Outfit-Shop
7,Ziehe 500 Mal im Outfit-Shop
8,Level 5 beliebige Outfit-Teile auf 2-Sterne
9,Level 5 beliebige Outfit-Teile auf 3-Sterne
10,Speichere 3 Outfit-Kreationen
11,Sammle 2 vollständige Sets im Shop
12,Sammle 4 vollständige Sets im Shop
13,Sammle 6 vollständige Sets im Shop
14,Erhalte 1 orangenes Outfit-Teil im Shop
15,Erhalte 5 orangene Outfit-Teile im Shop
16,Erhalte 5 rote Outfit-Teile im Shop
17,Erhalte 15 rote Outfit-Teile im Shop
18,Erhalte 40 grüne Outfit-Teile im Shop
