id,cell_name
44,Fotostudio
47,Gourmet Cafeteria
52,Kimonoladen
55,Wagashi
58,Ruhiges Plätzchen
62,Goldfisch Stand
66,Nudelstand
70,Maskenladen
74,Feuerwerksfest
78,Schönheitswettbewerb
84,Theaterhalle
87,Auditorium
91,Souvenirladen
95,Backstage
99,Bühne
102,Riesenrad
106,Karussell
113,Eiswagen
117,Achterbahn
119,Geisterhaus
125,Kleidungsladen
128,Katzencafé
132,Englischer Salon
135,Blumenladen
139,Ruhiges Plätzchen
145,Liebesapfelstand
148,Feuerwerksfest
152,Takoyaki
156,Crushed Eis-Stand
158,Ringe-Spiel
162,Seegespräch
166,Rudern
171,Picknick
175,Fliegender Drache
179,Schach
183,Fächerladen
187,Ruhiges Plätzchen
192,Katzencafé
197,Buchladen
200,Videospielgeschäft
204,Rafting
208,Achterbahn
213,Autoscooter
217,Ruheplatz
219,Fisch-Wettkampf
